Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-14 18:12:00+00:00,1.15879,2021-10-14 18:44:00+00:00,1.15874,-0.00015000000000011654
buy,2021-10-14 18:45:00+00:00,1.15887,2021-10-14 19:33:00+00:00,1.15918,0.00011000000000003246
short,2021-10-14 19:34:00+00:00,1.15903,2021-10-14 20:46:00+00:00,1.15899,-0.00015999999999996
buy,2021-10-14 20:47:00+00:00,1.159,2021-10-14 22:22:00+00:00,1.15967,0.00046999999999994843
short,2021-10-14 22:23:00+00:00,1.15966,2021-10-14 22:39:00+00:00,1.15973,-0.0002700000000000145
buy,2021-10-14 22:40:00+00:00,1.15978,2021-10-14 23:00:00+00:00,1.15973,-0.0002500000000001055
short,2021-10-14 23:01:00+00:00,1.15962,2021-10-14 23:21:00+00:00,1.15971,-0.00028999999999992346
buy,2021-10-14 23:22:00+00:00,1.15974,2021-10-14 23:41:00+00:00,1.1597,-0.00024000000000003999
short,2021-10-14 23:42:00+00:00,1.15969,2021-10-15 00:23:00+00:00,1.15985,-0.00035999999999993795
buy,2021-10-15 00:24:00+00:00,1.15985,2021-10-15 00:45:00+00:00,1.1597,-0.0003500000000000946
short,2021-10-15 00:46:00+00:00,1.15969,2021-10-15 01:00:00+00:00,1.15992,-0.00042999999999995256
buy,2021-10-15 01:01:00+00:00,1.15989,2021-10-15 01:32:00+00:00,1.15972,-0.00037000000000000357
short,2021-10-15 01:33:00+00:00,1.15967,2021-10-15 02:04:00+00:00,1.15977,-0.0002999999999999891
buy,2021-10-15 02:05:00+00:00,1.15989,2021-10-15 02:08:00+00:00,1.15975,-0.0003400000000000291
short,2021-10-15 02:17:00+00:00,1.15968,2021-10-15 03:12:00+00:00,1.15922,0.0002600000000001269
buy,2021-10-15 03:13:00+00:00,1.15926,2021-10-15 03:19:00+00:00,1.15913,-0.00032999999999996357
short,2021-10-15 03:20:00+00:00,1.15902,2021-10-15 03:41:00+00:00,1.15907,-0.0002500000000001056
buy,2021-10-15 03:44:00+00:00,1.15912,2021-10-15 04:48:00+00:00,1.15995,0.0006300000000001083
short,2021-10-15 04:49:00+00:00,1.15977,2021-10-15 05:19:00+00:00,1.16008,-0.0005100000000000326
buy,2021-10-15 05:20:00+00:00,1.1602,2021-10-15 06:26:00+00:00,1.16092,0.0005200000000000538
short,2021-10-15 06:27:00+00:00,1.16099,2021-10-15 07:18:00+00:00,1.16079,-2.211772431870429e-17
buy,2021-10-15 07:19:00+00:00,1.16081,2021-10-15 07:46:00+00:00,1.16088,-0.0001299999999999856
short,2021-10-15 07:47:00+00:00,1.16084,2021-10-15 08:12:00+00:00,1.16082,-0.00017999999999986907
buy,2021-10-15 08:13:00+00:00,1.1608,2021-10-15 08:19:00+00:00,1.16081,-0.00019000000000015662
short,2021-10-15 08:20:00+00:00,1.16072,2021-10-15 08:47:00+00:00,1.1607,-0.0001800000000000911
buy,2021-10-15 08:48:00+00:00,1.16081,2021-10-15 08:52:00+00:00,1.16066,-0.00034999999999987255
short,2021-10-15 08:53:00+00:00,1.16064,2021-10-15 09:13:00+00:00,1.16053,-9.000000000016764e-05
buy,2021-10-15 09:14:00+00:00,1.16073,2021-10-15 09:32:00+00:00,1.16081,-0.00012000000000014213
short,2021-10-15 09:37:00+00:00,1.16069,2021-10-15 09:42:00+00:00,1.1609,-0.00041000000000004314
buy,2021-10-15 09:47:00+00:00,1.16099,2021-10-15 10:18:00+00:00,1.16127,8.000000000005832e-05
short,2021-10-15 10:19:00+00:00,1.16115,2021-10-15 10:35:00+00:00,1.16129,-0.00034000000000002865
short,2021-10-15 10:42:00+00:00,1.16121,2021-10-15 11:04:00+00:00,1.16124,-0.00022999999999997415
buy,2021-10-15 11:05:00+00:00,1.16137,2021-10-15 11:23:00+00:00,1.16123,-0.00034000000000002865
short,2021-10-15 11:34:00+00:00,1.16117,2021-10-15 12:17:00+00:00,1.16046,0.0005099999999999888
buy,2021-10-15 12:18:00+00:00,1.16055,2021-10-15 12:32:00+00:00,1.16042,-0.00032999999999996314
short,2021-10-15 12:35:00+00:00,1.16037,2021-10-15 13:07:00+00:00,1.16041,-0.00024000000000003966
buy,2021-10-15 13:08:00+00:00,1.16053,2021-10-15 14:00:00+00:00,1.161,0.0002699999999999708
short,2021-10-15 14:01:00+00:00,1.16091,2021-10-15 14:17:00+00:00,1.16097,-0.00025999999999994864
short,2021-10-15 14:22:00+00:00,1.1608,2021-10-15 15:15:00+00:00,1.16025,0.0003500000000000508
buy,2021-10-15 15:16:00+00:00,1.16032,2021-10-15 15:17:00+00:00,1.16021,-0.00031000000000005416
short,2021-10-15 15:18:00+00:00,1.16002,2021-10-15 15:44:00+00:00,1.16008,-0.00025999999999994864
short,2021-10-15 15:54:00+00:00,1.15941,2021-10-15 16:11:00+00:00,1.15942,-0.00020999999999984312
buy,2021-10-15 16:13:00+00:00,1.15975,2021-10-15 16:49:00+00:00,1.16006,0.00011000000000003281
short,2021-10-15 16:50:00+00:00,1.15999,2021-10-15 17:34:00+00:00,1.15938,0.0004099999999999998
buy,2021-10-15 17:35:00+00:00,1.1596,2021-10-15 18:12:00+00:00,1.1603,0.0005000000000001453
short,2021-10-15 18:13:00+00:00,1.16021,2021-10-15 19:46:00+00:00,1.15946,0.0005500000000000288
buy,2021-10-15 19:47:00+00:00,1.15959,2021-10-15 20:54:00+00:00,1.15989,0.00010000000000018891
short,2021-10-15 20:55:00+00:00,1.15978,2021-10-15 21:15:00+00:00,1.15974,-0.0001599999999999601
buy,2021-10-15 21:16:00+00:00,1.15984,2021-10-15 21:29:00+00:00,1.15964,-0.00039999999999997763
short,2021-10-15 21:30:00+00:00,1.15957,2021-10-15 21:40:00+00:00,1.15984,-0.0004699999999999921
buy,2021-10-15 21:41:00+00:00,1.15978,2021-10-15 22:28:00+00:00,1.16012,0.0001400000000000073
short,2021-10-15 22:30:00+00:00,1.16016,2021-10-15 22:40:00+00:00,1.16028,-0.0003199999999998976
buy,2021-10-15 22:41:00+00:00,1.16035,2021-10-15 23:28:00+00:00,1.16022,-0.00032999999999996314
short,2021-10-15 23:29:00+00:00,1.16011,2021-10-18 00:26:00+00:00,1.16042,-0.0005100000000000321
buy,2021-10-18 00:27:00+00:00,1.1603,2021-10-18 00:37:00+00:00,1.15959,-0.0009100000000002101
short,2021-10-18 00:40:00+00:00,1.15978,2021-10-18 01:01:00+00:00,1.16029,-0.0007100000000000101
