Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-14 18:11:00+00:00,1.15887,2021-10-14 18:42:00+00:00,1.15867,-2.2036409155767878e-17
buy,2021-10-14 18:56:00+00:00,1.15901,2021-10-14 19:09:00+00:00,1.15907,-0.00014000000000005103
buy,2021-10-14 19:19:00+00:00,1.15941,2021-10-14 19:25:00+00:00,1.15926,-0.00035000000000009454
short,2021-10-14 19:33:00+00:00,1.15918,2021-10-14 20:13:00+00:00,1.15877,0.00021000000000002148
buy,2021-10-14 20:25:00+00:00,1.15891,2021-10-14 20:36:00+00:00,1.15887,-0.00024000000000003999
buy,2021-10-14 20:44:00+00:00,1.15888,2021-10-14 22:07:00+00:00,1.15973,0.0006500000000000174
buy,2021-10-14 22:10:00+00:00,1.15981,2021-10-14 22:21:00+00:00,1.1597,-0.0003100000000000545
buy,2021-10-14 22:35:00+00:00,1.15965,2021-10-14 22:54:00+00:00,1.16002,0.00016999999999998145
buy,2021-10-14 23:20:00+00:00,1.15965,2021-10-14 23:38:00+00:00,1.15975,-0.00010000000000001102
short,2021-10-14 23:49:00+00:00,1.1597,2021-10-15 00:21:00+00:00,1.15983,-0.00032999999999996346
buy,2021-10-15 00:40:00+00:00,1.15987,2021-10-15 00:44:00+00:00,1.15973,-0.0003400000000000289
buy,2021-10-15 00:59:00+00:00,1.15996,2021-10-15 01:32:00+00:00,1.15972,-0.00044000000000001785
short,2021-10-15 01:38:00+00:00,1.15966,2021-10-15 01:44:00+00:00,1.15976,-0.0002999999999999891
short,2021-10-15 01:59:00+00:00,1.15975,2021-10-15 02:04:00+00:00,1.15977,-0.00021999999999990907
short,2021-10-15 02:16:00+00:00,1.15976,2021-10-15 02:56:00+00:00,1.15917,0.0003899999999998683
short,2021-10-15 02:58:00+00:00,1.15912,2021-10-15 03:05:00+00:00,1.15922,-0.0002999999999999891
buy,2021-10-15 03:12:00+00:00,1.15922,2021-10-15 03:19:00+00:00,1.15913,-0.00028999999999992357
buy,2021-10-15 03:40:00+00:00,1.15902,2021-10-15 04:47:00+00:00,1.16002,0.0008000000000001118
short,2021-10-15 05:03:00+00:00,1.1598,2021-10-15 05:15:00+00:00,1.15988,-0.0002800000000000801
buy,2021-10-15 05:28:00+00:00,1.1603,2021-10-15 06:20:00+00:00,1.161,0.0004999999999999229
short,2021-10-15 06:25:00+00:00,1.16102,2021-10-15 06:54:00+00:00,1.16089,-7.00000000000365e-05
buy,2021-10-15 06:57:00+00:00,1.16088,2021-10-15 07:02:00+00:00,1.16078,-0.00029999999999998886
short,2021-10-15 07:05:00+00:00,1.16075,2021-10-15 07:18:00+00:00,1.16079,-0.0002400000000000401
buy,2021-10-15 07:29:00+00:00,1.16085,2021-10-15 07:44:00+00:00,1.16094,-0.00010999999999985457
short,2021-10-15 07:53:00+00:00,1.16082,2021-10-15 08:12:00+00:00,1.16082,-0.0002000000000000001
short,2021-10-15 08:19:00+00:00,1.16081,2021-10-15 08:45:00+00:00,1.16071,-0.0001000000000000111
short,2021-10-15 08:52:00+00:00,1.16066,2021-10-15 09:03:00+00:00,1.16066,-0.0002000000000000001
short,2021-10-15 09:11:00+00:00,1.1605,2021-10-15 09:14:00+00:00,1.16073,-0.00042999999999995256
short,2021-10-15 09:32:00+00:00,1.16081,2021-10-15 09:41:00+00:00,1.16089,-0.0002800000000000801
buy,2021-10-15 09:46:00+00:00,1.16091,2021-10-15 10:09:00+00:00,1.1612,8.999999999990136e-05
short,2021-10-15 10:18:00+00:00,1.16127,2021-10-15 10:33:00+00:00,1.16128,-0.0002100000000000656
short,2021-10-15 10:42:00+00:00,1.16121,2021-10-15 10:53:00+00:00,1.16111,-0.0001000000000000111
buy,2021-10-15 10:55:00+00:00,1.16102,2021-10-15 11:20:00+00:00,1.16145,0.0002300000000001524
short,2021-10-15 11:33:00+00:00,1.1613,2021-10-15 12:11:00+00:00,1.16044,0.0006600000000000828
buy,2021-10-15 12:17:00+00:00,1.16046,2021-10-15 12:28:00+00:00,1.16038,-0.0002800000000000801
short,2021-10-15 12:32:00+00:00,1.16042,2021-10-15 12:50:00+00:00,1.16024,-1.9999999999931097e-05
buy,2021-10-15 12:58:00+00:00,1.16045,2021-10-15 13:02:00+00:00,1.16034,-0.0003100000000000546
buy,2021-10-15 13:07:00+00:00,1.16041,2021-10-15 13:22:00+00:00,1.16058,-2.999999999999661e-05
buy,2021-10-15 13:28:00+00:00,1.16067,2021-10-15 13:57:00+00:00,1.16108,0.00020999999999979932
