Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 18:03:00+00:00,2021-10-21 18:02:00+00:00,310,91,219,-0.02582999999999922
2,2021-10-21 18:03:00+00:00,2021-10-28 18:02:00+00:00,308,86,222,-0.029339999999997673
3,2021-10-28 18:03:00+00:00,2021-11-04 18:02:00+00:00,304,101,203,-0.011179999999997699
4,2021-11-04 18:03:00+00:00,2021-11-11 18:02:00+00:00,310,96,214,-0.006810000000004146
5,2021-11-11 18:03:00+00:00,2021-11-18 18:02:00+00:00,298,103,195,-0.00343000000000232
6,2021-11-18 18:03:00+00:00,2021-11-25 18:02:00+00:00,324,90,234,-0.01694000000000273
7,2021-11-25 18:03:00+00:00,2021-12-02 18:02:00+00:00,313,108,205,-0.009989999999999749
8,2021-12-02 18:03:00+00:00,2021-12-09 18:02:00+00:00,322,101,221,-0.009029999999999705
9,2021-12-09 18:03:00+00:00,2021-12-16 18:02:00+00:00,301,112,189,0.0017999999999956662
10,2021-12-16 18:03:00+00:00,2021-12-23 18:02:00+00:00,315,103,212,-0.017780000000000865
11,2021-12-23 18:03:00+00:00,2021-12-30 18:02:00+00:00,275,85,190,-0.0063800000000028
12,2021-12-30 18:03:00+00:00,2022-01-06 18:02:00+00:00,293,115,178,0.0017199999999978066
13,2022-01-06 18:03:00+00:00,2022-01-13 18:02:00+00:00,306,105,201,-0.0062500000000008105
14,2022-01-13 18:03:00+00:00,2022-01-20 18:02:00+00:00,304,96,208,-0.017389999999999795
15,2022-01-20 18:03:00+00:00,2022-01-27 18:02:00+00:00,318,104,214,-0.018020000000000536
16,2022-01-27 18:03:00+00:00,2022-02-03 18:02:00+00:00,317,118,199,0.004919999999998564
17,2022-02-03 18:03:00+00:00,2022-02-10 18:02:00+00:00,318,113,205,-0.0050799999999976975
18,2022-02-10 18:03:00+00:00,2022-02-17 18:02:00+00:00,308,126,182,0.013849999999998253
19,2022-02-17 18:03:00+00:00,2022-02-24 18:02:00+00:00,305,110,195,0.0005699999999985994
20,2022-02-24 18:03:00+00:00,2022-03-03 18:02:00+00:00,313,149,164,0.060469999999998664
21,2022-03-03 18:03:00+00:00,2022-03-10 18:02:00+00:00,327,148,179,0.04080000000000002
22,2022-03-10 18:03:00+00:00,2022-03-17 18:02:00+00:00,314,143,171,0.02276000000000266
23,2022-03-17 18:03:00+00:00,2022-03-24 18:02:00+00:00,323,117,206,0.0004800000000010837
24,2022-03-24 18:03:00+00:00,2022-03-31 18:02:00+00:00,321,130,191,0.020459999999998344
25,2022-03-31 18:03:00+00:00,2022-04-07 18:02:00+00:00,324,110,214,0.0037400000000008277
26,2022-04-07 18:03:00+00:00,2022-04-14 18:02:00+00:00,317,123,194,0.005649999999999788
27,2022-04-14 18:03:00+00:00,2022-04-21 18:02:00+00:00,297,104,193,-0.01114000000000007
28,2022-04-21 18:03:00+00:00,2022-04-28 18:02:00+00:00,350,145,205,0.01814999999999736
29,2022-04-28 18:03:00+00:00,2022-05-05 18:02:00+00:00,336,135,201,0.03293000000000121
30,2022-05-05 18:03:00+00:00,2022-05-12 18:02:00+00:00,329,145,184,0.03283000000000567
31,2022-05-12 18:03:00+00:00,2022-05-19 18:02:00+00:00,322,128,194,0.022309999999999997
32,2022-05-19 18:03:00+00:00,2022-05-26 18:02:00+00:00,328,132,196,0.013159999999997618
33,2022-05-26 18:03:00+00:00,2022-06-02 18:02:00+00:00,305,124,181,0.022339999999996446
34,2022-06-02 18:03:00+00:00,2022-06-09 18:02:00+00:00,309,113,196,0.005260000000001236
35,2022-06-09 18:03:00+00:00,2022-06-16 18:02:00+00:00,340,158,182,0.045179999999994336
36,2022-06-16 18:03:00+00:00,2022-06-23 18:02:00+00:00,329,141,188,0.015879999999994537
37,2022-06-23 18:03:00+00:00,2022-06-30 18:02:00+00:00,318,135,183,0.01635999999999932
38,2022-06-30 18:03:00+00:00,2022-07-07 18:02:00+00:00,330,123,207,0.011809999999994492
39,2022-07-07 18:03:00+00:00,2022-07-14 18:02:00+00:00,322,129,193,0.023639999999997163
40,2022-07-14 18:03:00+00:00,2022-07-21 18:02:00+00:00,321,141,179,0.02991000000000188
41,2022-07-21 18:03:00+00:00,2022-07-28 18:02:00+00:00,325,142,181,0.025700000000009382
42,2022-07-28 18:03:00+00:00,2022-08-04 18:02:00+00:00,320,133,183,0.022250000000005654
43,2022-08-04 18:03:00+00:00,2022-08-11 18:02:00+00:00,317,107,207,-0.0017699999999927218
44,2022-08-11 18:03:00+00:00,2022-08-18 18:02:00+00:00,312,124,187,0.009100000000005881
45,2022-08-18 18:03:00+00:00,2022-08-25 18:02:00+00:00,325,123,198,-0.0029999999999932303
46,2022-08-25 18:03:00+00:00,2022-09-01 18:02:00+00:00,336,134,201,0.0278600000000081
47,2022-09-01 18:03:00+00:00,2022-09-02 23:55:00+00:00,82,33,47,0.007300000000002194
