Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-09-04 05:05:00+00:00,1.29586,2017-09-04 08:45:00+00:00,1.29544,0.00022000000000008696
buy,2017-09-04 09:00:00+00:00,1.29566,2017-09-04 10:00:00+00:00,1.29516,-0.0006999999999999449
short,2017-09-04 10:55:00+00:00,1.29391,2017-09-04 11:25:00+00:00,1.29496,-0.0012500000000002175
short,2017-09-04 11:35:00+00:00,1.29399,2017-09-04 11:45:00+00:00,1.29479,-0.0010000000000001342
short,2017-09-04 11:50:00+00:00,1.29296,2017-09-04 12:05:00+00:00,1.29452,-0.0017599999999997843
buy,2017-09-04 12:15:00+00:00,1.29499,2017-09-04 13:30:00+00:00,1.29379,-0.0014000000000000904
buy,2017-09-04 13:50:00+00:00,1.29493,2017-09-04 15:50:00+00:00,1.29544,0.0003100000000000108
short,2017-09-04 16:20:00+00:00,1.29505,2017-09-04 18:00:00+00:00,1.29568,-0.0008299999999999081
buy,2017-09-04 18:35:00+00:00,1.29573,2017-09-04 18:40:00+00:00,1.29513,-0.0008000000000001556
buy,2017-09-04 21:05:00+00:00,1.29296,2017-09-04 21:30:00+00:00,1.29228,-0.0008800000000000136
buy,2017-09-04 21:55:00+00:00,1.2929,2017-09-04 23:30:00+00:00,1.29253,-0.000569999999999982
buy,2017-09-04 23:50:00+00:00,1.29297,2017-09-05 00:00:00+00:00,1.29165,-0.0015199999999999884
buy,2017-09-05 01:10:00+00:00,1.29309,2017-09-05 02:00:00+00:00,1.29267,-0.0006200000000000875
short,2017-09-05 02:45:00+00:00,1.29227,2017-09-05 04:40:00+00:00,1.29275,-0.0006800000000000365
buy,2017-09-05 05:10:00+00:00,1.2926,2017-09-05 05:30:00+00:00,1.29213,-0.000669999999999971
buy,2017-09-05 05:50:00+00:00,1.29262,2017-09-05 08:20:00+00:00,1.29291,8.999999999990092e-05
short,2017-09-05 09:10:00+00:00,1.29244,2017-09-05 09:50:00+00:00,1.29302,-0.0007800000000000255
buy,2017-09-05 10:00:00+00:00,1.29383,2017-09-05 10:40:00+00:00,1.29212,-0.0019100000000001009
buy,2017-09-05 12:00:00+00:00,1.29273,2017-09-05 13:25:00+00:00,1.2958,0.0028700000000001277
short,2017-09-05 14:40:00+00:00,1.29569,2017-09-05 15:20:00+00:00,1.29661,-0.0011200000000000324
buy,2017-09-05 16:40:00+00:00,1.29888,2017-09-05 17:50:00+00:00,1.30251,0.0034300000000000216
buy,2017-09-05 19:10:00+00:00,1.30273,2017-09-05 20:10:00+00:00,1.30102,-0.0019099999999998788
buy,2017-09-05 21:05:00+00:00,1.30239,2017-09-05 22:30:00+00:00,1.30356,0.0009700000000001149
short,2017-09-05 22:45:00+00:00,1.30356,2017-09-06 00:10:00+00:00,1.30329,6.999999999999194e-05
buy,2017-09-06 00:40:00+00:00,1.30355,2017-09-06 02:20:00+00:00,1.30398,0.0002299999999999299
buy,2017-09-06 02:45:00+00:00,1.30433,2017-09-06 03:10:00+00:00,1.30376,-0.00076999999999996
short,2017-09-06 04:45:00+00:00,1.30322,2017-09-06 05:45:00+00:00,1.30364,-0.0006199999999998655
short,2017-09-06 06:40:00+00:00,1.30326,2017-09-06 08:05:00+00:00,1.30337,-0.000309999999999833
short,2017-09-06 09:05:00+00:00,1.30303,2017-09-06 10:55:00+00:00,1.30344,-0.000610000000000022
short,2017-09-06 12:15:00+00:00,1.30364,2017-09-06 13:20:00+00:00,1.30417,-0.000730000000000142
buy,2017-09-06 14:15:00+00:00,1.30491,2017-09-06 14:45:00+00:00,1.30413,-0.0009800000000000034
buy,2017-09-06 15:10:00+00:00,1.30497,2017-09-06 17:15:00+00:00,1.30462,-0.000550000000000073
short,2017-09-06 17:30:00+00:00,1.30445,2017-09-06 17:45:00+00:00,1.30575,-0.0014999999999998574
buy,2017-09-06 18:15:00+00:00,1.30724,2017-09-06 19:15:00+00:00,1.30632,-0.0011200000000000307
short,2017-09-06 19:55:00+00:00,1.30483,2017-09-06 23:15:00+00:00,1.30428,0.0003499999999998296
short,2017-09-07 00:55:00+00:00,1.30402,2017-09-07 01:05:00+00:00,1.30455,-0.0007300000000001403
buy,2017-09-07 02:00:00+00:00,1.30476,2017-09-07 03:00:00+00:00,1.30443,-0.0005299999999999402
buy,2017-09-07 03:15:00+00:00,1.30495,2017-09-07 04:05:00+00:00,1.30434,-0.0008099999999999982
short,2017-09-07 04:55:00+00:00,1.30442,2017-09-07 05:55:00+00:00,1.30475,-0.0005300000000001623
short,2017-09-07 06:00:00+00:00,1.30427,2017-09-07 06:20:00+00:00,1.30487,-0.0007999999999999327
buy,2017-09-07 06:45:00+00:00,1.30485,2017-09-07 07:55:00+00:00,1.30452,-0.0005300000000001623
buy,2017-09-07 08:45:00+00:00,1.30488,2017-09-07 09:00:00+00:00,1.30424,-0.0008399999999999727
short,2017-09-07 09:40:00+00:00,1.30346,2017-09-07 10:10:00+00:00,1.3044,-0.0011399999999999397
buy,2017-09-07 10:50:00+00:00,1.30488,2017-09-07 13:20:00+00:00,1.30795,0.0028699999999999073
buy,2017-09-07 14:20:00+00:00,1.30984,2017-09-07 14:45:00+00:00,1.30881,-0.0012299999999998631
short,2017-09-07 15:05:00+00:00,1.30885,2017-09-07 15:45:00+00:00,1.30985,-0.0011999999999998887
short,2017-09-07 16:35:00+00:00,1.30853,2017-09-07 17:50:00+00:00,1.31003,-0.0017000000000000556
short,2017-09-07 19:00:00+00:00,1.3081,2017-09-07 20:45:00+00:00,1.30756,0.00033999999999998615
buy,2017-09-07 21:45:00+00:00,1.308,2017-09-08 00:00:00+00:00,1.30985,0.0016499999999999085
short,2017-09-08 00:35:00+00:00,1.30963,2017-09-08 01:05:00+00:00,1.30986,-0.00042999999999995125
short,2017-09-08 02:00:00+00:00,1.30956,2017-09-08 02:40:00+00:00,1.30975,-0.00038999999999991125
