Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,63,15,48,-0.024180000000000344
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,58,16,42,-0.013570000000000849
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,68,16,52,-0.034939999999998854
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,64,18,46,-0.024510000000001586
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,57,16,41,-0.014640000000000236
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,61,14,47,-0.015220000000000358
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,62,13,49,-0.021160000000000456
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,56,12,44,-0.015550000000000619
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,59,18,41,-0.01677000000000048
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,59,18,41,-0.010480000000000572
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,56,10,46,-0.022649999999999837
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,61,12,49,-0.02210000000000059
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,58,16,42,-0.020469999999999017
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,61,20,41,-0.007919999999998817
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,61,12,48,-0.038479999999998515
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,50,18,32,-0.012879999999999114
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,43,11,31,-0.006799999999998363
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,46,13,33,-0.009429999999998717
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,58,17,41,-0.011699999999998933
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,60,11,49,-0.02429999999999799
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,65,20,45,-0.0043200000000001015
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,72,22,50,-0.005939999999998724
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,71,21,50,-0.020879999999998677
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,68,22,46,-0.01731999999999778
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,63,15,48,-0.03719999999999879
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,63,16,47,-0.00913999999999815
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,50,14,36,-0.004079999999998529
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,57,19,36,-0.010829999999999451
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,57,21,36,-0.0011799999999988486
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,64,17,47,-0.023059999999997638
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,56,21,35,0.001260000000000705
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,54,15,38,-0.012279999999998514
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,56,17,39,0.004050000000001441
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,59,18,41,-0.0164299999999995
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,57,18,39,0.000780000000000669
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,60,16,43,-0.03110999999999975
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,59,13,46,-0.021009999999998863
38,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,62,14,48,-0.02424999999999855
39,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,63,11,52,-0.03375999999999846
40,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,60,14,46,-0.018519999999998316
