Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,57,14,43,-0.021100000000000244
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,58,15,43,-0.0144999999999985
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,55,12,43,-0.03623999999999972
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,60,15,44,-0.011700000000000571
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,59,13,46,-0.01831000000000102
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,57,15,42,-0.025430000000000758
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,62,15,47,-0.028290000000001203
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,57,15,42,-0.015099999999999919
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,56,9,47,-0.02159999999999984
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,54,11,43,-0.02354000000000095
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,57,12,45,-0.012590000000001017
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,60,13,47,-0.014010000000000411
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,52,17,35,-0.0019900000000002693
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,58,17,41,-0.01832000000000017
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,54,14,40,-0.015239999999999476
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,53,13,40,-0.0069499999999986795
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,34,12,22,0.001480000000001258
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,46,12,33,-0.010589999999998545
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,58,19,39,-0.012129999999999308
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,59,19,40,-0.01774999999999638
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,61,17,44,-0.021619999999998418
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,67,15,52,-0.02186999999999939
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,60,13,47,-0.012229999999999075
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,57,19,38,-0.004949999999998678
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,57,11,46,-0.028379999999998295
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,51,21,30,-0.00866999999999818
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,55,11,44,-0.017759999999999332
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,54,15,38,-0.01470999999999889
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,50,19,31,0.0090600000000014
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,55,15,40,-0.013309999999998823
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,58,20,38,-0.019259999999998723
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,56,14,42,-0.017229999999999634
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,55,13,42,-0.01626999999999934
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,63,14,49,-0.029739999999997213
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,59,14,45,-0.02140999999999771
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,56,16,40,-0.014599999999997726
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,58,19,39,-0.012069999999998693
38,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,59,11,48,-0.03205999999999931
39,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,60,20,40,-0.008869999999998601
40,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,58,15,43,-0.019919999999998828
41,2018-06-11 04:05:00+00:00,2018-06-18 04:00:00+00:00,56,17,39,-0.010379999999999168
42,2018-06-18 04:05:00+00:00,2018-06-25 04:00:00+00:00,59,15,44,-0.015909999999997648
43,2018-06-25 04:05:00+00:00,2018-07-02 04:00:00+00:00,58,13,45,-0.02021999999999835
44,2018-07-02 04:05:00+00:00,2018-07-09 04:00:00+00:00,64,12,52,-0.023809999999998777
45,2018-07-09 04:05:00+00:00,2018-07-16 04:00:00+00:00,59,14,45,-0.01673999999999798
46,2018-07-16 04:05:00+00:00,2018-07-23 04:00:00+00:00,52,12,40,-0.01069999999999971
47,2018-07-23 04:05:00+00:00,2018-07-30 04:00:00+00:00,61,16,45,-0.014729999999999022
48,2018-07-30 04:05:00+00:00,2018-08-06 04:00:00+00:00,60,9,49,-0.03075999999999901
49,2018-08-06 04:05:00+00:00,2018-08-13 04:00:00+00:00,56,17,39,-0.012329999999998176
50,2018-08-13 04:05:00+00:00,2018-08-20 04:00:00+00:00,63,11,52,-0.02656999999999865
51,2018-08-20 04:05:00+00:00,2018-08-27 04:00:00+00:00,60,15,45,-0.022819999999998286
52,2018-08-27 04:05:00+00:00,2018-09-03 04:00:00+00:00,59,14,45,-0.016589999999998106
53,2018-09-03 04:05:00+00:00,2018-09-10 04:00:00+00:00,59,17,42,-0.025469999999998105
54,2018-09-10 04:05:00+00:00,2018-09-17 04:00:00+00:00,57,16,41,-0.006179999999998742
55,2018-09-17 04:05:00+00:00,2018-09-24 04:00:00+00:00,60,15,45,-0.012340000000000018
56,2018-09-24 04:05:00+00:00,2018-10-01 04:00:00+00:00,54,16,38,4.0000000001594316e-05
57,2018-10-01 04:05:00+00:00,2018-10-08 04:00:00+00:00,58,13,43,-0.016199999999998438
58,2018-10-08 04:05:00+00:00,2018-10-15 04:00:00+00:00,59,10,49,-0.027359999999998497
59,2018-10-15 04:05:00+00:00,2018-10-22 04:00:00+00:00,62,14,48,-0.013749999999998597
60,2018-10-22 04:05:00+00:00,2018-10-29 04:00:00+00:00,59,15,43,-0.015399999999998526
61,2018-10-29 04:05:00+00:00,2018-11-05 04:00:00+00:00,49,18,31,-0.00040999999999846715
62,2018-11-05 04:05:00+00:00,2018-11-12 04:00:00+00:00,63,17,46,-0.021949999999998915
63,2018-11-12 04:05:00+00:00,2018-11-19 04:00:00+00:00,60,17,43,-0.00960999999999923
64,2018-11-19 04:05:00+00:00,2018-11-26 04:00:00+00:00,55,13,42,-0.015459999999998253
65,2018-11-26 04:05:00+00:00,2018-12-03 04:00:00+00:00,53,14,38,-0.008630000000000138
66,2018-12-03 04:05:00+00:00,2018-12-10 04:00:00+00:00,51,13,38,-0.012079999999999202
67,2018-12-10 04:05:00+00:00,2018-12-17 04:00:00+00:00,60,12,48,-0.02141999999999844
68,2018-12-17 04:05:00+00:00,2018-12-24 04:00:00+00:00,53,18,35,-0.0034699999999980857
69,2018-12-24 04:05:00+00:00,2018-12-31 04:00:00+00:00,42,10,32,-0.011609999999998122
70,2018-12-31 04:05:00+00:00,2019-01-07 04:00:00+00:00,43,13,30,-0.0015799999999983605
71,2019-01-07 04:05:00+00:00,2019-01-14 04:00:00+00:00,54,17,37,-0.005479999999998819
72,2019-01-14 04:05:00+00:00,2019-01-21 04:00:00+00:00,57,15,41,-0.01469999999999927
73,2019-01-21 04:05:00+00:00,2019-01-28 04:00:00+00:00,57,13,44,-0.0075699999999989664
74,2019-01-28 04:05:00+00:00,2019-02-04 04:00:00+00:00,59,12,47,-0.018799999999998596
75,2019-02-04 04:05:00+00:00,2019-02-11 04:00:00+00:00,57,15,41,-0.011629999999999585
76,2019-02-11 04:05:00+00:00,2019-02-18 04:00:00+00:00,49,19,30,-0.004639999999999533
77,2019-02-18 04:05:00+00:00,2019-02-25 04:00:00+00:00,48,20,28,-0.0052099999999979385
78,2019-02-25 04:05:00+00:00,2019-03-04 04:00:00+00:00,57,10,47,-0.012629999999997477
79,2019-03-04 04:05:00+00:00,2019-03-11 04:00:00+00:00,58,12,44,-0.018769999999999065
80,2019-03-11 04:05:00+00:00,2019-03-18 04:00:00+00:00,55,15,40,-0.01817999999999942
81,2019-03-18 04:05:00+00:00,2019-03-25 04:00:00+00:00,57,11,46,-0.02308999999999828
82,2019-03-25 04:05:00+00:00,2019-04-01 04:00:00+00:00,63,10,53,-0.02301999999999782
83,2019-04-01 04:05:00+00:00,2019-04-08 04:00:00+00:00,59,14,45,-0.023859999999998216
84,2019-04-08 04:05:00+00:00,2019-04-15 04:00:00+00:00,54,12,42,-0.009800000000000031
85,2019-04-15 04:05:00+00:00,2019-04-22 04:00:00+00:00,61,8,53,-0.01719999999999744
86,2019-04-22 04:05:00+00:00,2019-04-29 04:00:00+00:00,50,10,39,-0.008069999999999578
87,2019-04-29 04:05:00+00:00,2019-05-06 04:00:00+00:00,56,14,42,-0.016589999999998106
88,2019-05-06 04:05:00+00:00,2019-05-13 04:00:00+00:00,57,14,42,-0.023899999999999144
89,2019-05-13 04:05:00+00:00,2019-05-20 04:00:00+00:00,60,7,53,-0.012259999999998161
90,2019-05-20 04:05:00+00:00,2019-05-27 04:00:00+00:00,56,13,43,-0.014699999999999047
91,2019-05-27 04:05:00+00:00,2019-06-03 04:00:00+00:00,50,11,39,-0.012359999999997706
92,2019-06-03 04:05:00+00:00,2019-06-10 04:00:00+00:00,60,17,43,-0.011029999999998319
93,2019-06-10 04:05:00+00:00,2019-06-17 04:00:00+00:00,56,8,48,-0.019389999999998464
94,2019-06-17 04:05:00+00:00,2019-06-24 04:00:00+00:00,55,14,41,-0.009619999999999518
95,2019-06-24 04:05:00+00:00,2019-07-01 04:00:00+00:00,56,10,46,-0.01964999999999817
96,2019-07-01 04:05:00+00:00,2019-07-08 04:00:00+00:00,55,13,42,-0.0105999999999975
97,2019-07-08 04:05:00+00:00,2019-07-15 04:00:00+00:00,58,12,46,-0.020519999999997873
98,2019-07-15 04:05:00+00:00,2019-07-22 04:00:00+00:00,51,11,40,-0.00896999999999859
99,2019-07-22 04:05:00+00:00,2019-07-29 04:00:00+00:00,54,11,43,-0.015649999999999276
100,2019-07-29 04:05:00+00:00,2019-08-05 04:00:00+00:00,48,11,37,-0.008089999999998376
101,2019-08-05 04:05:00+00:00,2019-08-12 04:00:00+00:00,59,14,44,-0.01033999999999824
102,2019-08-12 04:05:00+00:00,2019-08-19 04:00:00+00:00,58,12,46,-0.01171999999999751
103,2019-08-19 04:05:00+00:00,2019-08-26 04:00:00+00:00,52,11,40,-0.010940000000000172
104,2019-08-26 04:05:00+00:00,2019-09-02 04:00:00+00:00,53,10,43,-0.020449999999997637
105,2019-09-02 04:05:00+00:00,2019-09-09 04:00:00+00:00,52,10,42,-0.013649999999999274
106,2019-09-09 04:05:00+00:00,2019-09-16 04:00:00+00:00,61,12,49,-0.013829999999997566
107,2019-09-16 04:05:00+00:00,2019-09-23 04:00:00+00:00,49,13,36,-0.008899999999997688
108,2019-09-23 04:05:00+00:00,2019-09-30 04:00:00+00:00,51,13,38,-0.009689999999997534
109,2019-09-30 04:05:00+00:00,2019-10-07 04:00:00+00:00,52,11,40,-0.01657999999999915
110,2019-10-07 04:05:00+00:00,2019-10-14 04:00:00+00:00,56,14,42,-0.014789999999998305
111,2019-10-14 04:05:00+00:00,2019-10-21 04:00:00+00:00,57,8,49,-0.021819999999998396
112,2019-10-21 04:05:00+00:00,2019-10-28 04:00:00+00:00,55,12,43,-0.015299999999998093
113,2019-10-28 04:05:00+00:00,2019-11-04 04:00:00+00:00,50,14,36,-0.003539999999997656
114,2019-11-04 04:05:00+00:00,2019-11-11 04:00:00+00:00,52,13,39,-0.005009999999998849
115,2019-11-11 04:05:00+00:00,2019-11-18 04:00:00+00:00,52,11,41,-0.010949999999998017
116,2019-11-18 04:05:00+00:00,2019-11-25 04:00:00+00:00,59,13,46,-0.015539999999998555
117,2019-11-25 04:05:00+00:00,2019-12-02 04:00:00+00:00,63,7,56,-0.020149999999998336
118,2019-12-02 04:05:00+00:00,2019-12-09 04:00:00+00:00,61,9,52,-0.013859999999999095
119,2019-12-09 04:05:00+00:00,2019-12-16 04:00:00+00:00,56,13,43,-0.008449999999998292
120,2019-12-16 04:05:00+00:00,2019-12-23 04:00:00+00:00,47,13,33,-0.008189999999998365
121,2019-12-23 04:05:00+00:00,2019-12-30 04:00:00+00:00,43,11,32,-0.006579999999999142
122,2019-12-30 04:05:00+00:00,2020-01-06 04:00:00+00:00,38,12,26,-0.001980000000000093
123,2020-01-06 04:05:00+00:00,2020-01-13 04:00:00+00:00,60,12,48,-0.01519999999999877
124,2020-01-13 04:05:00+00:00,2020-01-20 04:00:00+00:00,52,9,43,-0.009019999999998696
125,2020-01-20 04:05:00+00:00,2020-01-27 04:00:00+00:00,53,10,43,-0.015229999999998078
126,2020-01-27 04:05:00+00:00,2020-02-03 04:00:00+00:00,53,10,43,-0.01413999999999871
127,2020-02-03 04:05:00+00:00,2020-02-10 04:00:00+00:00,53,9,44,-0.012359999999999483
128,2020-02-10 04:05:00+00:00,2020-02-17 04:00:00+00:00,50,10,38,-0.011549999999999283
129,2020-02-17 04:05:00+00:00,2020-02-24 04:00:00+00:00,58,13,45,-0.015869999999996942
130,2020-02-24 04:05:00+00:00,2020-03-02 04:00:00+00:00,59,18,41,-0.0072599999999996
131,2020-03-02 04:05:00+00:00,2020-03-09 04:00:00+00:00,61,13,48,-0.019399999999998307
132,2020-03-09 04:05:00+00:00,2020-03-16 04:00:00+00:00,79,27,51,-0.027209999999997958
