Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-09-04 04:25:00+00:00,1.23782,2017-09-04 05:05:00+00:00,1.23822,-0.000600000000000178
buy,2017-09-04 06:10:00+00:00,1.23889,2017-09-04 08:45:00+00:00,1.23894,-0.0001500000000001165
short,2017-09-04 09:00:00+00:00,1.23899,2017-09-04 09:15:00+00:00,1.23969,-0.0008999999999999228
buy,2017-09-04 10:20:00+00:00,1.24144,2017-09-04 11:25:00+00:00,1.24082,-0.000820000000000065
buy,2017-09-04 12:20:00+00:00,1.24118,2017-09-04 12:45:00+00:00,1.24064,-0.000739999999999985
buy,2017-09-04 13:10:00+00:00,1.24123,2017-09-04 14:30:00+00:00,1.24109,-0.0003400000000000291
buy,2017-09-04 15:25:00+00:00,1.24149,2017-09-04 17:15:00+00:00,1.24146,-0.00022999999999997458
buy,2017-09-04 18:20:00+00:00,1.24229,2017-09-04 18:35:00+00:00,1.24136,-0.001129999999999876
short,2017-09-04 19:40:00+00:00,1.24097,2017-09-04 21:20:00+00:00,1.2412,-0.00043000000000017417
buy,2017-09-04 21:55:00+00:00,1.24135,2017-09-04 22:45:00+00:00,1.24111,-0.00044000000000001763
buy,2017-09-04 23:25:00+00:00,1.24132,2017-09-05 00:00:00+00:00,1.24122,-0.00029999999999998864
buy,2017-09-05 00:35:00+00:00,1.24134,2017-09-05 01:00:00+00:00,1.24095,-0.0005900000000001121
buy,2017-09-05 02:05:00+00:00,1.24129,2017-09-05 03:05:00+00:00,1.241,-0.0004899999999999011
buy,2017-09-05 03:40:00+00:00,1.24154,2017-09-05 03:55:00+00:00,1.24089,-0.0008500000000000391
short,2017-09-05 04:30:00+00:00,1.24037,2017-09-05 05:50:00+00:00,1.24017,-2.2551405187698492e-17
short,2017-09-05 06:50:00+00:00,1.23988,2017-09-05 08:15:00+00:00,1.23998,-0.0002999999999999895
short,2017-09-05 08:55:00+00:00,1.23943,2017-09-05 10:35:00+00:00,1.23997,-0.0007399999999999855
short,2017-09-05 11:35:00+00:00,1.2398,2017-09-05 14:15:00+00:00,1.23939,0.00021000000000002093
buy,2017-09-05 14:50:00+00:00,1.2398,2017-09-05 15:15:00+00:00,1.23753,-0.0024699999999999948
short,2017-09-05 16:15:00+00:00,1.23691,2017-09-05 18:45:00+00:00,1.23545,0.0012600000000000163
buy,2017-09-05 19:20:00+00:00,1.23639,2017-09-05 21:05:00+00:00,1.23765,0.0010599999999998163
buy,2017-09-05 21:15:00+00:00,1.23933,2017-09-05 21:55:00+00:00,1.2376,-0.0019300000000000098
short,2017-09-05 22:35:00+00:00,1.23754,2017-09-05 22:55:00+00:00,1.23831,-0.0009699999999999379
buy,2017-09-05 23:10:00+00:00,1.23864,2017-09-05 23:40:00+00:00,1.23773,-0.001109999999999967
short,2017-09-05 23:50:00+00:00,1.23769,2017-09-06 00:45:00+00:00,1.23807,-0.0005800000000000475
short,2017-09-06 01:05:00+00:00,1.23745,2017-09-06 02:55:00+00:00,1.23694,0.0003100000000000099
buy,2017-09-06 03:15:00+00:00,1.23713,2017-09-06 08:10:00+00:00,1.23899,0.0016599999999999723
buy,2017-09-06 09:40:00+00:00,1.23903,2017-09-06 10:55:00+00:00,1.2391,-0.00012999999999998603
short,2017-09-06 12:00:00+00:00,1.23742,2017-09-06 12:45:00+00:00,1.23834,-0.0011200000000000324
buy,2017-09-06 13:25:00+00:00,1.23871,2017-09-06 14:40:00+00:00,1.23875,-0.00015999999999996052
buy,2017-09-06 15:35:00+00:00,1.24019,2017-09-06 17:00:00+00:00,1.22351,-0.016879999999999805
