Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,59,11,48,-0.04264000000000084
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,57,16,41,-0.008160000000000688
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,58,12,46,-0.02896000000000029
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,56,15,41,-0.010349999999999415
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,60,15,45,-0.028480000000000394
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,49,15,34,0.0029899999999993543
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,58,14,44,-0.01106999999999951
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,53,14,39,-0.026060000000000333
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,58,13,45,-0.025490000000000512
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,56,20,36,-0.0025900000000005363
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,57,15,42,-0.013679999999999498
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,55,11,44,-0.024810000000000193
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,51,20,31,0.011379999999998086
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,53,13,40,-0.018369999999999914
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,52,20,32,0.005379999999999385
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,52,12,40,-0.01749000000000145
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,46,11,35,-0.01775999999999958
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,48,9,38,-0.022319999999998563
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,61,11,50,-0.028609999999999136
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,56,15,41,-0.0185499999999994
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,57,17,40,-0.01141999999999821
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,56,17,39,-0.012019999999999031
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,63,13,49,-0.024739999999998874
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,57,16,41,-0.01013999999999804
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,64,15,48,-0.025579999999998826
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,58,16,42,-0.016089999999998827
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,64,15,49,-0.013069999999998583
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,60,15,45,-0.020129999999998427
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,53,16,37,-0.0012099999999994893
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,58,19,39,-0.013479999999998382
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,60,19,41,-0.018239999999998258
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,50,16,34,-0.0018199999999979344
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,56,13,43,-0.02483999999999914
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,56,14,42,-0.015349999999997754
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,54,22,32,0.00404000000000071
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,54,18,35,-0.01146999999999787
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,61,10,51,-0.03550999999999904
38,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,65,13,52,-0.028519999999999213
39,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,54,15,39,-0.02743999999999902
40,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,60,12,48,-0.02048999999999901
41,2018-06-11 04:05:00+00:00,2018-06-18 04:00:00+00:00,61,18,43,-0.010219999999997897
42,2018-06-18 04:05:00+00:00,2018-06-25 04:00:00+00:00,53,14,39,-0.02427999999999808
43,2018-06-25 04:05:00+00:00,2018-07-02 04:00:00+00:00,69,12,57,-0.021139999999998604
44,2018-07-02 04:05:00+00:00,2018-07-09 04:00:00+00:00,56,15,41,-0.019429999999999614
45,2018-07-09 04:05:00+00:00,2018-07-16 04:00:00+00:00,57,11,46,-0.02390999999999943
46,2018-07-16 04:05:00+00:00,2018-07-23 04:00:00+00:00,60,16,44,-0.01355999999999824
47,2018-07-23 04:05:00+00:00,2018-07-30 04:00:00+00:00,59,8,51,-0.036049999999998805
48,2018-07-30 04:05:00+00:00,2018-08-06 04:00:00+00:00,56,16,40,-0.022459999999998592
49,2018-08-06 04:05:00+00:00,2018-08-13 04:00:00+00:00,60,15,45,-0.014679999999999582
50,2018-08-13 04:05:00+00:00,2018-08-20 04:00:00+00:00,59,18,41,-0.005569999999998965
51,2018-08-20 04:05:00+00:00,2018-08-27 04:00:00+00:00,60,10,50,-0.02370999999999901
52,2018-08-27 04:05:00+00:00,2018-09-03 04:00:00+00:00,60,17,43,-0.028649999999997178
53,2018-09-03 04:05:00+00:00,2018-09-10 04:00:00+00:00,53,13,40,-0.008859999999998758
54,2018-09-10 04:05:00+00:00,2018-09-17 04:00:00+00:00,58,15,43,-0.011819999999997721
55,2018-09-17 04:05:00+00:00,2018-09-24 04:00:00+00:00,59,9,50,-0.0367699999999993
56,2018-09-24 04:05:00+00:00,2018-10-01 04:00:00+00:00,51,18,33,0.007900000000000906
57,2018-10-01 04:05:00+00:00,2018-10-08 04:00:00+00:00,57,14,43,-0.02198999999999951
58,2018-10-08 04:05:00+00:00,2018-10-15 04:00:00+00:00,48,19,29,-0.0009099999999986341
59,2018-10-15 04:05:00+00:00,2018-10-22 04:00:00+00:00,49,13,36,-0.007019999999998916
60,2018-10-22 04:05:00+00:00,2018-10-29 04:00:00+00:00,55,18,37,-0.011279999999997958
61,2018-10-29 04:05:00+00:00,2018-11-05 04:00:00+00:00,57,13,44,-0.018689999999999207
62,2018-11-05 04:05:00+00:00,2018-11-12 04:00:00+00:00,56,13,43,-0.01140999999999881
63,2018-11-12 04:05:00+00:00,2018-11-19 04:00:00+00:00,50,11,39,-0.012899999999999912
64,2018-11-19 04:05:00+00:00,2018-11-26 04:00:00+00:00,55,16,39,-0.015329999999999622
65,2018-11-26 04:05:00+00:00,2018-12-03 04:00:00+00:00,56,14,42,-0.011119999999999353
66,2018-12-03 04:05:00+00:00,2018-12-10 04:00:00+00:00,55,17,38,-0.004179999999998962
67,2018-12-10 04:05:00+00:00,2018-12-17 04:00:00+00:00,56,14,41,-0.015459999999998253
68,2018-12-17 04:05:00+00:00,2018-12-24 04:00:00+00:00,58,12,46,-0.030589999999998785
69,2018-12-24 04:05:00+00:00,2018-12-31 04:00:00+00:00,43,14,29,-0.004449999999998955
70,2018-12-31 04:05:00+00:00,2019-01-07 04:00:00+00:00,55,11,44,-0.026939999999999076
71,2019-01-07 04:05:00+00:00,2019-01-14 04:00:00+00:00,63,12,51,-0.03150999999999704
72,2019-01-14 04:05:00+00:00,2019-01-21 04:00:00+00:00,55,16,39,-0.018069999999999142
73,2019-01-21 04:05:00+00:00,2019-01-28 04:00:00+00:00,56,12,44,-0.012309999999998045
74,2019-01-28 04:05:00+00:00,2019-02-04 04:00:00+00:00,55,17,38,-0.020399999999999086
