Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,10,3,7,0.00027000000000021625
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,9,3,6,0.00031999999999989936
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,10,3,7,-0.0013800000000001593
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,11,2,9,-0.009110000000000416
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,9,5,4,0.0045400000000000084
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,12,4,8,-0.0014699999999999045
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,8,1,7,-0.007619999999999915
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,10,5,5,0.005270000000000111
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,11,5,6,0.011730000000000216
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,12,4,8,-0.0028300000000008197
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,12,1,11,-0.015230000000000342
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,7,1,6,-0.011440000000000262
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,12,3,9,-0.012340000000000045
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,13,5,8,0.0026899999999993665
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,8,3,5,0.000590000000000146
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,11,3,8,-0.005369999999999882
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,8,3,5,0.000990000000000102
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,7,3,4,0.0033300000000003535
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,9,3,6,-0.007269999999999853
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,10,4,6,0.0018900000000001832
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,8,3,5,0.0019999999999998352
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,13,2,11,-0.015010000000000016
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,9,2,7,-0.006249999999999832
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,8,3,5,-0.0011500000000001578
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,13,3,10,-0.009119999999999892
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,9,3,6,-0.0008600000000003327
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,11,5,6,0.005459999999999729
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,12,3,9,-0.011270000000000224
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,9,0,9,-0.014779999999999599
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,11,1,10,-0.012130000000000057
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,9,3,6,0.0025900000000002865
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,8,1,7,-0.009679999999999911
