Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,7,5,2,-0.0037300000000001668
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,9,4,5,0.0020599999999995284
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,12,5,7,-0.0003199999999999189
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,10,4,6,0.0029200000000002566
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,8,3,5,0.0020600000000002175
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,8,2,6,-0.0017700000000004479
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,12,1,11,-0.01675999999999993
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,8,4,4,0.006469999999999797
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,8,1,7,-0.011570000000000039
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,11,5,6,-0.0010599999999996237
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,11,2,9,-0.006149999999999888
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,9,3,6,-0.0016700000000000256
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,11,4,7,-0.007400000000000302
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,11,3,8,-0.004269999999999781
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,11,3,8,-0.0014699999999996452
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,7,4,3,0.0007799999999998572
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,5,2,3,0.0017100000000002183
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,5,2,3,-0.0022999999999996287
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,10,2,8,-0.007140000000000354
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,11,4,7,-0.0047000000000001554
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,5,3,2,0.007579999999999816
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,14,4,10,-0.005919999999999995
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,8,5,3,0.01131999999999983
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,10,2,8,-0.0068800000000004274
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,11,4,7,0.0017100000000000934
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,7,3,4,0.0031899999999996584
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,9,4,5,0.002970000000000174
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,11,2,9,-0.005530000000000042
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,9,2,7,-0.0012399999999998731
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,10,3,7,-0.003220000000000209
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,10,4,6,-0.0008500000000000035
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,10,2,8,-0.005350000000000174
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,10,1,9,-0.014870000000000404
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,7,3,4,0.001449999999999979
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,12,2,10,-0.011199999999999766
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,12,2,10,-0.013200000000000212
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,6,2,4,-0.0016100000000005
38,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,12,2,10,-0.010399999999999632
39,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,10,3,7,-0.0043499999999999095
40,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,9,4,5,0.0021099999999998065
41,2018-06-11 04:05:00+00:00,2018-06-18 04:00:00+00:00,8,3,5,-0.0012300000000002864
42,2018-06-18 04:05:00+00:00,2018-06-25 04:00:00+00:00,9,3,6,-0.005050000000000027
43,2018-06-25 04:05:00+00:00,2018-07-02 04:00:00+00:00,11,5,6,0.004409999999999498
44,2018-07-02 04:05:00+00:00,2018-07-09 04:00:00+00:00,10,2,8,-0.007610000000000172
45,2018-07-09 04:05:00+00:00,2018-07-16 04:00:00+00:00,10,3,7,-0.009129999999999902
46,2018-07-16 04:05:00+00:00,2018-07-23 04:00:00+00:00,12,3,9,-0.006140000000000145
47,2018-07-23 04:05:00+00:00,2018-07-30 04:00:00+00:00,7,1,6,-0.007980000000000292
48,2018-07-30 04:05:00+00:00,2018-08-06 04:00:00+00:00,8,4,4,0.0018500000000001293
49,2018-08-06 04:05:00+00:00,2018-08-13 04:00:00+00:00,7,3,4,-0.00243999999999997
50,2018-08-13 04:05:00+00:00,2018-08-20 04:00:00+00:00,9,2,7,-0.002290000000000597
51,2018-08-20 04:05:00+00:00,2018-08-27 04:00:00+00:00,7,2,5,0.00028000000000008574
52,2018-08-27 04:05:00+00:00,2018-09-03 04:00:00+00:00,12,2,10,-0.011600000000000166
53,2018-09-03 04:05:00+00:00,2018-09-10 04:00:00+00:00,11,4,7,-0.004160000000000025
54,2018-09-10 04:05:00+00:00,2018-09-17 04:00:00+00:00,8,2,6,-0.0008300000000003305
55,2018-09-17 04:05:00+00:00,2018-09-24 04:00:00+00:00,5,3,2,0.0037500000000000033
56,2018-09-24 04:05:00+00:00,2018-10-01 04:00:00+00:00,10,5,5,0.006640000000000368
57,2018-10-01 04:05:00+00:00,2018-10-08 04:00:00+00:00,11,3,8,-0.008790000000000159
58,2018-10-08 04:05:00+00:00,2018-10-15 04:00:00+00:00,7,3,4,0.0013000000000003287
59,2018-10-15 04:05:00+00:00,2018-10-22 04:00:00+00:00,8,6,2,0.010599999999999943
60,2018-10-22 04:05:00+00:00,2018-10-29 04:00:00+00:00,3,2,1,-0.002699999999999786
61,2018-10-29 04:05:00+00:00,2018-11-05 04:00:00+00:00,10,4,6,0.0021500000000000408
62,2018-11-05 04:05:00+00:00,2018-11-12 04:00:00+00:00,8,3,5,0.0005699999999995153
63,2018-11-12 04:05:00+00:00,2018-11-19 04:00:00+00:00,9,3,6,-0.003630000000000272
64,2018-11-19 04:05:00+00:00,2018-11-26 04:00:00+00:00,8,3,5,-0.000400000000000178
65,2018-11-26 04:05:00+00:00,2018-12-03 04:00:00+00:00,12,4,8,-0.005410000000000026
66,2018-12-03 04:05:00+00:00,2018-12-10 04:00:00+00:00,6,2,4,0.003939999999999666
67,2018-12-10 04:05:00+00:00,2018-12-17 04:00:00+00:00,8,3,5,-0.0004099999999997994
68,2018-12-17 04:05:00+00:00,2018-12-24 04:00:00+00:00,12,1,11,-0.018140000000000156
69,2018-12-24 04:05:00+00:00,2018-12-31 04:00:00+00:00,8,2,5,-0.0019500000000000905
70,2018-12-31 04:05:00+00:00,2019-01-07 04:00:00+00:00,15,4,11,-0.011919999999999903
71,2019-01-07 04:05:00+00:00,2019-01-14 04:00:00+00:00,8,2,6,-0.002369999999999761
72,2019-01-14 04:05:00+00:00,2019-01-21 04:00:00+00:00,9,2,7,-0.0038800000000001333
73,2019-01-21 04:05:00+00:00,2019-01-28 04:00:00+00:00,8,1,7,-0.009390000000000676
74,2019-01-28 04:05:00+00:00,2019-02-04 04:00:00+00:00,5,3,2,0.005650000000000238
75,2019-02-04 04:05:00+00:00,2019-02-11 04:00:00+00:00,8,3,5,-0.0006999999999999229
