Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-09-05 09:05:00+00:00,1.18986,2017-09-05 17:30:00+00:00,1.1928,-0.003140000000000165
buy,2017-09-05 22:35:00+00:00,1.19292,2017-09-05 23:10:00+00:00,1.19126,-0.001859999999999995
short,2017-09-06 04:35:00+00:00,1.19108,2017-09-06 08:45:00+00:00,1.19192,-0.0010400000000001736
short,2017-09-06 12:45:00+00:00,1.19354,2017-09-06 17:45:00+00:00,1.19306,0.0002800000000000363
short,2017-09-06 19:15:00+00:00,1.19365,2017-09-07 02:55:00+00:00,1.19264,0.0008100000000001778
buy,2017-09-07 10:45:00+00:00,1.19498,2017-09-07 12:50:00+00:00,1.19808,0.0029000000000001026
buy,2017-09-07 13:50:00+00:00,1.1989,2017-09-07 14:50:00+00:00,1.19721,-0.0018899999999999694
short,2017-09-08 16:45:00+00:00,1.20334,2017-09-08 22:00:00+00:00,1.20377,-0.0006299999999999301
short,2017-09-11 00:00:00+00:00,1.20164,2017-09-11 15:40:00+00:00,1.19826,0.0031799999999999385
buy,2017-09-12 10:25:00+00:00,1.19761,2017-09-12 11:15:00+00:00,1.19616,-0.0016500000000001735
short,2017-09-12 13:40:00+00:00,1.19436,2017-09-12 17:15:00+00:00,1.19632,-0.0021599999999999614
short,2017-09-13 00:30:00+00:00,1.19627,2017-09-13 04:50:00+00:00,1.19881,-0.0027399999999999872
short,2017-09-13 15:45:00+00:00,1.19738,2017-09-13 16:55:00+00:00,1.19377,0.0034100000000001126
short,2017-09-14 03:50:00+00:00,1.18816,2017-09-14 10:45:00+00:00,1.19021,-0.0022499999999998858
short,2017-09-14 15:30:00+00:00,1.1859,2017-09-14 15:45:00+00:00,1.18811,-0.002410000000000046
buy,2017-09-14 20:00:00+00:00,1.18899,2017-09-15 02:00:00+00:00,1.19205,0.002860000000000062
buy,2017-09-15 08:40:00+00:00,1.19129,2017-09-15 12:10:00+00:00,1.19438,0.002890000000000037
short,2017-09-15 19:40:00+00:00,1.19563,2017-09-18 00:00:00+00:00,1.19242,0.003009999999999935
buy,2017-09-18 04:50:00+00:00,1.19474,2017-09-18 07:45:00+00:00,1.19414,-0.000799999999999934
short,2017-09-18 08:25:00+00:00,1.19383,2017-09-18 13:45:00+00:00,1.19556,-0.0019300000000000094
buy,2017-09-19 01:40:00+00:00,1.19573,2017-09-19 08:25:00+00:00,1.19877,0.0028399999999999316
buy,2017-09-19 09:10:00+00:00,1.19961,2017-09-19 11:35:00+00:00,1.19728,-0.0025300000000001654
short,2017-09-19 14:25:00+00:00,1.19723,2017-09-19 15:35:00+00:00,1.19877,-0.0017399999999998745
short,2017-09-20 07:05:00+00:00,1.20051,2017-09-20 15:00:00+00:00,1.20083,-0.0005200000000000976
short,2017-09-20 15:15:00+00:00,1.2001,2017-09-20 20:35:00+00:00,1.2006,-0.0006999999999999446
short,2017-09-20 21:00:00+00:00,1.19494,2017-09-20 21:15:00+00:00,1.19136,0.0033799999999999165
buy,2017-09-22 04:20:00+00:00,1.19489,2017-09-22 10:30:00+00:00,1.19816,0.003069999999999884
short,2017-09-22 13:10:00+00:00,1.19729,2017-09-22 19:50:00+00:00,1.19406,0.003030000000000066
short,2017-09-25 00:00:00+00:00,1.18979,2017-09-25 00:55:00+00:00,1.19144,-0.0018500000000001514
buy,2017-09-25 16:10:00+00:00,1.18814,2017-09-25 17:55:00+00:00,1.18662,-0.001719999999999966
buy,2017-09-26 02:50:00+00:00,1.18568,2017-09-26 08:40:00+00:00,1.184,-0.001880000000000126
short,2017-09-27 15:30:00+00:00,1.17338,2017-09-27 19:10:00+00:00,1.17511,-0.0019300000000000094
short,2017-09-28 06:45:00+00:00,1.17289,2017-09-28 09:45:00+00:00,1.17476,-0.0020700000000000384
short,2017-09-28 15:35:00+00:00,1.17734,2017-09-28 16:15:00+00:00,1.1785,-0.0013600000000000504
buy,2017-09-28 21:00:00+00:00,1.17891,2017-09-29 12:00:00+00:00,1.17928,0.00017000000000020384
buy,2017-09-29 15:30:00+00:00,1.18203,2017-09-29 16:55:00+00:00,1.17952,-0.002710000000000012
short,2017-09-29 23:40:00+00:00,1.18157,2017-10-02 04:10:00+00:00,1.17851,0.002860000000000062
short,2017-10-03 08:00:00+00:00,1.17046,2017-10-03 09:50:00+00:00,1.17216,-0.0019000000000000353
buy,2017-10-04 02:55:00+00:00,1.17477,2017-10-04 05:10:00+00:00,1.17789,0.002920000000000011
buy,2017-10-04 08:05:00+00:00,1.17705,2017-10-04 10:00:00+00:00,1.17507,-0.0021799999999998713
short,2017-10-04 17:00:00+00:00,1.17523,2017-10-05 10:00:00+00:00,1.17684,-0.0018100000000001119
short,2017-10-05 12:10:00+00:00,1.1766,2017-10-05 15:45:00+00:00,1.1731,0.003300000000000058
buy,2017-10-05 22:35:00+00:00,1.17067,2017-10-06 07:00:00+00:00,1.16914,-0.0017300000000000319
short,2017-10-06 10:20:00+00:00,1.16891,2017-10-06 12:45:00+00:00,1.1707,-0.001990000000000181
short,2017-10-06 15:25:00+00:00,1.16959,2017-10-06 17:20:00+00:00,1.1719,-0.0025100000000000348
buy,2017-10-06 21:55:00+00:00,1.17338,2017-10-09 09:05:00+00:00,1.17292,-0.0006600000000001275
buy,2017-10-09 13:55:00+00:00,1.17454,2017-10-09 17:15:00+00:00,1.17278,-0.0019599999999999843
buy,2017-10-09 22:15:00+00:00,1.17539,2017-10-10 12:30:00+00:00,1.17845,0.002860000000000062
buy,2017-10-10 17:50:00+00:00,1.18157,2017-10-10 19:00:00+00:00,1.18003,-0.0017400000000000974
buy,2017-10-11 03:10:00+00:00,1.1822,2017-10-11 05:00:00+00:00,1.1806,-0.0017999999999998243
buy,2017-10-11 21:00:00+00:00,1.18505,2017-10-12 16:55:00+00:00,1.18329,-0.0019599999999999826
short,2017-10-12 19:55:00+00:00,1.18351,2017-10-12 20:45:00+00:00,1.18482,-0.0015099999999999211
short,2017-10-13 02:00:00+00:00,1.18257,2017-10-13 03:45:00+00:00,1.18416,-0.0017900000000002012
short,2017-10-13 12:50:00+00:00,1.18259,2017-10-13 15:30:00+00:00,1.18574,-0.003349999999999985
short,2017-10-16 20:15:00+00:00,1.18058,2017-10-17 04:30:00+00:00,1.17755,0.0028299999999998673
buy,2017-10-18 21:20:00+00:00,1.1792,2017-10-19 06:00:00+00:00,1.17965,0.00025000000000006267
