Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-09-04 07:55:00+00:00,1.29516,2017-09-04 19:35:00+00:00,1.29179,0.003170000000000095
short,2017-09-05 00:00:00+00:00,1.29165,2017-09-05 01:30:00+00:00,1.29321,-0.001760000000000006
short,2017-09-05 04:25:00+00:00,1.29201,2017-09-05 04:40:00+00:00,1.29275,-0.0009399999999999629
buy,2017-09-05 17:00:00+00:00,1.2995,2017-09-05 17:50:00+00:00,1.30251,0.002809999999999957
buy,2017-09-06 10:55:00+00:00,1.30344,2017-09-06 17:55:00+00:00,1.30705,0.0034100000000001126
short,2017-09-06 19:55:00+00:00,1.30483,2017-09-07 03:15:00+00:00,1.30495,-0.00032000000000011967
short,2017-09-07 06:00:00+00:00,1.30427,2017-09-07 06:20:00+00:00,1.30487,-0.0007999999999999336
short,2017-09-07 09:00:00+00:00,1.30424,2017-09-07 10:50:00+00:00,1.30488,-0.0008399999999999736
buy,2017-09-07 15:45:00+00:00,1.30985,2017-09-07 16:45:00+00:00,1.30766,-0.0023899999999999143
short,2017-09-08 02:00:00+00:00,1.30956,2017-09-08 05:20:00+00:00,1.31143,-0.0020700000000000384
short,2017-09-11 03:10:00+00:00,1.31852,2017-09-11 13:10:00+00:00,1.32043,-0.0021100000000000784
short,2017-09-11 15:25:00+00:00,1.32066,2017-09-11 18:35:00+00:00,1.31766,0.0027999999999998916
short,2017-09-11 22:05:00+00:00,1.3165,2017-09-12 06:05:00+00:00,1.31802,-0.001719999999999966
buy,2017-09-13 00:40:00+00:00,1.32856,2017-09-13 03:55:00+00:00,1.32843,-0.00032999999999996357
short,2017-09-13 09:25:00+00:00,1.33043,2017-09-13 09:30:00+00:00,1.33089,-0.000659999999999905
short,2017-09-14 03:50:00+00:00,1.32034,2017-09-14 08:00:00+00:00,1.32045,-0.00030999999999983254
short,2017-09-14 08:15:00+00:00,1.31986,2017-09-14 09:20:00+00:00,1.32156,-0.0019000000000000345
buy,2017-09-14 18:05:00+00:00,1.33806,2017-09-15 01:00:00+00:00,1.33927,0.0010099999999999333
buy,2017-09-15 07:50:00+00:00,1.34017,2017-09-15 09:40:00+00:00,1.34391,0.0035399999999998545
short,2017-09-18 02:25:00+00:00,1.3579,2017-09-18 05:00:00+00:00,1.35962,-0.0019199999999999439
buy,2017-09-18 22:50:00+00:00,1.34969,2017-09-19 07:35:00+00:00,1.35286,0.002969999999999895
short,2017-09-19 11:00:00+00:00,1.35204,2017-09-19 11:25:00+00:00,1.34845,0.0033899999999999816
buy,2017-09-20 03:10:00+00:00,1.35212,2017-09-20 11:30:00+00:00,1.36066,0.008339999999999992
buy,2017-09-20 20:35:00+00:00,1.3593,2017-09-20 21:00:00+00:00,1.35459,-0.0049099999999999925
short,2017-09-21 08:40:00+00:00,1.34847,2017-09-21 09:25:00+00:00,1.35017,-0.0019000000000000353
buy,2017-09-21 23:10:00+00:00,1.35801,2017-09-22 00:00:00+00:00,1.35737,-0.0008399999999999736
short,2017-09-22 13:10:00+00:00,1.35441,2017-09-22 14:05:00+00:00,1.35643,-0.002220000000000133
buy,2017-09-22 15:45:00+00:00,1.35736,2017-09-22 16:20:00+00:00,1.35497,-0.0025899999999998923
short,2017-09-22 23:35:00+00:00,1.34802,2017-09-22 23:55:00+00:00,1.34952,-0.001700000000000057
