Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,8,3,5,-0.004569999999999916
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,10,5,5,0.004140000000000032
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,11,4,7,0.0022499999999996212
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,7,1,6,-0.011499999999999998
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,9,3,6,-0.0030400000000001346
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,9,1,8,-0.011910000000000061
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,4,2,2,-0.0012399999999999911
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,11,3,8,-0.004870000000000159
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,11,2,9,-0.010289999999999917
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,7,2,5,0.0011099999999997986
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,11,7,4,0.016139999999999814
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,10,3,7,-0.0052000000000000796
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,10,6,4,0.01034000000000003
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,5,1,4,-0.0018799999999997638
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,9,3,6,-0.0011799999999997021
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,10,3,7,-0.000979999999999967
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,5,3,2,0.004970000000000037
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,8,2,6,-0.004619999999999794
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,12,5,7,0.0008499999999997676
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,10,2,8,-0.008269999999999542
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,5,1,4,-0.004019999999999798
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,10,1,9,-0.012679999999999789
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,8,2,6,-0.002939999999999665
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,13,6,7,0.00205999999999968
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,9,2,7,-0.00626000000000012
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,11,3,8,-0.002829999999999895
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,10,1,9,-0.013320000000000026
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,12,2,10,-0.00858999999999932
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,11,5,6,-0.0006400000000000572
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,12,1,11,-0.01641000000000037
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,11,0,11,-0.019949999999999773
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,9,0,9,-0.01113000000000032
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,10,0,10,-0.01445000000000013
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,11,6,5,0.0066700000000003146
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,9,3,6,-0.0020399999999996254
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,16,9,7,0.01034999999999986
