Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-09-04 04:10:00+00:00,1.1884,2017-09-04 05:55:00+00:00,1.18836,-0.00016000000000018205
buy,2017-09-04 07:30:00+00:00,1.18825,2017-09-04 09:05:00+00:00,1.19005,0.0016000000000000237
short,2017-09-04 09:35:00+00:00,1.18841,2017-09-04 10:50:00+00:00,1.18992,-0.0017100000000001224
short,2017-09-04 12:20:00+00:00,1.19098,2017-09-04 15:40:00+00:00,1.1894,0.0013799999999999147
buy,2017-09-04 16:05:00+00:00,1.19018,2017-09-04 18:45:00+00:00,1.19176,0.0013799999999999147
short,2017-09-04 19:20:00+00:00,1.19151,2017-09-04 19:55:00+00:00,1.1889,0.002410000000000001
buy,2017-09-04 21:00:00+00:00,1.19001,2017-09-05 02:10:00+00:00,1.18964,-0.0005699999999999811
short,2017-09-05 06:50:00+00:00,1.19065,2017-09-05 09:45:00+00:00,1.19051,-5.999999999997067e-05
buy,2017-09-05 10:25:00+00:00,1.18961,2017-09-05 10:35:00+00:00,1.18806,-0.0017500000000001624
buy,2017-09-05 11:30:00+00:00,1.18812,2017-09-05 13:20:00+00:00,1.19002,0.0017000000000000127
short,2017-09-05 14:10:00+00:00,1.18902,2017-09-05 17:05:00+00:00,1.19083,-0.0020100000000000894
short,2017-09-05 18:05:00+00:00,1.19049,2017-09-05 19:15:00+00:00,1.1921,-0.0018099999999998894
short,2017-09-05 19:25:00+00:00,1.19205,2017-09-05 19:55:00+00:00,1.19031,0.0015400000000000747
buy,2017-09-05 21:10:00+00:00,1.1905,2017-09-05 21:55:00+00:00,1.192,0.0013000000000000568
short,2017-09-05 22:55:00+00:00,1.19182,2017-09-06 00:55:00+00:00,1.19137,0.00025000000000006137
short,2017-09-06 03:05:00+00:00,1.19221,2017-09-06 04:45:00+00:00,1.19053,0.0014799999999999037
buy,2017-09-06 05:25:00+00:00,1.1911,2017-09-06 09:40:00+00:00,1.19185,0.0005500000000000288
short,2017-09-06 10:00:00+00:00,1.19254,2017-09-06 11:05:00+00:00,1.19446,-0.002120000000000144
short,2017-09-06 11:45:00+00:00,1.19371,2017-09-06 14:30:00+00:00,1.19217,0.0013400000000000968
buy,2017-09-06 14:55:00+00:00,1.19318,2017-09-06 17:15:00+00:00,1.19154,-0.0018399999999998639
buy,2017-09-06 17:45:00+00:00,1.19306,2017-09-06 18:20:00+00:00,1.19462,0.0013600000000000057
