Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,68,43,25,0.004640000000000699
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,72,38,34,-0.013609999999998828
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,72,44,28,0.009929999999999065
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,78,39,38,-0.01979999999999954
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,69,38,31,-0.008340000000000344
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,72,41,31,-0.005420000000001035
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,77,46,30,-0.001870000000000288
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,68,40,28,-0.008359999999998452
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,60,34,26,-0.015049999999999925
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,63,38,25,-0.002300000000000399
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,74,41,33,-0.018179999999998954
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,58,29,29,-0.01907000000000042
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,78,42,36,-0.022290000000000088
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,70,41,29,-0.008100000000001273
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,67,32,35,-0.01496000000000039
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,62,36,26,-0.004920000000000202
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,46,24,22,-0.019700000000001328
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,54,28,26,-0.013040000000000995
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,74,38,36,-0.021919999999999995
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,89,51,38,-0.01286000000000101
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,87,53,34,-0.017290000000000222
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,82,47,35,-0.014479999999998994
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,93,55,38,-0.01142999999999919
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,73,41,32,-0.02338999999999891
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,76,52,24,0.011330000000001395
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,64,40,24,0.0018200000000019312
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,70,37,30,-0.020289999999997033
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,63,30,32,-0.017579999999999263
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,65,32,33,-0.018449999999998745
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,65,31,33,-0.015269999999999007
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,66,33,33,-0.009550000000000392
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,62,37,25,-0.005759999999999099
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,68,34,34,-0.017869999999998054
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,77,45,32,-0.007389999999998009
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,75,45,30,0.0013900000000020007
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,74,40,33,-0.024189999999999046
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,65,34,30,-0.017549999999999066
38,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,74,46,28,-0.012209999999998722
39,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,73,34,39,-0.022199999999998887
40,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,75,50,25,0.006820000000000714
41,2018-06-11 04:05:00+00:00,2018-06-18 04:00:00+00:00,74,40,34,-0.017840000000000078
42,2018-06-18 04:05:00+00:00,2018-06-25 04:00:00+00:00,74,47,27,-0.0050899999999978185
