Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,64,20,44,-0.00689999999999956
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,68,18,50,-0.022559999999998713
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,59,15,44,-0.031739999999999775
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,67,19,47,-0.013150000000001029
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,61,13,48,-0.02284000000000011
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,63,19,44,-0.016050000000000314
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,63,20,43,-0.012990000000001126
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,63,18,45,-0.016039999999999804
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,60,12,48,-0.022339999999999915
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,57,14,43,-0.0212000000000008
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,62,17,45,-0.013880000000000947
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,64,17,47,-0.013430000000000941
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,60,21,39,-0.0061200000000011245
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,64,18,46,-0.010400000000000409
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,59,19,40,-0.010020000000000667
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,58,13,45,-0.01185000000000025
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,41,14,27,-0.001799999999998303
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,48,15,33,-0.011309999999998821
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,63,21,42,-0.02350999999999903
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,68,24,44,-0.022369999999996004
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,67,22,45,-0.01640999999999826
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,77,19,58,-0.03584999999999905
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,66,19,47,-0.017779999999999685
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,66,19,46,-0.024119999999998365
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,65,19,46,-0.015319999999997336
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,60,28,32,-0.0022699999999973297
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,62,14,48,-0.020069999999999366
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,60,20,39,-0.016479999999999162
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,60,23,37,0.0012500000000015277
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,60,17,43,-0.015299999999998315
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,63,21,42,-0.01770999999999856
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,59,14,45,-0.017239999999999256
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,63,18,45,-0.01307999999999887
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,66,17,48,-0.02782999999999758
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,62,14,48,-0.020349999999997648
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,66,20,45,-0.014539999999997333
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,64,22,42,-0.012889999999998736
