Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,54,22,32,-0.0017599999999993988
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,63,23,40,0.0030600000000000124
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,57,21,36,0.0018600000000007126
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,62,24,38,-0.0004299999999995176
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,55,24,31,0.00975000000000004
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,54,27,27,0.016220000000000984
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,57,30,27,0.012269999999999927
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,58,25,33,0.007680000000001588
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,61,28,33,0.015559999999999845
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,57,28,29,0.01303999999999969
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,48,26,22,0.011989999999998613
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,61,26,35,0.0036799999999993227
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,61,23,38,0.005869999999999237
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,54,22,32,0.005109999999999337
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,57,24,33,0.012469999999999953
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,55,27,28,0.013110000000000663
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,62,23,39,-0.0002499999999995839
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,65,30,35,0.0034899999999992992
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,68,30,38,0.013219999999997678
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,72,37,35,0.0054800000000003735
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,90,52,38,0.04922999999999961
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,74,34,40,0.014939999999998343
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,69,30,39,0.0006300000000006578
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,72,36,36,0.008290000000000353
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,66,26,40,0.0003899999999991688
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,69,23,46,-0.008930000000000465
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,66,21,45,0.004240000000000854
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,77,40,37,0.028560000000000113
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,79,30,49,-0.004509999999999792
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,77,38,39,0.012540000000002854
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,70,33,37,0.009910000000001473
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,68,39,29,0.029910000000002324
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,63,31,32,0.018770000000002396
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,71,33,38,0.009150000000001324
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,85,48,37,0.02493000000000256
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,75,31,44,-0.00018000000000140126
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,73,31,42,0.012930000000001218
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,67,30,37,0.009590000000000654
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,77,40,36,0.022090000000001275
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,79,39,40,0.021630000000000704
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,80,42,38,0.021440000000002124
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,78,37,41,0.010740000000002192
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,57,28,29,0.01686000000000143
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,70,32,38,0.010550000000001614
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,65,32,33,0.018020000000001257
46,2022-08-25 21:20:00+00:00,2022-09-01 21:15:00+00:00,71,40,31,0.026550000000000573
47,2022-09-01 21:20:00+00:00,2022-09-02 23:50:00+00:00,16,8,8,0.006540000000000323
