Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,60,23,37,0.0031399999999994774
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,68,32,36,0.010850000000000446
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,64,25,39,0.0062699999999986
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,66,27,39,0.01096000000000055
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,65,27,38,0.00834999999999925
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,66,32,34,0.017630000000000715
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,61,31,30,0.01842999999999969
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,64,26,38,0.007479999999998932
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,64,25,39,0.0041399999999995885
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,61,34,27,0.020119999999999222
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,55,23,32,0.0076900000000002244
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,63,28,34,0.008669999999999789
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,66,24,42,0.008540000000000159
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,60,27,33,0.006970000000000032
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,57,28,29,0.01298999999999842
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,68,30,38,0.009989999999999999
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,65,28,37,0.010170000000000262
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,70,35,35,0.01520999999999939
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,72,33,39,0.014119999999998911
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,74,36,38,0.016619999999999635
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,76,50,26,0.039719999999999756
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,72,43,29,0.03460000000000141
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,66,43,23,0.027330000000001853
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,74,37,37,0.013970000000001703
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,69,31,37,0.015830000000000677
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,71,36,35,0.01595000000000163
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,63,31,32,0.011890000000001621
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,83,48,35,0.027790000000001314
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,72,37,35,0.023500000000001353
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,78,40,38,0.020630000000001036
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,73,35,38,0.01781000000000099
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,71,37,34,0.017730000000000856
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,65,30,35,0.018600000000002392
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,73,35,38,0.013160000000000394
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,80,54,26,0.04053999999999991
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,73,38,34,0.01702999999999988
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,71,30,40,0.013980000000000548
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,77,38,39,0.022649999999999504
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,71,47,24,0.03927999999999876
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,74,39,35,0.01823000000000108
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,79,41,38,0.028509999999999258
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,74,45,29,0.029119999999999813
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,68,33,35,0.017510000000000914
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,70,36,34,0.014520000000000421
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,68,32,36,0.002970000000000028
46,2022-08-25 21:20:00+00:00,2022-09-01 21:15:00+00:00,79,48,31,0.033289999999998265
47,2022-09-01 21:20:00+00:00,2022-09-02 23:50:00+00:00,15,7,8,0.0006300000000004635
