Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,27,14,13,-0.0025300000000000734
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,32,25,7,0.020150000000000293
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,31,15,16,-0.009130000000000775
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,35,19,16,0.002510000000000111
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,35,14,21,-0.006940000000000281
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,30,17,13,0.0006500000000000438
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,36,19,17,-0.002240000000000595
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,30,9,21,-0.011139999999999704
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,31,16,15,0.004129999999999714
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,27,16,11,0.0004499999999999088
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,39,22,17,0.008519999999999884
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,34,24,10,0.015649999999999872
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,27,13,14,-0.002590000000000238
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,36,19,17,-0.00825000000000178
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,21,6,15,-0.018629999999999945
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,38,15,23,-0.019710000000000047
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,39,24,15,0.011279999999999804
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,38,23,15,0.012019999999999555
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,36,20,16,-0.007570000000000661
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,48,20,28,-0.009880000000000262
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,50,29,21,0.002160000000000193
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,45,25,20,-0.001980000000000145
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,40,24,16,0.003539999999999488
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,42,25,17,0.00028999999999902715
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,35,16,18,-0.009199999999999917
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,36,20,16,-0.004579999999999668
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,36,18,18,-0.003400000000000153
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,42,23,19,-0.0003500000000005027
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,47,28,19,0.0011799999999998687
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,45,20,25,-0.012729999999999513
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,46,19,27,-0.018329999999999604
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,39,23,16,0.003270000000000578
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,35,19,16,-0.004510000000000319
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,38,23,15,-0.00255999999999984
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,54,28,26,-0.007279999999999898
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,41,25,16,0.001700000000000007
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,41,23,18,-0.002750000000000058
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,47,24,23,-0.0028499999999991033
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,45,27,18,0.01829
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,49,28,21,0.010360000000000036
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,49,32,16,0.022300000000000098
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,46,27,19,-0.004639999999999381
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,46,20,26,-0.016749999999999446
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,43,26,17,0.00400999999999984
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,33,22,11,0.0045799999999992305
46,2022-08-25 21:20:00+00:00,2022-09-01 21:15:00+00:00,42,31,11,0.017840000000000425
47,2022-09-01 21:20:00+00:00,2022-09-02 23:50:00+00:00,9,5,4,-0.001759999999999949
