Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 18:03:00+00:00,2021-10-21 18:02:00+00:00,193,62,131,-0.008359999999999288
2,2021-10-21 18:03:00+00:00,2021-10-28 18:02:00+00:00,226,63,162,-0.011400000000000842
3,2021-10-28 18:03:00+00:00,2021-11-04 18:02:00+00:00,223,59,164,-0.018179999999999183
4,2021-11-04 18:03:00+00:00,2021-11-11 18:02:00+00:00,214,69,145,-0.005390000000000242
5,2021-11-11 18:03:00+00:00,2021-11-18 18:02:00+00:00,243,68,175,-0.02457999999999906
6,2021-11-18 18:03:00+00:00,2021-11-25 18:02:00+00:00,225,52,173,-0.022660000000002595
7,2021-11-25 18:03:00+00:00,2021-12-02 18:02:00+00:00,218,81,137,0.009199999999997377
8,2021-12-02 18:03:00+00:00,2021-12-09 18:02:00+00:00,213,62,151,-0.007079999999999226
9,2021-12-09 18:03:00+00:00,2021-12-16 18:02:00+00:00,222,58,164,-0.013630000000000864
10,2021-12-16 18:03:00+00:00,2021-12-23 18:02:00+00:00,194,60,134,-0.00465999999999972
11,2021-12-23 18:03:00+00:00,2021-12-30 18:02:00+00:00,199,56,143,-0.010740000000001054
12,2021-12-30 18:03:00+00:00,2022-01-06 18:02:00+00:00,209,67,142,-0.012580000000001174
13,2022-01-06 18:03:00+00:00,2022-01-13 18:02:00+00:00,235,62,173,-0.01833000000000204
14,2022-01-13 18:03:00+00:00,2022-01-20 18:02:00+00:00,224,60,164,-0.02844000000000113
15,2022-01-20 18:03:00+00:00,2022-01-27 18:02:00+00:00,216,58,158,-0.019290000000001584
16,2022-01-27 18:03:00+00:00,2022-02-03 18:02:00+00:00,236,69,167,-0.011420000000001651
17,2022-02-03 18:03:00+00:00,2022-02-10 18:02:00+00:00,234,74,160,-0.005640000000001255
18,2022-02-10 18:03:00+00:00,2022-02-17 18:02:00+00:00,245,76,169,-0.02086000000000246
19,2022-02-17 18:03:00+00:00,2022-02-24 18:02:00+00:00,216,76,140,0.0008300000000005525
20,2022-02-24 18:03:00+00:00,2022-03-03 18:02:00+00:00,259,80,178,-0.027919999999994893
21,2022-03-03 18:03:00+00:00,2022-03-10 18:02:00+00:00,258,114,143,0.039220000000002586
22,2022-03-10 18:03:00+00:00,2022-03-17 18:02:00+00:00,229,101,128,0.024290000000000672
23,2022-03-17 18:03:00+00:00,2022-03-24 18:02:00+00:00,204,80,124,0.011689999999999201
24,2022-03-24 18:03:00+00:00,2022-03-31 18:02:00+00:00,231,89,142,0.009999999999998038
25,2022-03-31 18:03:00+00:00,2022-04-07 18:02:00+00:00,218,70,148,-0.0038200000000019885
26,2022-04-07 18:03:00+00:00,2022-04-14 18:02:00+00:00,229,88,141,0.0077499999999977864
27,2022-04-14 18:03:00+00:00,2022-04-21 18:02:00+00:00,219,71,148,-0.009050000000000086
28,2022-04-21 18:03:00+00:00,2022-04-28 18:02:00+00:00,238,86,152,0.0033299999999987784
29,2022-04-28 18:03:00+00:00,2022-05-05 18:02:00+00:00,248,80,168,0.0029099999999964155
30,2022-05-05 18:03:00+00:00,2022-05-12 18:02:00+00:00,239,86,152,0.010060000000001124
31,2022-05-12 18:03:00+00:00,2022-05-19 18:02:00+00:00,228,81,147,0.0123099999999986
32,2022-05-19 18:03:00+00:00,2022-05-26 18:02:00+00:00,235,86,149,0.0013199999999981282
33,2022-05-26 18:03:00+00:00,2022-06-02 18:02:00+00:00,240,71,169,-0.019510000000001915
34,2022-06-02 18:03:00+00:00,2022-06-09 18:02:00+00:00,243,74,169,-0.007589999999998959
35,2022-06-09 18:03:00+00:00,2022-06-16 18:02:00+00:00,243,100,143,0.020559999999997608
36,2022-06-16 18:03:00+00:00,2022-06-23 18:02:00+00:00,247,94,153,0.005929999999996688
37,2022-06-23 18:03:00+00:00,2022-06-30 18:02:00+00:00,222,70,152,-0.00516000000000244
38,2022-06-30 18:03:00+00:00,2022-07-07 18:02:00+00:00,249,79,170,-0.0032800000000017537
39,2022-07-07 18:03:00+00:00,2022-07-14 18:02:00+00:00,232,98,134,0.025190000000001933
40,2022-07-14 18:03:00+00:00,2022-07-21 18:02:00+00:00,227,103,124,0.039459999999996526
41,2022-07-21 18:03:00+00:00,2022-07-28 18:02:00+00:00,230,100,129,0.03729000000000023
42,2022-07-28 18:03:00+00:00,2022-08-04 18:02:00+00:00,246,76,170,-0.015360000000000172
43,2022-08-04 18:03:00+00:00,2022-08-11 18:02:00+00:00,223,71,152,-0.0011400000000021115
44,2022-08-11 18:03:00+00:00,2022-08-18 18:02:00+00:00,228,72,156,-0.007690000000002084
45,2022-08-18 18:03:00+00:00,2022-08-25 18:02:00+00:00,252,79,173,-0.01888000000000134
46,2022-08-25 18:03:00+00:00,2022-09-01 18:02:00+00:00,235,90,145,0.03116999999999928
47,2022-09-01 18:03:00+00:00,2022-09-02 23:55:00+00:00,64,24,40,0.005849999999999647
