Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:23:00+00:00,2021-10-21 21:22:00+00:00,11,5,6,-0.0008599999999998821
2,2021-10-21 21:23:00+00:00,2021-10-28 21:22:00+00:00,9,3,6,-0.002109999999999811
3,2021-10-28 21:23:00+00:00,2021-11-04 21:22:00+00:00,8,4,4,0.00110999999999999
4,2021-11-04 21:23:00+00:00,2021-11-11 21:22:00+00:00,8,4,4,-0.00033000000000034044
5,2021-11-11 21:23:00+00:00,2021-11-18 21:22:00+00:00,8,4,4,0.003540000000000366
6,2021-11-18 21:23:00+00:00,2021-11-25 21:22:00+00:00,8,2,6,-0.005199999999999826
7,2021-11-25 21:23:00+00:00,2021-12-02 21:22:00+00:00,6,3,3,0.0015699999999997166
8,2021-12-02 21:23:00+00:00,2021-12-09 21:22:00+00:00,4,2,2,0.0007399999999998749
9,2021-12-09 21:23:00+00:00,2021-12-16 21:22:00+00:00,13,3,10,-0.014160000000000238
10,2021-12-16 21:23:00+00:00,2021-12-23 21:22:00+00:00,3,1,2,-0.0021299999999998057
11,2021-12-23 21:23:00+00:00,2021-12-30 21:22:00+00:00,5,0,5,-0.007139999999999806
12,2021-12-30 21:23:00+00:00,2022-01-06 21:22:00+00:00,9,4,5,-0.002339999999999974
13,2022-01-06 21:23:00+00:00,2022-01-13 21:22:00+00:00,12,3,9,-0.007670000000000093
14,2022-01-13 21:23:00+00:00,2022-01-20 21:22:00+00:00,6,3,3,0.0005400000000000821
15,2022-01-20 21:23:00+00:00,2022-01-27 21:22:00+00:00,8,5,3,0.003259999999999874
16,2022-01-27 21:23:00+00:00,2022-02-03 21:22:00+00:00,7,3,4,-0.000529999999999621
17,2022-02-03 21:23:00+00:00,2022-02-10 21:22:00+00:00,8,3,5,-0.004600000000000104
18,2022-02-10 21:23:00+00:00,2022-02-17 21:22:00+00:00,11,4,7,-0.005649999999999718
19,2022-02-17 21:23:00+00:00,2022-02-24 21:22:00+00:00,6,2,4,-0.004469999999999877
20,2022-02-24 21:23:00+00:00,2022-03-03 21:22:00+00:00,9,6,3,0.0032200000000002574
21,2022-03-03 21:23:00+00:00,2022-03-10 21:22:00+00:00,10,3,7,-0.009639999999999635
22,2022-03-10 21:23:00+00:00,2022-03-17 21:22:00+00:00,11,4,7,-0.006159999999999728
23,2022-03-17 21:23:00+00:00,2022-03-24 21:22:00+00:00,11,1,10,-0.010030000000000469
24,2022-03-24 21:23:00+00:00,2022-03-31 21:22:00+00:00,10,3,7,-0.006810000000000482
25,2022-03-31 21:23:00+00:00,2022-04-07 21:22:00+00:00,9,4,5,-0.002770000000000189
26,2022-04-07 21:23:00+00:00,2022-04-14 21:22:00+00:00,8,3,5,-0.0020500000000001073
27,2022-04-14 21:23:00+00:00,2022-04-21 21:22:00+00:00,9,3,6,-0.0006399999999997796
28,2022-04-21 21:23:00+00:00,2022-04-28 21:22:00+00:00,7,4,3,0.0007900000000000962
29,2022-04-28 21:23:00+00:00,2022-05-05 21:22:00+00:00,11,5,6,-0.0011300000000001587
30,2022-05-05 21:23:00+00:00,2022-05-12 21:22:00+00:00,10,5,5,-0.0017600000000002614
31,2022-05-12 21:23:00+00:00,2022-05-19 21:22:00+00:00,12,5,7,-0.00385000000000002
32,2022-05-19 21:23:00+00:00,2022-05-26 21:22:00+00:00,5,1,4,-0.004479999999999956
33,2022-05-26 21:23:00+00:00,2022-06-02 21:22:00+00:00,11,5,6,-0.003399999999999931
34,2022-06-02 21:23:00+00:00,2022-06-09 21:22:00+00:00,5,2,3,-0.001810000000000006
35,2022-06-09 21:23:00+00:00,2022-06-16 21:22:00+00:00,9,6,3,0.003979999999999845
36,2022-06-16 21:23:00+00:00,2022-06-23 21:22:00+00:00,13,3,10,-0.008270000000000138
37,2022-06-23 21:23:00+00:00,2022-06-30 21:22:00+00:00,10,4,6,-0.006500000000000006
38,2022-06-30 21:23:00+00:00,2022-07-07 21:22:00+00:00,11,5,6,-0.002979999999999844
39,2022-07-07 21:23:00+00:00,2022-07-14 21:22:00+00:00,3,0,3,-0.005670000000000147
40,2022-07-14 21:23:00+00:00,2022-07-21 21:22:00+00:00,8,1,7,-0.006730000000000125
41,2022-07-21 21:23:00+00:00,2022-07-28 21:22:00+00:00,8,4,4,-0.0026999999999999247
42,2022-07-28 21:23:00+00:00,2022-08-04 21:22:00+00:00,13,7,6,0.0012899999999992084
43,2022-08-04 21:23:00+00:00,2022-08-11 21:22:00+00:00,9,4,5,-0.00776999999999986
44,2022-08-11 21:23:00+00:00,2022-08-18 21:22:00+00:00,7,2,5,-0.0036500000000003474
45,2022-08-18 21:23:00+00:00,2022-08-25 21:22:00+00:00,15,5,10,-0.0069800000000002915
46,2022-08-25 21:23:00+00:00,2022-09-01 21:22:00+00:00,7,3,4,-0.0011099999999999166
47,2022-09-01 21:23:00+00:00,2022-09-02 23:55:00+00:00,0,0,0,0.0
