Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2017-09-04 04:10:00+00:00,1.1884,2017-09-04 07:15:00+00:00,1.18786,-0.0007399999999999849
buy,2017-09-04 08:20:00+00:00,1.18847,2017-09-04 09:05:00+00:00,1.19005,0.0013800000000001368
buy,2017-09-04 11:25:00+00:00,1.19134,2017-09-04 13:10:00+00:00,1.19054,-0.001000000000000134
short,2017-09-04 13:15:00+00:00,1.19028,2017-09-04 14:45:00+00:00,1.1914,-0.00132000000000001
buy,2017-09-04 14:50:00+00:00,1.1913,2017-09-04 15:15:00+00:00,1.19019,-0.0013099999999999445
short,2017-09-04 15:20:00+00:00,1.18989,2017-09-04 17:30:00+00:00,1.19065,-0.000960000000000094
buy,2017-09-04 17:35:00+00:00,1.19084,2017-09-04 19:45:00+00:00,1.19074,-0.00029999999999998864
short,2017-09-04 19:50:00+00:00,1.19044,2017-09-04 19:55:00+00:00,1.1889,0.0013399999999998747
short,2017-09-04 20:00:00+00:00,1.19002,2017-09-05 01:00:00+00:00,1.18972,9.999999999996687e-05
buy,2017-09-05 01:30:00+00:00,1.18978,2017-09-05 02:35:00+00:00,1.18943,-0.0005500000000000726
short,2017-09-05 02:40:00+00:00,1.18925,2017-09-05 03:55:00+00:00,1.18998,-0.0009300000000001195
buy,2017-09-05 04:00:00+00:00,1.19041,2017-09-05 08:15:00+00:00,1.19034,-0.00027000000000001415
short,2017-09-05 08:20:00+00:00,1.19042,2017-09-05 10:35:00+00:00,1.18806,0.0021600000000001397
short,2017-09-05 10:45:00+00:00,1.18742,2017-09-05 13:20:00+00:00,1.19002,-0.002800000000000158
buy,2017-09-05 13:30:00+00:00,1.19021,2017-09-05 14:15:00+00:00,1.18829,-0.0021199999999999223
buy,2017-09-05 15:35:00+00:00,1.19023,2017-09-05 16:55:00+00:00,1.18884,-0.0015900000000000029
buy,2017-09-05 17:05:00+00:00,1.19083,2017-09-05 17:30:00+00:00,1.1928,0.0017700000000000268
buy,2017-09-05 17:35:00+00:00,1.19274,2017-09-05 18:05:00+00:00,1.19049,-0.0024499999999998637
short,2017-09-05 19:55:00+00:00,1.19031,2017-09-05 21:40:00+00:00,1.19164,-0.0015300000000000539
buy,2017-09-05 21:45:00+00:00,1.19185,2017-09-05 23:15:00+00:00,1.19152,-0.000530000000000164
short,2017-09-05 23:55:00+00:00,1.19128,2017-09-06 01:10:00+00:00,1.19175,-0.000670000000000193
buy,2017-09-06 01:20:00+00:00,1.19193,2017-09-06 03:30:00+00:00,1.1917,-0.000429999999999953
short,2017-09-06 04:35:00+00:00,1.19108,2017-09-06 07:55:00+00:00,1.19141,-0.000530000000000164
buy,2017-09-06 08:10:00+00:00,1.19119,2017-09-06 10:05:00+00:00,1.19282,0.0014300000000000198
buy,2017-09-06 10:50:00+00:00,1.19312,2017-09-06 12:50:00+00:00,1.1932,-0.00011999999999992052
short,2017-09-06 12:55:00+00:00,1.19352,2017-09-06 15:45:00+00:00,1.19382,-0.0005000000000001895
short,2017-09-06 16:45:00+00:00,1.19231,2017-09-06 17:45:00+00:00,1.19306,-0.000950000000000029
buy,2017-09-06 18:20:00+00:00,1.19462,2017-09-06 19:15:00+00:00,1.19365,-0.001169999999999916
short,2017-09-06 21:00:00+00:00,1.19158,2017-09-06 23:30:00+00:00,1.19194,-0.0005599999999999165
buy,2017-09-06 23:35:00+00:00,1.19194,2017-09-07 04:00:00+00:00,1.19217,2.999999999995194e-05
short,2017-09-07 04:10:00+00:00,1.19199,2017-09-07 05:30:00+00:00,1.19273,-0.0009399999999999617
buy,2017-09-07 05:35:00+00:00,1.19257,2017-09-07 08:55:00+00:00,1.19228,-0.0004899999999999002
short,2017-09-07 09:00:00+00:00,1.19209,2017-09-07 09:55:00+00:00,1.1928,-0.0009099999999999872
buy,2017-09-07 10:00:00+00:00,1.19317,2017-09-07 10:45:00+00:00,1.19498,0.0016099999999998685
buy,2017-09-07 11:25:00+00:00,1.19665,2017-09-07 13:50:00+00:00,1.1989,0.0020500000000000847
short,2017-09-07 14:45:00+00:00,1.19743,2017-09-07 15:30:00+00:00,1.19529,0.0019400000000000302
buy,2017-09-07 15:45:00+00:00,1.20391,2017-09-07 16:25:00+00:00,1.20211,-0.0020000000000000243
buy,2017-09-07 18:15:00+00:00,1.20286,2017-09-07 19:05:00+00:00,1.20087,-0.002189999999999937
short,2017-09-07 19:40:00+00:00,1.19997,2017-09-07 22:20:00+00:00,1.20106,-0.0012900000000000342
buy,2017-09-07 22:25:00+00:00,1.20161,2017-09-08 03:40:00+00:00,1.20348,0.0016700000000000395
buy,2017-09-08 03:45:00+00:00,1.20339,2017-09-08 04:50:00+00:00,1.20237,-0.0012200000000000197
short,2017-09-08 05:00:00+00:00,1.20244,2017-09-08 05:20:00+00:00,1.20464,-0.0023999999999999785
buy,2017-09-08 05:25:00+00:00,1.20489,2017-09-08 05:45:00+00:00,1.20857,0.0034799999999999068
buy,2017-09-08 05:50:00+00:00,1.20778,2017-09-08 07:25:00+00:00,1.20627,-0.0017100000000001211
buy,2017-09-08 08:05:00+00:00,1.20777,2017-09-08 09:15:00+00:00,1.20626,-0.001709999999999899
short,2017-09-08 09:20:00+00:00,1.2064,2017-09-08 10:30:00+00:00,1.20404,0.002159999999999919
buy,2017-09-08 11:50:00+00:00,1.20671,2017-09-08 14:20:00+00:00,1.20534,-0.0015699999999998701
short,2017-09-08 15:35:00+00:00,1.20535,2017-09-08 15:50:00+00:00,1.20383,0.001319999999999967
short,2017-09-08 16:45:00+00:00,1.20334,2017-09-08 17:55:00+00:00,1.20167,0.0014700000000000615
buy,2017-09-08 18:50:00+00:00,1.2039,2017-09-08 19:55:00+00:00,1.20264,-0.0014600000000000377
short,2017-09-08 21:40:00+00:00,1.20286,2017-09-08 22:00:00+00:00,1.20377,-0.0011099999999999652
buy,2017-09-08 22:05:00+00:00,1.20362,2017-09-11 00:00:00+00:00,1.20164,-0.0021799999999998695
short,2017-09-11 01:15:00+00:00,1.20167,2017-09-11 04:30:00+00:00,1.19995,0.001519999999999945
buy,2017-09-11 05:50:00+00:00,1.20168,2017-09-11 07:15:00+00:00,1.20122,-0.0006600000000001258
short,2017-09-11 07:30:00+00:00,1.20105,2017-09-11 08:25:00+00:00,1.20143,-0.0005800000000000458
buy,2017-09-11 08:30:00+00:00,1.20153,2017-09-11 09:35:00+00:00,1.20051,-0.0012200000000000197
short,2017-09-11 09:40:00+00:00,1.20065,2017-09-11 11:05:00+00:00,1.20154,-0.0010900000000000562
buy,2017-09-11 11:25:00+00:00,1.20239,2017-09-11 12:45:00+00:00,1.2012,-0.0013900000000000232
short,2017-09-11 12:50:00+00:00,1.20115,2017-09-11 15:15:00+00:00,1.19962,0.0013300000000000325
short,2017-09-11 15:35:00+00:00,1.199,2017-09-11 16:15:00+00:00,1.19734,0.001459999999999996
short,2017-09-11 18:25:00+00:00,1.19795,2017-09-11 18:50:00+00:00,1.19635,0.001400000000000047
short,2017-09-11 18:55:00+00:00,1.19631,2017-09-12 00:55:00+00:00,1.19544,0.0006699999999999276
buy,2017-09-12 01:00:00+00:00,1.19587,2017-09-12 03:10:00+00:00,1.19571,-0.00035999999999993676
short,2017-09-12 03:20:00+00:00,1.1955,2017-09-12 05:30:00+00:00,1.19582,-0.0005200000000000968
buy,2017-09-12 05:35:00+00:00,1.19589,2017-09-12 07:35:00+00:00,1.19546,-0.0006299999999999292
short,2017-09-12 08:00:00+00:00,1.19528,2017-09-12 08:50:00+00:00,1.19585,-0.0007700000000001803
buy,2017-09-12 08:55:00+00:00,1.19589,2017-09-12 09:55:00+00:00,1.19752,0.0014300000000000215
buy,2017-09-12 10:25:00+00:00,1.19761,2017-09-12 11:15:00+00:00,1.19616,-0.0016500000000001722
short,2017-09-12 11:20:00+00:00,1.19617,2017-09-12 13:40:00+00:00,1.19436,0.0016099999999998685
short,2017-09-12 13:45:00+00:00,1.19438,2017-09-12 14:00:00+00:00,1.19285,0.0013300000000000325
short,2017-09-12 14:05:00+00:00,1.19324,2017-09-12 16:40:00+00:00,1.19413,-0.0010899999999998342
