Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,52,15,37,-0.02060000000000042
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,58,23,35,-0.004770000000000038
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,56,12,44,-0.04825999999999993
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,58,22,35,-0.011990000000001083
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,50,18,31,-0.004029999999999562
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,53,20,33,-0.016819999999999086
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,55,15,40,-0.017530000000000462
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,56,18,38,-0.008990000000000276
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,51,16,35,-0.017420000000000074
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,55,14,41,-0.020070000000000005
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,65,19,46,-0.014310000000001183
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,52,19,33,-0.0075499999999993905
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,62,22,40,-0.012559999999999627
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,55,15,40,-0.017150000000000637
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,57,20,37,-0.010190000000000615
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,52,16,36,-0.01462000000000041
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,37,14,23,0.0011100000000002497
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,44,17,27,-0.0082099999999998
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,54,21,33,-0.00788999999999973
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,66,23,43,-0.02926999999999813
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,69,24,45,-0.0247999999999986
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,70,23,47,-0.031159999999998744
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,68,27,41,-0.02396999999999827
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,54,27,27,0.010449999999999848
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,61,14,47,-0.042939999999997314
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,61,18,43,-0.03189999999999937
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,56,21,35,-0.011129999999999196
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,47,19,28,-0.008039999999998937
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,58,22,36,-0.014219999999999233
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,56,21,35,-0.008659999999998558
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,49,21,27,-0.007509999999998573
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,55,11,44,-0.02539999999999898
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,60,17,43,-0.02004999999999857
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,56,18,38,-0.018559999999998134
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,62,18,43,-0.030209999999998294
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,61,25,36,-0.003129999999998301
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,61,24,37,-0.008109999999999173
