Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2017-09-04 04:15:00+00:00,1.18877,2017-09-04 11:25:00+00:00,1.19134,0.002369999999999961
short,2017-09-04 13:10:00+00:00,1.19054,2017-09-04 14:45:00+00:00,1.1914,-0.001060000000000083
buy,2017-09-04 14:50:00+00:00,1.1913,2017-09-04 15:15:00+00:00,1.19019,-0.0013099999999999445
short,2017-09-04 19:45:00+00:00,1.19074,2017-09-04 19:55:00+00:00,1.1889,0.0016399999999998417
buy,2017-09-05 01:00:00+00:00,1.18972,2017-09-05 02:35:00+00:00,1.18943,-0.0004900000000001236
short,2017-09-05 02:40:00+00:00,1.18925,2017-09-05 03:55:00+00:00,1.18998,-0.0009300000000001194
buy,2017-09-05 04:00:00+00:00,1.19041,2017-09-05 08:15:00+00:00,1.19034,-0.0002700000000000145
short,2017-09-05 08:20:00+00:00,1.19042,2017-09-05 10:35:00+00:00,1.18806,0.0021600000000001392
buy,2017-09-05 13:20:00+00:00,1.19002,2017-09-05 14:15:00+00:00,1.18829,-0.0019300000000000094
buy,2017-09-05 15:35:00+00:00,1.19023,2017-09-05 17:30:00+00:00,1.1928,0.002370000000000183
buy,2017-09-05 17:35:00+00:00,1.19274,2017-09-05 18:05:00+00:00,1.19049,-0.0024499999999998633
short,2017-09-05 20:15:00+00:00,1.19005,2017-09-05 21:40:00+00:00,1.19164,-0.0017899999999999804
buy,2017-09-05 21:45:00+00:00,1.19185,2017-09-05 23:15:00+00:00,1.19152,-0.0005300000000001636
buy,2017-09-06 01:10:00+00:00,1.19175,2017-09-06 04:35:00+00:00,1.19108,-0.0008700000000001706
short,2017-09-06 04:40:00+00:00,1.19087,2017-09-06 08:10:00+00:00,1.19119,-0.000519999999999876
short,2017-09-06 12:50:00+00:00,1.1932,2017-09-06 17:15:00+00:00,1.19154,0.0014599999999999947
buy,2017-09-06 23:30:00+00:00,1.19194,2017-09-07 10:10:00+00:00,1.19398,0.0018400000000000417
buy,2017-09-07 15:45:00+00:00,1.20391,2017-09-07 16:25:00+00:00,1.20211,-0.002000000000000024
short,2017-09-07 19:40:00+00:00,1.19997,2017-09-07 22:20:00+00:00,1.20106,-0.0012900000000000355
buy,2017-09-07 22:25:00+00:00,1.20161,2017-09-08 03:40:00+00:00,1.20348,0.0016700000000000382
short,2017-09-08 04:50:00+00:00,1.20237,2017-09-08 05:20:00+00:00,1.20464,-0.0024699999999999948
buy,2017-09-08 05:40:00+00:00,1.20555,2017-09-08 05:45:00+00:00,1.20857,0.0028200000000000226
buy,2017-09-08 05:50:00+00:00,1.20778,2017-09-08 07:25:00+00:00,1.20627,-0.0017100000000001224
