Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2017-09-04 09:05:00+00:00,1.23974,2017-09-04 18:35:00+00:00,1.24136,0.0014199999999999547
short,2017-09-05 00:00:00+00:00,1.24122,2017-09-05 15:15:00+00:00,1.23753,0.003489999999999971
buy,2017-09-05 21:15:00+00:00,1.23933,2017-09-05 21:55:00+00:00,1.2376,-0.0019300000000000094
buy,2017-09-06 13:25:00+00:00,1.23871,2017-09-06 17:00:00+00:00,1.22351,-0.01539999999999988
short,2017-09-07 08:10:00+00:00,1.22255,2017-09-07 13:25:00+00:00,1.21954,0.0028099999999999566
short,2017-09-07 15:30:00+00:00,1.21667,2017-09-07 18:10:00+00:00,1.21356,0.0029099999999999456
short,2017-09-08 00:00:00+00:00,1.21197,2017-09-08 05:25:00+00:00,1.2088,0.002969999999999895
short,2017-09-11 08:10:00+00:00,1.21396,2017-09-11 09:35:00+00:00,1.21461,-0.0008500000000000395
short,2017-09-11 09:55:00+00:00,1.21328,2017-09-11 13:50:00+00:00,1.21012,0.0029599999999998295
buy,2017-09-11 15:10:00+00:00,1.21204,2017-09-11 16:20:00+00:00,1.21557,0.003330000000000033
short,2017-09-11 20:40:00+00:00,1.21183,2017-09-12 09:50:00+00:00,1.2088,0.0028299999999998656
short,2017-09-13 04:50:00+00:00,1.21674,2017-09-13 12:15:00+00:00,1.21373,0.0028099999999999566
buy,2017-09-13 18:35:00+00:00,1.22113,2017-09-13 18:55:00+00:00,1.21922,-0.002110000000000079
buy,2017-09-14 15:30:00+00:00,1.22317,2017-09-14 15:40:00+00:00,1.22088,-0.0024900000000001254
buy,2017-09-14 18:50:00+00:00,1.22116,2017-09-14 20:35:00+00:00,1.21944,-0.0019199999999999439
short,2017-09-15 15:30:00+00:00,1.2148,2017-09-15 16:35:00+00:00,1.2171,-0.002499999999999969
buy,2017-09-18 01:00:00+00:00,1.2193,2017-09-18 05:05:00+00:00,1.21752,-0.001980000000000115
buy,2017-09-18 10:20:00+00:00,1.21857,2017-09-18 13:40:00+00:00,1.21923,0.00046000000000010486
buy,2017-09-18 14:25:00+00:00,1.22021,2017-09-18 18:15:00+00:00,1.22428,0.003870000000000018
buy,2017-09-18 21:00:00+00:00,1.23119,2017-09-18 22:00:00+00:00,1.22927,-0.002119999999999922
buy,2017-09-19 08:50:00+00:00,1.23058,2017-09-19 09:05:00+00:00,1.22978,-0.000999999999999912
buy,2017-09-19 22:55:00+00:00,1.2274,2017-09-20 11:20:00+00:00,1.22695,-0.0006500000000000616
buy,2017-09-20 21:00:00+00:00,1.22991,2017-09-20 21:05:00+00:00,1.23314,0.003029999999999844
buy,2017-09-21 01:45:00+00:00,1.23323,2017-09-21 14:15:00+00:00,1.23624,0.002809999999999957
buy,2017-09-22 03:05:00+00:00,1.23324,2017-09-22 05:35:00+00:00,1.23147,-0.0019699999999998274
short,2017-09-22 09:50:00+00:00,1.23021,2017-09-22 12:30:00+00:00,1.22695,0.0030600000000000406
short,2017-09-22 15:20:00+00:00,1.2262,2017-09-22 15:30:00+00:00,1.22998,-0.003980000000000116
short,2017-09-22 17:20:00+00:00,1.22862,2017-09-22 17:55:00+00:00,1.23027,-0.0018499999999999294
short,2017-09-25 11:45:00+00:00,1.23333,2017-09-25 17:55:00+00:00,1.23436,-0.0012299999999998644
buy,2017-09-26 08:05:00+00:00,1.23717,2017-09-26 19:35:00+00:00,1.24083,0.0034599999999999965
buy,2017-09-27 07:05:00+00:00,1.23585,2017-09-27 11:10:00+00:00,1.23936,0.003310000000000124
buy,2017-09-27 15:10:00+00:00,1.23994,2017-09-27 16:10:00+00:00,1.23813,-0.0020100000000000894
buy,2017-09-27 18:45:00+00:00,1.24145,2017-09-27 20:20:00+00:00,1.24498,0.0033300000000000326
