Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,0,0,0,0.0
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,0,0,0,0.0
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,0,0,0,0.0
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,1,1,0,0.0014300000000000202
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,0,0,0,0.0
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,2,0,2,-0.0037300000000002774
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,1,1,0,0.0014499999999999292
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,2,1,1,-0.0003400000000000512
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,0,0,0,0.0
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,2,2,0,0.002750000000000208
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,2,0,2,-0.0038100000000001353
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,0,0,0,0.0
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,0,0,0,0.0
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,0,0,0,0.0
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,1,0,1,-0.0017399999999998745
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,1,1,0,0.0014400000000000857
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,1,0,1,-0.0017499999999999404
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,0,0,0,0.0
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,0,0,0,0.0
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,1,0,1,-0.002989999999999848
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,0,0,0,0.0
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,0,0,0,0.0
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,0,0,0,0.0
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,0,0,0,0.0
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,1,0,1,-0.0026399999999999983
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,1,1,0,0.0013000000000000563
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,0,0,0,0.0
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,0,0,0,0.0
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,2,1,1,-0.0006299999999999535
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,0,0,0,0.0
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,0,0,0,0.0
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,0,0,0,0.0
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,0,0,0,0.0
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,0,0,0,0.0
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,2,2,0,0.0027600000000000506
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,0,0,0,0.0
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,0,0,0,0.0
38,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,0,0,0,0.0
39,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,1,1,0,0.0014700000000000598
40,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,0,0,0,0.0
41,2018-06-11 04:05:00+00:00,2018-06-18 04:00:00+00:00,0,0,0,0.0
42,2018-06-18 04:05:00+00:00,2018-06-25 04:00:00+00:00,0,0,0,0.0
43,2018-06-25 04:05:00+00:00,2018-07-02 04:00:00+00:00,0,0,0,0.0
44,2018-07-02 04:05:00+00:00,2018-07-09 04:00:00+00:00,0,0,0,0.0
45,2018-07-09 04:05:00+00:00,2018-07-16 04:00:00+00:00,1,1,0,0.0017400000000000527
46,2018-07-16 04:05:00+00:00,2018-07-23 04:00:00+00:00,0,0,0,0.0
47,2018-07-23 04:05:00+00:00,2018-07-30 04:00:00+00:00,0,0,0,0.0
48,2018-07-30 04:05:00+00:00,2018-08-06 04:00:00+00:00,0,0,0,0.0
49,2018-08-06 04:05:00+00:00,2018-08-13 04:00:00+00:00,2,0,2,-0.003890000000000215
50,2018-08-13 04:05:00+00:00,2018-08-20 04:00:00+00:00,2,1,1,-0.0005700000000000045
51,2018-08-20 04:05:00+00:00,2018-08-27 04:00:00+00:00,0,0,0,0.0
52,2018-08-27 04:05:00+00:00,2018-09-03 04:00:00+00:00,0,0,0,0.0
53,2018-09-03 04:05:00+00:00,2018-09-10 04:00:00+00:00,1,0,1,-0.0021800000000000933
54,2018-09-10 04:05:00+00:00,2018-09-17 04:00:00+00:00,0,0,0,0.0
55,2018-09-17 04:05:00+00:00,2018-09-24 04:00:00+00:00,0,0,0,0.0
56,2018-09-24 04:05:00+00:00,2018-10-01 04:00:00+00:00,1,1,0,0.0018999999999999902
57,2018-10-01 04:05:00+00:00,2018-10-08 04:00:00+00:00,0,0,0,0.0
58,2018-10-08 04:05:00+00:00,2018-10-15 04:00:00+00:00,0,0,0,0.0
59,2018-10-15 04:05:00+00:00,2018-10-22 04:00:00+00:00,0,0,0,0.0
60,2018-10-22 04:05:00+00:00,2018-10-29 04:00:00+00:00,0,0,0,0.0
61,2018-10-29 04:05:00+00:00,2018-11-05 04:00:00+00:00,0,0,0,0.0
62,2018-11-05 04:05:00+00:00,2018-11-12 04:00:00+00:00,0,0,0,0.0
63,2018-11-12 04:05:00+00:00,2018-11-19 04:00:00+00:00,1,0,1,-0.0017099999999999008
64,2018-11-19 04:05:00+00:00,2018-11-26 04:00:00+00:00,0,0,0,0.0
65,2018-11-26 04:05:00+00:00,2018-12-03 04:00:00+00:00,0,0,0,0.0
66,2018-12-03 04:05:00+00:00,2018-12-10 04:00:00+00:00,0,0,0,0.0
67,2018-12-10 04:05:00+00:00,2018-12-17 04:00:00+00:00,0,0,0,0.0
68,2018-12-17 04:05:00+00:00,2018-12-24 04:00:00+00:00,0,0,0,0.0
69,2018-12-24 04:05:00+00:00,2018-12-31 04:00:00+00:00,1,0,1,-0.0017499999999999408
70,2018-12-31 04:05:00+00:00,2019-01-07 04:00:00+00:00,0,0,0,0.0
71,2019-01-07 04:05:00+00:00,2019-01-14 04:00:00+00:00,2,2,0,0.003089999999999992
72,2019-01-14 04:05:00+00:00,2019-01-21 04:00:00+00:00,0,0,0,0.0
73,2019-01-21 04:05:00+00:00,2019-01-28 04:00:00+00:00,0,0,0,0.0
74,2019-01-28 04:05:00+00:00,2019-02-04 04:00:00+00:00,0,0,0,0.0
75,2019-02-04 04:05:00+00:00,2019-02-11 04:00:00+00:00,0,0,0,0.0
76,2019-02-11 04:05:00+00:00,2019-02-18 04:00:00+00:00,1,1,0,0.0013099999999998998
77,2019-02-18 04:05:00+00:00,2019-02-25 04:00:00+00:00,1,1,0,0.0013000000000000563
78,2019-02-25 04:05:00+00:00,2019-03-04 04:00:00+00:00,1,1,0,0.0019599999999999397
79,2019-03-04 04:05:00+00:00,2019-03-11 04:00:00+00:00,2,0,2,-0.003470000000000128
80,2019-03-11 04:05:00+00:00,2019-03-18 04:00:00+00:00,0,0,0,0.0
81,2019-03-18 04:05:00+00:00,2019-03-25 04:00:00+00:00,1,1,0,0.005329999999999813
82,2019-03-25 04:05:00+00:00,2019-04-01 04:00:00+00:00,0,0,0,0.0
83,2019-04-01 04:05:00+00:00,2019-04-08 04:00:00+00:00,0,0,0,0.0
84,2019-04-08 04:05:00+00:00,2019-04-15 04:00:00+00:00,0,0,0,0.0
85,2019-04-15 04:05:00+00:00,2019-04-22 04:00:00+00:00,0,0,0,0.0
86,2019-04-22 04:05:00+00:00,2019-04-29 04:00:00+00:00,1,1,0,0.0018999999999999907
87,2019-04-29 04:05:00+00:00,2019-05-06 04:00:00+00:00,0,0,0,0.0
88,2019-05-06 04:05:00+00:00,2019-05-13 04:00:00+00:00,0,0,0,0.0
89,2019-05-13 04:05:00+00:00,2019-05-20 04:00:00+00:00,0,0,0,0.0
90,2019-05-20 04:05:00+00:00,2019-05-27 04:00:00+00:00,1,1,0,0.0014499999999999292
91,2019-05-27 04:05:00+00:00,2019-06-03 04:00:00+00:00,0,0,0,0.0
92,2019-06-03 04:05:00+00:00,2019-06-10 04:00:00+00:00,1,0,1,-0.0017100000000001224
93,2019-06-10 04:05:00+00:00,2019-06-17 04:00:00+00:00,0,0,0,0.0
94,2019-06-17 04:05:00+00:00,2019-06-24 04:00:00+00:00,2,0,2,-0.004790000000000115
95,2019-06-24 04:05:00+00:00,2019-07-01 04:00:00+00:00,0,0,0,0.0
