Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,31,20,11,-0.0005000000000006297
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,33,19,14,-0.009589999999999385
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,28,17,11,0.006570000000001337
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,26,15,11,-0.00029000000000025663
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,29,18,11,0.0022999999999993304
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,37,23,14,0.0005399999999989481
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,21,10,11,-0.007310000000000171
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,33,18,15,-0.0007899999999996868
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,31,16,15,-0.0032100000000003827
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,28,19,9,-0.0001500000000004987
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,26,12,14,-0.00691999999999948
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,27,18,9,-0.0003600000000000339
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,31,12,19,-0.008579999999999793
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,27,16,11,-0.005089999999999935
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,30,17,13,-0.004280000000000464
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,24,12,12,-0.006889999999999896
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,22,11,11,-0.006780000000000244
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,18,12,6,0.005580000000000432
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,36,18,18,-0.015519999999998951
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,33,23,10,0.008540000000000193
21,2018-01-22 04:05:00+00:00,2018-01-29 04:00:00+00:00,37,20,17,-0.009299999999999774
22,2018-01-29 04:05:00+00:00,2018-02-05 04:00:00+00:00,38,25,13,-0.0025399999999997994
23,2018-02-05 04:05:00+00:00,2018-02-12 04:00:00+00:00,31,13,18,-0.01656999999999971
24,2018-02-12 04:05:00+00:00,2018-02-19 04:00:00+00:00,34,19,15,-0.0006999999999995343
25,2018-02-19 04:05:00+00:00,2018-02-26 04:00:00+00:00,30,16,14,-0.0026099999999999457
26,2018-02-26 04:05:00+00:00,2018-03-05 04:00:00+00:00,32,21,11,0.005589999999999984
27,2018-03-05 04:05:00+00:00,2018-03-12 04:00:00+00:00,29,16,13,-0.007809999999999567
28,2018-03-12 04:05:00+00:00,2018-03-19 04:00:00+00:00,31,18,13,-0.008840000000000153
29,2018-03-19 04:05:00+00:00,2018-03-26 04:00:00+00:00,28,11,17,-0.015300000000000424
30,2018-03-26 04:05:00+00:00,2018-04-02 04:00:00+00:00,30,17,13,-0.0054400000000005
31,2018-04-02 04:05:00+00:00,2018-04-09 04:00:00+00:00,30,14,16,-0.013810000000000489
32,2018-04-09 04:05:00+00:00,2018-04-16 04:00:00+00:00,32,22,10,0.000540000000000207
33,2018-04-16 04:05:00+00:00,2018-04-23 04:00:00+00:00,36,21,15,-0.0015400000000002079
34,2018-04-23 04:05:00+00:00,2018-04-30 04:00:00+00:00,32,21,11,0.00266999999999995
35,2018-04-30 04:05:00+00:00,2018-05-07 04:00:00+00:00,28,17,11,0.0047400000000002995
36,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,34,18,16,-0.011450000000001792
37,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,28,15,13,-0.0014499999999998403
38,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,31,21,10,-0.0006600000000000772
39,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,28,17,11,-0.00844000000000078
40,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,30,18,12,0.0017899999999995697
41,2018-06-11 04:05:00+00:00,2018-06-18 04:00:00+00:00,36,15,21,-0.02507999999999988
42,2018-06-18 04:05:00+00:00,2018-06-25 04:00:00+00:00,31,16,15,-0.01182000000000058
43,2018-06-25 04:05:00+00:00,2018-07-02 04:00:00+00:00,29,19,10,0.0009400000000002462
44,2018-07-02 04:05:00+00:00,2018-07-09 04:00:00+00:00,22,10,12,-0.013340000000000074
45,2018-07-09 04:05:00+00:00,2018-07-16 04:00:00+00:00,29,17,12,-0.00457000000000099
46,2018-07-16 04:05:00+00:00,2018-07-23 04:00:00+00:00,29,18,11,-5.000000000046634e-05
47,2018-07-23 04:05:00+00:00,2018-07-30 04:00:00+00:00,34,20,14,-0.005260000000000542
48,2018-07-30 04:05:00+00:00,2018-08-06 04:00:00+00:00,32,15,17,-0.012360000000000593
49,2018-08-06 04:05:00+00:00,2018-08-13 04:00:00+00:00,35,23,12,0.0021399999999992814
50,2018-08-13 04:05:00+00:00,2018-08-20 04:00:00+00:00,29,22,7,0.011130000000000168
51,2018-08-20 04:05:00+00:00,2018-08-27 04:00:00+00:00,33,22,11,-0.0017399999999998805
52,2018-08-27 04:05:00+00:00,2018-09-03 04:00:00+00:00,26,14,12,-0.011630000000000085
53,2018-09-03 04:05:00+00:00,2018-09-10 04:00:00+00:00,21,11,10,-0.01059000000000046
54,2018-09-10 04:05:00+00:00,2018-09-17 04:00:00+00:00,30,16,14,-0.004310000000001091
55,2018-09-17 04:05:00+00:00,2018-09-24 04:00:00+00:00,26,12,14,-0.010340000000000071
56,2018-09-24 04:05:00+00:00,2018-10-01 04:00:00+00:00,34,23,11,0.0006999999999992013
57,2018-10-01 04:05:00+00:00,2018-10-08 04:00:00+00:00,31,14,17,-0.01281000000000021
58,2018-10-08 04:05:00+00:00,2018-10-15 04:00:00+00:00,38,18,19,-0.01972999999999958
59,2018-10-15 04:05:00+00:00,2018-10-22 04:00:00+00:00,27,18,9,-9.000000000036756e-05
60,2018-10-22 04:05:00+00:00,2018-10-29 04:00:00+00:00,32,16,16,-0.01132999999999873
61,2018-10-29 04:05:00+00:00,2018-11-05 04:00:00+00:00,25,13,12,-0.00949999999999962
62,2018-11-05 04:05:00+00:00,2018-11-12 04:00:00+00:00,30,15,14,-0.007939999999999392
63,2018-11-12 04:05:00+00:00,2018-11-19 04:00:00+00:00,40,24,16,0.003560000000001562
64,2018-11-19 04:05:00+00:00,2018-11-26 04:00:00+00:00,30,21,9,0.007510000000000128
65,2018-11-26 04:05:00+00:00,2018-12-03 04:00:00+00:00,29,17,12,-0.005929999999999325
66,2018-12-03 04:05:00+00:00,2018-12-10 04:00:00+00:00,37,21,16,-0.006599999999999273
67,2018-12-10 04:05:00+00:00,2018-12-17 04:00:00+00:00,26,17,9,0.0029900000000013804
68,2018-12-17 04:05:00+00:00,2018-12-24 04:00:00+00:00,33,19,14,-0.006170000000000453
69,2018-12-24 04:05:00+00:00,2018-12-31 04:00:00+00:00,25,11,14,-0.008809999999999318
70,2018-12-31 04:05:00+00:00,2019-01-07 04:00:00+00:00,20,10,10,-0.003709999999999658
71,2019-01-07 04:05:00+00:00,2019-01-14 04:00:00+00:00,24,12,12,-0.011609999999999232
72,2019-01-14 04:05:00+00:00,2019-01-21 04:00:00+00:00,28,16,12,-0.003529999999999367
73,2019-01-21 04:05:00+00:00,2019-01-28 04:00:00+00:00,24,13,11,-0.00507000000000013
74,2019-01-28 04:05:00+00:00,2019-02-04 04:00:00+00:00,23,14,9,0.0009400000000012732
75,2019-02-04 04:05:00+00:00,2019-02-11 04:00:00+00:00,22,9,13,-0.004049999999999665
76,2019-02-11 04:05:00+00:00,2019-02-18 04:00:00+00:00,23,9,14,-0.007279999999999509
77,2019-02-18 04:05:00+00:00,2019-02-25 04:00:00+00:00,21,13,8,0.002220000000000555
78,2019-02-25 04:05:00+00:00,2019-03-04 04:00:00+00:00,23,9,14,-0.01177999999999968
79,2019-03-04 04:05:00+00:00,2019-03-11 04:00:00+00:00,25,14,11,-0.003909999999999414
80,2019-03-11 04:05:00+00:00,2019-03-18 04:00:00+00:00,26,14,12,-0.00238999999999967
81,2019-03-18 04:05:00+00:00,2019-03-25 04:00:00+00:00,27,16,11,0.0038600000000006407
82,2019-03-25 04:05:00+00:00,2019-04-01 04:00:00+00:00,26,16,9,0.0015100000000005664
83,2019-04-01 04:05:00+00:00,2019-04-08 04:00:00+00:00,25,11,14,-0.0044599999999996864
84,2019-04-08 04:05:00+00:00,2019-04-15 04:00:00+00:00,32,16,15,-0.008309999999998707
85,2019-04-15 04:05:00+00:00,2019-04-22 04:00:00+00:00,27,14,12,0.0012200000000013311
86,2019-04-22 04:05:00+00:00,2019-04-29 04:00:00+00:00,28,15,12,-0.0002499999999987512
87,2019-04-29 04:05:00+00:00,2019-05-06 04:00:00+00:00,23,12,11,0.0003899999999996684
88,2019-05-06 04:05:00+00:00,2019-05-13 04:00:00+00:00,19,9,10,-0.0019499999999994522
89,2019-05-13 04:05:00+00:00,2019-05-20 04:00:00+00:00,27,15,12,-0.005039999999999045
90,2019-05-20 04:05:00+00:00,2019-05-27 04:00:00+00:00,23,12,11,-0.0007099999999999884
91,2019-05-27 04:05:00+00:00,2019-06-03 04:00:00+00:00,25,14,11,-0.0018799999999994377
92,2019-06-03 04:05:00+00:00,2019-06-10 04:00:00+00:00,28,15,13,-0.0030799999999995276
93,2019-06-10 04:05:00+00:00,2019-06-17 04:00:00+00:00,29,19,10,-0.0004899999999994353
