Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,24,10,14,-0.0026500000000001275
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,28,12,16,-0.001009999999999241
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,24,13,11,0.0051800000000003215
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,27,12,15,-0.0007500000000001792
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,19,8,11,0.0003899999999999146
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,26,13,13,0.008109999999999711
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,30,18,12,0.011419999999999781
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,25,14,11,0.012440000000000596
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,26,13,13,0.012420000000000223
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,24,13,11,0.004450000000000898
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,18,11,7,0.007539999999999505
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,30,15,15,0.004739999999999994
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,23,8,15,-0.0036100000000003907
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,29,11,18,-0.0006999999999998605
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,23,13,10,0.009059999999999957
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,27,12,15,0.0012799999999991984
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,29,12,17,0.0008699999999997876
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,25,13,12,0.010100000000000192
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,21,8,13,0.0006499999999996786
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,26,17,9,0.016180000000000694
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,25,15,10,0.017579999999999457
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,25,16,9,0.01647999999999937
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,23,13,10,0.010889999999999206
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,29,17,12,0.016370000000000523
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,24,14,10,0.007519999999999305
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,33,11,22,-0.004170000000000257
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,31,11,20,0.0005300000000003913
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,30,13,17,-0.006679999999999964
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,34,12,22,-0.006549999999999889
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,29,14,15,0.0056599999999996375
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,23,12,11,0.006090000000000179
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,31,18,13,0.013690000000000008
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,23,9,14,-0.002720000000000694
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,24,15,9,0.012960000000000305
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,32,21,11,0.016130000000000422
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,29,15,14,0.0034599999999987696
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,28,12,16,-0.0014999999999999458
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,27,10,17,-0.005290000000000544
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,29,20,9,0.020810000000000634
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,37,18,19,0.005019999999999664
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,33,13,20,-0.007139999999999064
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,30,16,14,0.004700000000000648
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,26,12,14,0.007969999999999311
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,27,17,10,0.012979999999999242
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,25,9,16,-0.004819999999999852
46,2022-08-25 21:20:00+00:00,2022-09-01 21:15:00+00:00,28,17,11,0.00907999999999931
47,2022-09-01 21:20:00+00:00,2022-09-02 23:50:00+00:00,7,6,1,0.009719999999999951
