Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-29 23:30:00+00:00,1.15615,2021-11-01 15:15:00+00:00,1.15766,-0.0017099999999999004
buy,2021-11-05 13:55:00+00:00,1.15346,2021-11-05 16:00:00+00:00,1.15144,-0.002219999999999911
buy,2021-11-10 22:30:00+00:00,1.14843,2021-11-11 05:00:00+00:00,1.14688,-0.001750000000000162
buy,2021-11-16 22:25:00+00:00,1.13171,2021-11-17 05:45:00+00:00,1.12796,-0.003949999999999919
buy,2021-12-01 04:20:00+00:00,1.13212,2021-12-01 08:00:00+00:00,1.1337,0.0013799999999999143
buy,2021-12-06 03:40:00+00:00,1.12911,2021-12-06 10:00:00+00:00,1.12752,-0.0017899999999999808
short,2021-12-10 07:55:00+00:00,1.13022,2021-12-10 09:40:00+00:00,1.12865,0.0013700000000000708
short,2021-12-23 22:20:00+00:00,1.1334,2021-12-24 00:05:00+00:00,1.13172,0.0014799999999999033
buy,2021-12-30 21:10:00+00:00,1.13048,2021-12-30 21:55:00+00:00,1.13201,0.0013300000000000308
short,2022-01-04 02:50:00+00:00,1.13051,2022-01-04 09:15:00+00:00,1.12867,0.0016399999999998412
short,2022-01-24 20:40:00+00:00,1.13335,2022-01-25 02:15:00+00:00,1.13177,0.0013800000000001368
buy,2022-01-26 11:55:00+00:00,1.12842,2022-01-26 21:45:00+00:00,1.12568,-0.0029399999999999648
buy,2022-02-07 00:00:00+00:00,1.14668,2022-02-07 02:20:00+00:00,1.14514,-0.0017399999999998745
short,2022-02-21 04:35:00+00:00,1.13567,2022-02-21 09:10:00+00:00,1.13744,-0.00197000000000005
buy,2022-03-04 03:20:00+00:00,1.10185,2022-03-04 03:55:00+00:00,1.10392,0.0018700000000000157
buy,2022-03-18 15:20:00+00:00,1.1022,2022-03-18 16:20:00+00:00,1.10067,-0.0017300000000000319
short,2022-03-28 20:30:00+00:00,1.09976,2022-03-28 21:05:00+00:00,1.09814,0.0014200000000001763
short,2022-05-06 13:50:00+00:00,1.05922,2022-05-06 14:50:00+00:00,1.05717,0.0018500000000001068
short,2022-05-17 01:10:00+00:00,1.04378,2022-05-17 09:10:00+00:00,1.04542,-0.0018400000000000864
buy,2022-05-18 21:00:00+00:00,1.04778,2022-05-18 23:25:00+00:00,1.04621,-0.0017699999999998498
short,2022-05-23 05:45:00+00:00,1.05923,2022-05-23 08:50:00+00:00,1.06106,-0.002029999999999999
short,2022-06-08 14:45:00+00:00,1.07363,2022-06-08 15:35:00+00:00,1.07201,0.0014200000000001763
short,2022-06-20 07:00:00+00:00,1.05286,2022-06-20 10:55:00+00:00,1.05116,0.0014999999999998122
buy,2022-07-06 14:35:00+00:00,1.0188,2022-07-06 15:30:00+00:00,1.01688,-0.0021199999999999223
short,2022-08-04 21:40:00+00:00,1.0248,2022-08-05 03:55:00+00:00,1.02329,0.0013099999999998998
short,2022-08-08 07:00:00+00:00,1.01856,2022-08-08 10:35:00+00:00,1.02043,-0.002070000000000039
buy,2022-08-26 20:40:00+00:00,0.99601,2022-08-29 02:15:00+00:00,0.9944,-0.0018100000000000008
buy,2022-08-29 03:00:00+00:00,0.99363,2022-08-29 07:35:00+00:00,0.99182,-0.002009999999999979
