Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-20 19:25:00+00:00,1.1649,2021-10-21 05:30:00+00:00,1.16645,0.0013499999999999402
short,2021-10-21 10:25:00+00:00,1.16412,2021-10-21 21:10:00+00:00,1.16255,0.0013700000000000712
buy,2021-10-22 10:05:00+00:00,1.16378,2021-10-22 18:10:00+00:00,1.16535,0.0013700000000000717
short,2021-10-28 02:05:00+00:00,1.16011,2021-10-28 10:40:00+00:00,1.16094,-0.0010300000000001085
buy,2021-10-28 10:45:00+00:00,1.16118,2021-10-28 11:40:00+00:00,1.15927,-0.0021100000000000784
buy,2021-10-28 16:15:00+00:00,1.16409,2021-10-28 17:00:00+00:00,1.16579,0.0015000000000000347
short,2021-10-29 08:05:00+00:00,1.16663,2021-10-29 11:55:00+00:00,1.16502,0.0014100000000001113
buy,2021-11-01 11:15:00+00:00,1.15608,2021-11-01 15:10:00+00:00,1.15758,0.0013000000000000563
short,2021-11-03 10:45:00+00:00,1.15811,2021-11-03 11:20:00+00:00,1.15888,-0.0009699999999999371
buy,2021-11-03 21:55:00+00:00,1.16102,2021-11-04 06:35:00+00:00,1.1595,-0.001719999999999966
buy,2021-11-05 10:10:00+00:00,1.15575,2021-11-05 12:30:00+00:00,1.15397,-0.001980000000000115
short,2021-11-05 15:35:00+00:00,1.15224,2021-11-05 18:25:00+00:00,1.15416,-0.002120000000000144
short,2021-11-15 13:25:00+00:00,1.14445,2021-11-15 17:35:00+00:00,1.1427,0.0015499999999999182
buy,2021-11-17 13:55:00+00:00,1.13186,2021-11-17 15:55:00+00:00,1.13019,-0.0018700000000000604
short,2021-11-26 04:45:00+00:00,1.12159,2021-11-26 05:00:00+00:00,1.12238,-0.0009899999999998465
buy,2021-11-26 05:05:00+00:00,1.12256,2021-11-26 09:50:00+00:00,1.12413,0.0013700000000000712
buy,2021-12-01 10:00:00+00:00,1.13406,2021-12-01 10:30:00+00:00,1.13215,-0.0021100000000000784
buy,2021-12-02 16:40:00+00:00,1.13439,2021-12-02 17:30:00+00:00,1.13269,-0.0019000000000000345
buy,2021-12-03 15:35:00+00:00,1.13067,2021-12-03 16:10:00+00:00,1.12903,-0.0018400000000000864
short,2021-12-10 08:00:00+00:00,1.12952,2021-12-10 12:20:00+00:00,1.12796,0.0013600000000000053
short,2021-12-14 02:35:00+00:00,1.12811,2021-12-14 11:45:00+00:00,1.12968,-0.0017700000000000719
buy,2021-12-15 18:25:00+00:00,1.12642,2021-12-15 21:05:00+00:00,1.12428,-0.0023400000000000313
short,2021-12-20 11:50:00+00:00,1.12509,2021-12-20 12:25:00+00:00,1.12664,-0.0017500000000001629
buy,2021-12-21 02:55:00+00:00,1.12744,2021-12-21 09:40:00+00:00,1.12923,0.0015899999999999578
buy,2021-12-22 03:35:00+00:00,1.12911,2021-12-22 04:40:00+00:00,1.12756,-0.0017500000000001629
short,2021-12-27 10:45:00+00:00,1.13153,2021-12-28 03:00:00+00:00,1.13309,-0.0017600000000000064
short,2021-12-28 09:35:00+00:00,1.1322,2021-12-28 16:45:00+00:00,1.1303,0.0017000000000000123
buy,2021-12-31 02:10:00+00:00,1.13265,2021-12-31 08:00:00+00:00,1.1311,-0.0017499999999999408
short,2021-12-31 08:05:00+00:00,1.13102,2021-12-31 11:15:00+00:00,1.13272,-0.0019000000000000353
short,2022-01-03 16:15:00+00:00,1.13387,2022-01-03 16:45:00+00:00,1.13235,0.0013199999999999653
short,2022-01-03 16:50:00+00:00,1.13176,2022-01-03 17:30:00+00:00,1.12959,0.0019700000000000047
buy,2022-01-06 01:40:00+00:00,1.13139,2022-01-06 09:00:00+00:00,1.12973,-0.0018599999999999953
buy,2022-01-06 16:35:00+00:00,1.13263,2022-01-06 17:10:00+00:00,1.13061,-0.0022200000000001333
short,2022-01-06 22:00:00+00:00,1.12869,2022-01-07 06:45:00+00:00,1.13023,-0.0017400000000000956
buy,2022-01-07 09:15:00+00:00,1.13032,2022-01-07 16:20:00+00:00,1.13216,0.001640000000000065
buy,2022-01-10 22:30:00+00:00,1.13281,2022-01-11 04:30:00+00:00,1.13435,0.0013399999999998743
buy,2022-01-17 09:30:00+00:00,1.14229,2022-01-17 14:20:00+00:00,1.14079,-0.0017000000000000574
buy,2022-01-19 09:10:00+00:00,1.13316,2022-01-19 11:20:00+00:00,1.13477,0.0014100000000001126
buy,2022-01-21 08:05:00+00:00,1.13269,2022-01-21 11:35:00+00:00,1.13437,0.0014800000000001253
buy,2022-02-03 04:00:00+00:00,1.13002,2022-02-03 12:00:00+00:00,1.12843,-0.0017899999999999808
buy,2022-02-10 11:00:00+00:00,1.14334,2022-02-10 15:35:00+00:00,1.13896,-0.004580000000000049
short,2022-02-10 16:25:00+00:00,1.13834,2022-02-10 16:40:00+00:00,1.14045,-0.002310000000000055
buy,2022-02-15 04:35:00+00:00,1.13177,2022-02-15 10:10:00+00:00,1.13331,0.001340000000000098
buy,2022-02-17 17:05:00+00:00,1.13712,2022-02-17 22:05:00+00:00,1.13601,-0.0013099999999999432
short,2022-02-17 22:10:00+00:00,1.13576,2022-02-18 01:05:00+00:00,1.13655,-0.0009899999999998452
buy,2022-03-03 05:05:00+00:00,1.11058,2022-03-03 10:35:00+00:00,1.1089,-0.0018799999999999026
buy,2022-03-08 10:30:00+00:00,1.09177,2022-03-08 10:55:00+00:00,1.08936,-0.0026099999999998
buy,2022-03-08 12:55:00+00:00,1.08935,2022-03-08 14:10:00+00:00,1.0911,0.0015499999999999195
short,2022-03-09 05:20:00+00:00,1.09102,2022-03-09 07:25:00+00:00,1.09254,-0.0017199999999999646
short,2022-03-15 01:45:00+00:00,1.09377,2022-03-15 03:20:00+00:00,1.09549,-0.0019200000000001646
buy,2022-03-21 03:25:00+00:00,1.10461,2022-03-21 12:10:00+00:00,1.10667,0.001859999999999952
short,2022-03-31 11:15:00+00:00,1.1138,2022-03-31 11:45:00+00:00,1.11186,0.001739999999999832
short,2022-04-05 17:15:00+00:00,1.09518,2022-04-05 17:50:00+00:00,1.09349,0.0014899999999999705
short,2022-04-07 17:05:00+00:00,1.0902,2022-04-07 17:35:00+00:00,1.09221,-0.002209999999999844
short,2022-04-11 18:50:00+00:00,1.08787,2022-04-11 21:35:00+00:00,1.08941,-0.0017400000000000956
buy,2022-04-13 17:15:00+00:00,1.08316,2022-04-13 18:00:00+00:00,1.08477,0.0014100000000001126
buy,2022-04-13 18:05:00+00:00,1.08528,2022-04-13 19:00:00+00:00,1.08719,0.0017100000000000795
buy,2022-04-15 15:25:00+00:00,1.08176,2022-04-15 20:05:00+00:00,1.08048,-0.0014799999999999466
buy,2022-04-15 20:50:00+00:00,1.08107,2022-04-18 06:20:00+00:00,1.07953,-0.0017399999999998736
short,2022-04-22 09:40:00+00:00,1.08464,2022-04-22 09:55:00+00:00,1.08264,0.001800000000000003
short,2022-04-22 10:00:00+00:00,1.08263,2022-04-22 10:15:00+00:00,1.08045,0.001980000000000072
buy,2022-04-29 18:30:00+00:00,1.0535,2022-04-29 20:05:00+00:00,1.05542,0.001719999999999923
buy,2022-05-02 03:10:00+00:00,1.05503,2022-05-02 03:45:00+00:00,1.05344,-0.001789999999999979
short,2022-05-02 03:50:00+00:00,1.05301,2022-05-02 09:00:00+00:00,1.05134,0.0014700000000000615
buy,2022-05-03 10:25:00+00:00,1.05148,2022-05-03 12:05:00+00:00,1.04955,-0.002129999999999986
short,2022-05-05 13:45:00+00:00,1.0593,2022-05-05 14:25:00+00:00,1.05708,0.00201999999999989
short,2022-05-10 12:55:00+00:00,1.05401,2022-05-10 14:15:00+00:00,1.05568,-0.0018700000000000591
short,2022-05-11 09:15:00+00:00,1.05397,2022-05-11 10:05:00+00:00,1.05483,-0.0010599999999998597
buy,2022-05-11 10:10:00+00:00,1.05503,2022-05-11 11:50:00+00:00,1.05731,0.002080000000000061
short,2022-05-13 09:15:00+00:00,1.03924,2022-05-13 09:55:00+00:00,1.04044,-0.0014000000000000887
short,2022-05-13 10:00:00+00:00,1.03934,2022-05-13 10:30:00+00:00,1.04108,-0.0019400000000000736
buy,2022-05-16 10:15:00+00:00,1.04074,2022-05-16 10:35:00+00:00,1.04226,0.001319999999999967
