Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,10,6,4,0.00011000000000072193
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,12,10,2,0.010350000000000257
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,8,3,5,-0.005619999999999916
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,9,5,4,-0.00015000000000007369
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,7,3,4,-0.00643000000000009
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,9,3,6,-0.008749999999999349
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,10,7,3,0.006040000000000264
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,7,4,3,0.0001699999999998491
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,16,11,5,0.006609999999999873
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,11,8,3,0.004330000000000146
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,12,7,5,0.0016700000000002338
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,11,7,4,0.0027799999999999787
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,8,4,4,-0.0018999999999999712
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,11,5,6,-0.005069999999999932
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,12,4,8,-0.009880000000000154
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,12,5,7,-0.006989999999999875
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,11,8,3,0.006110000000000034
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,9,2,7,-0.012410000000000011
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,8,3,5,-0.004019999999999635
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,9,3,6,-0.007149999999999955
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,11,4,7,-0.008299999999999759
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,16,9,7,-0.0012299999999999534
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,11,5,5,-0.0020899999999999114
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,8,5,3,0.0014200000000000323
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,8,2,6,-0.00942999999999955
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,13,5,8,-0.011010000000000013
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,10,7,3,0.0015600000000004638
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,9,3,6,-0.008310000000000033
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,7,5,2,0.00318999999999961
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,12,6,6,-0.004550000000000359
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,13,6,7,-0.005309999999999607
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,12,5,7,-0.005900000000000127
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,8,2,6,-0.006710000000000216
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,8,4,4,-0.0034199999999999786
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,12,7,5,0.00034999999999996145
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,13,4,9,-0.01361999999999966
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,12,7,5,0.000980000000000314
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,11,2,9,-0.01592999999999986
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,12,5,7,-0.007030000000000522
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,9,6,3,0.0038399999999998158
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,12,7,5,0.000640000000000307
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,7,2,5,-0.0066600000000003046
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,8,3,5,-0.008119999999999905
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,9,4,5,-0.0038200000000001844
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,9,3,6,-0.006009999999999988
46,2022-08-25 21:20:00+00:00,2022-09-01 21:15:00+00:00,16,8,8,-0.0038199999999998235
47,2022-09-01 21:20:00+00:00,2022-09-02 23:50:00+00:00,0,0,0,0.0
