Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-14 22:40:00+00:00,1.15978,2021-10-14 23:05:00+00:00,1.1597,-0.00011999999999992
buy,2021-10-15 02:20:00+00:00,1.1596,2021-10-15 05:20:00+00:00,1.1602,0.00039999999999993394
short,2021-10-15 07:35:00+00:00,1.16098,2021-10-15 08:00:00+00:00,1.16079,-1.0000000000087521e-05
buy,2021-10-15 08:05:00+00:00,1.16076,2021-10-15 11:05:00+00:00,1.16137,0.00040999999999999945
buy,2021-10-15 11:35:00+00:00,1.16087,2021-10-15 15:30:00+00:00,1.15932,-0.0017500000000001624
short,2021-10-15 21:45:00+00:00,1.15987,2021-10-18 03:00:00+00:00,1.15967,-2.211772431870429e-17
buy,2021-10-18 07:25:00+00:00,1.15813,2021-10-18 13:30:00+00:00,1.15838,4.999999999986135e-05
short,2021-10-18 13:35:00+00:00,1.15862,2021-10-18 15:05:00+00:00,1.16029,-0.0018700000000000604
short,2021-10-18 16:25:00+00:00,1.16078,2021-10-18 18:00:00+00:00,1.16016,0.0004199999999998428
buy,2021-10-18 18:05:00+00:00,1.15967,2021-10-18 19:05:00+00:00,1.16122,0.0013499999999999402
buy,2021-10-18 21:35:00+00:00,1.1613,2021-10-19 02:30:00+00:00,1.16121,-0.00028999999999992357
short,2021-10-19 02:35:00+00:00,1.16122,2021-10-19 04:15:00+00:00,1.16293,-0.0019100000000001004
short,2021-10-19 05:35:00+00:00,1.16348,2021-10-19 07:15:00+00:00,1.16509,-0.0018099999999998894
short,2021-10-19 08:45:00+00:00,1.1653,2021-10-19 10:35:00+00:00,1.16477,0.00032999999999991977
buy,2021-10-19 10:40:00+00:00,1.16452,2021-10-19 11:00:00+00:00,1.16537,0.0006500000000000178
short,2021-10-19 12:50:00+00:00,1.1661,2021-10-19 16:00:00+00:00,1.16459,0.0013099999999999002
buy,2021-10-19 16:15:00+00:00,1.16444,2021-10-19 16:50:00+00:00,1.16512,0.00048000000000001384
buy,2021-10-19 17:35:00+00:00,1.16449,2021-10-19 21:10:00+00:00,1.16412,-0.0005699999999999815
buy,2021-10-19 23:05:00+00:00,1.16347,2021-10-20 03:50:00+00:00,1.16323,-0.00044000000000001807
buy,2021-10-20 09:50:00+00:00,1.16396,2021-10-20 10:35:00+00:00,1.16216,-0.0020000000000000235
short,2021-10-20 16:40:00+00:00,1.16452,2021-10-20 21:00:00+00:00,1.16527,-0.0009500000000000281
short,2021-10-20 21:45:00+00:00,1.16569,2021-10-20 22:15:00+00:00,1.16527,0.00021999999999986527
buy,2021-10-20 22:20:00+00:00,1.1651,2021-10-21 01:05:00+00:00,1.16522,-8.000000000010169e-05
buy,2021-10-21 03:00:00+00:00,1.16524,2021-10-21 03:25:00+00:00,1.16561,0.0001699999999999818
short,2021-10-21 04:35:00+00:00,1.16572,2021-10-21 08:25:00+00:00,1.16511,0.0004099999999999998
buy,2021-10-21 10:55:00+00:00,1.16385,2021-10-21 15:35:00+00:00,1.16426,0.0002100000000000218
short,2021-10-21 15:40:00+00:00,1.16451,2021-10-21 16:50:00+00:00,1.16427,4.000000000001832e-05
buy,2021-10-21 16:55:00+00:00,1.16428,2021-10-21 17:15:00+00:00,1.16483,0.0003500000000000508
short,2021-10-21 17:20:00+00:00,1.16454,2021-10-21 17:30:00+00:00,1.16395,0.00038999999999986875
short,2021-10-21 20:25:00+00:00,1.16375,2021-10-21 22:45:00+00:00,1.16226,0.0012899999999999912
