Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 04:05:00+00:00,2017-09-11 04:00:00+00:00,27,10,17,-0.003970000000000182
2,2017-09-11 04:05:00+00:00,2017-09-18 04:00:00+00:00,26,10,16,-0.001140000000000494
3,2017-09-18 04:05:00+00:00,2017-09-25 04:00:00+00:00,27,10,17,-0.022430000000000526
4,2017-09-25 04:05:00+00:00,2017-10-02 04:00:00+00:00,30,12,18,-0.0003600000000003184
5,2017-10-02 04:05:00+00:00,2017-10-09 04:00:00+00:00,26,11,14,-0.006489999999999295
6,2017-10-09 04:05:00+00:00,2017-10-16 04:00:00+00:00,24,11,13,-0.0010199999999996323
7,2017-10-16 04:05:00+00:00,2017-10-23 04:00:00+00:00,27,11,16,-0.0029399999999993945
8,2017-10-23 04:05:00+00:00,2017-10-30 04:00:00+00:00,25,5,20,-0.016599999999999802
9,2017-10-30 04:05:00+00:00,2017-11-06 04:00:00+00:00,21,8,13,-0.000680000000000007
10,2017-11-06 04:05:00+00:00,2017-11-13 04:00:00+00:00,27,9,18,-0.00717999999999986
11,2017-11-13 04:05:00+00:00,2017-11-20 04:00:00+00:00,27,11,16,-0.004680000000000878
12,2017-11-20 04:05:00+00:00,2017-11-27 04:00:00+00:00,18,7,11,-0.005749999999999533
13,2017-11-27 04:05:00+00:00,2017-12-04 04:00:00+00:00,26,9,17,-0.012790000000000135
14,2017-12-04 04:05:00+00:00,2017-12-11 04:00:00+00:00,27,11,16,-0.004849999999999882
15,2017-12-11 04:05:00+00:00,2017-12-18 04:00:00+00:00,29,10,19,-0.009990000000000082
16,2017-12-18 04:05:00+00:00,2017-12-25 04:00:00+00:00,24,9,15,-0.0040599999999999525
17,2017-12-25 04:05:00+00:00,2018-01-01 04:00:00+00:00,18,6,12,-0.0010299999999996978
18,2018-01-01 04:05:00+00:00,2018-01-08 04:00:00+00:00,20,8,12,-0.004009999999999736
19,2018-01-08 04:05:00+00:00,2018-01-15 04:00:00+00:00,28,12,16,0.00412999999999919
20,2018-01-15 04:05:00+00:00,2018-01-22 04:00:00+00:00,24,7,17,-0.018180000000000085
