Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 13:20:00+00:00,1.16069,2021-10-15 13:55:00+00:00,1.16104,-0.0005500000000000725
buy,2021-10-15 14:00:00+00:00,1.161,2021-10-15 14:45:00+00:00,1.16016,-0.001039999999999952
buy,2021-10-15 14:50:00+00:00,1.16031,2021-10-15 15:55:00+00:00,1.15924,-0.0012699999999999045
buy,2021-10-15 16:00:00+00:00,1.15924,2021-10-18 01:35:00+00:00,1.15985,0.00040999999999999934
short,2021-10-18 01:40:00+00:00,1.15992,2021-10-18 02:55:00+00:00,1.15998,-0.0002599999999999491
short,2021-10-18 03:05:00+00:00,1.15968,2021-10-18 06:10:00+00:00,1.15882,0.0006600000000000828
short,2021-10-18 06:45:00+00:00,1.15835,2021-10-18 06:55:00+00:00,1.15829,-0.0001400000000000511
buy,2021-10-18 07:00:00+00:00,1.15821,2021-10-18 12:55:00+00:00,1.15801,-0.00039999999999997806
short,2021-10-18 13:00:00+00:00,1.15825,2021-10-18 13:15:00+00:00,1.15784,0.00021000000000002137
buy,2021-10-18 13:20:00+00:00,1.15787,2021-10-18 13:35:00+00:00,1.15862,0.0005500000000000283
buy,2021-10-18 13:40:00+00:00,1.15879,2021-10-18 14:20:00+00:00,1.15876,-0.00022999999999997458
short,2021-10-18 14:25:00+00:00,1.15912,2021-10-18 15:05:00+00:00,1.16029,-0.0013700000000001155
short,2021-10-18 15:10:00+00:00,1.16,2021-10-18 16:30:00+00:00,1.1611,-0.0013000000000001014
short,2021-10-18 16:35:00+00:00,1.16071,2021-10-18 17:45:00+00:00,1.16026,0.00024999999999983976
buy,2021-10-18 17:50:00+00:00,1.16033,2021-10-18 19:25:00+00:00,1.1617,0.0011699999999998712
buy,2021-10-18 19:50:00+00:00,1.16188,2021-10-19 03:10:00+00:00,1.16153,-0.0005500000000000726
short,2021-10-19 03:15:00+00:00,1.16173,2021-10-19 04:15:00+00:00,1.16293,-0.0014000000000000904
short,2021-10-19 04:20:00+00:00,1.16263,2021-10-19 04:55:00+00:00,1.16366,-0.0012299999999998649
short,2021-10-19 05:00:00+00:00,1.16343,2021-10-19 06:40:00+00:00,1.16451,-0.0012799999999999704
buy,2021-10-19 06:45:00+00:00,1.16459,2021-10-19 10:15:00+00:00,1.16491,0.00011999999999987628
buy,2021-10-19 10:20:00+00:00,1.16463,2021-10-19 13:15:00+00:00,1.16664,0.0018099999999998456
short,2021-10-19 13:20:00+00:00,1.16675,2021-10-19 13:40:00+00:00,1.16613,0.00041999999999984324
buy,2021-10-19 13:45:00+00:00,1.16577,2021-10-19 15:55:00+00:00,1.16467,-0.0012999999999998785
buy,2021-10-19 16:00:00+00:00,1.16459,2021-10-19 17:45:00+00:00,1.16336,-0.001430000000000065
buy,2021-10-19 17:50:00+00:00,1.16371,2021-10-20 00:50:00+00:00,1.16326,-0.000650000000000062
short,2021-10-20 00:55:00+00:00,1.16318,2021-10-20 04:25:00+00:00,1.16448,-0.0014999999999998574
short,2021-10-20 04:30:00+00:00,1.16447,2021-10-20 05:30:00+00:00,1.16363,0.0006399999999999514
buy,2021-10-20 05:40:00+00:00,1.16371,2021-10-20 05:45:00+00:00,1.16378,-0.00012999999999998603
short,2021-10-20 05:50:00+00:00,1.16374,2021-10-20 07:20:00+00:00,1.16479,-0.001249999999999996
buy,2021-10-20 07:35:00+00:00,1.16488,2021-10-20 09:35:00+00:00,1.16387,-0.001209999999999956
buy,2021-10-20 09:40:00+00:00,1.16399,2021-10-20 10:15:00+00:00,1.1629,-0.001290000000000036
buy,2021-10-20 10:20:00+00:00,1.1629,2021-10-20 10:40:00+00:00,1.16182,-0.0012799999999999704
buy,2021-10-20 10:45:00+00:00,1.16184,2021-10-20 15:15:00+00:00,1.16239,0.0003500000000000499
short,2021-10-20 15:20:00+00:00,1.16279,2021-10-20 15:40:00+00:00,1.16395,-0.0013600000000000504
short,2021-10-20 15:45:00+00:00,1.16393,2021-10-20 15:50:00+00:00,1.16406,-0.0003300000000001843
buy,2021-10-20 15:55:00+00:00,1.16419,2021-10-20 16:30:00+00:00,1.16398,-0.0004100000000000423
short,2021-10-20 16:35:00+00:00,1.16395,2021-10-20 19:30:00+00:00,1.16495,-0.0011999999999998887
buy,2021-10-20 20:45:00+00:00,1.16559,2021-10-20 21:15:00+00:00,1.1656,-0.00018999999999993328
short,2021-10-20 21:20:00+00:00,1.16548,2021-10-20 22:10:00+00:00,1.16535,-7.000000000003531e-05
buy,2021-10-20 22:15:00+00:00,1.16527,2021-10-21 07:55:00+00:00,1.16506,-0.0004100000000000423
short,2021-10-21 08:00:00+00:00,1.16518,2021-10-21 10:10:00+00:00,1.16389,0.0010900000000000146
buy,2021-10-21 10:20:00+00:00,1.16397,2021-10-21 10:25:00+00:00,1.16412,-4.999999999990429e-05
short,2021-10-21 10:30:00+00:00,1.16423,2021-10-21 11:15:00+00:00,1.16386,0.0001700000000002047
buy,2021-10-21 11:20:00+00:00,1.1637,2021-10-21 11:35:00+00:00,1.16388,-1.9999999999929796e-05
short,2021-10-21 11:40:00+00:00,1.16424,2021-10-21 11:55:00+00:00,1.16416,-0.00012000000000014083
buy,2021-10-21 12:00:00+00:00,1.16418,2021-10-21 13:25:00+00:00,1.16382,-0.0005599999999999147
short,2021-10-21 13:35:00+00:00,1.164,2021-10-21 14:20:00+00:00,1.16427,-0.00046999999999999126
