Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 13:20:00+00:00,2021-10-22 13:15:00+00:00,60,16,44,-0.02408000000000051
2,2021-10-22 13:20:00+00:00,2021-10-29 13:15:00+00:00,77,19,58,-0.03533000000000102
3,2021-10-29 13:20:00+00:00,2021-11-05 13:15:00+00:00,60,14,46,-0.030119999999998898
4,2021-11-05 13:20:00+00:00,2021-11-12 13:15:00+00:00,68,23,45,-0.020240000000001035
5,2021-11-12 13:20:00+00:00,2021-11-19 13:15:00+00:00,78,28,50,-0.013450000000001003
6,2021-11-19 13:20:00+00:00,2021-11-26 13:15:00+00:00,68,27,41,-0.0039900000000024916
7,2021-11-26 13:20:00+00:00,2021-12-03 13:15:00+00:00,74,31,43,-0.0032300000000005658
8,2021-12-03 13:20:00+00:00,2021-12-10 13:15:00+00:00,55,18,37,-0.0234300000000007
9,2021-12-10 13:20:00+00:00,2021-12-17 13:15:00+00:00,79,26,53,-0.01666999999999949
10,2021-12-17 13:20:00+00:00,2021-12-24 13:15:00+00:00,64,22,42,-0.020059999999999523
11,2021-12-24 13:20:00+00:00,2021-12-31 13:15:00+00:00,70,24,45,-0.018000000000000377
12,2021-12-31 13:20:00+00:00,2022-01-07 13:15:00+00:00,65,17,48,-0.02672000000000166
13,2022-01-07 13:20:00+00:00,2022-01-14 13:15:00+00:00,66,19,47,-0.010570000000000468
14,2022-01-14 13:20:00+00:00,2022-01-21 13:15:00+00:00,76,25,51,-0.019869999999997057
15,2022-01-21 13:20:00+00:00,2022-01-28 13:15:00+00:00,60,19,41,-0.02212999999999754
16,2022-01-28 13:20:00+00:00,2022-02-04 13:15:00+00:00,77,29,47,-0.011859999999999093
17,2022-02-04 13:20:00+00:00,2022-02-11 13:15:00+00:00,64,20,44,-0.028849999999998488
18,2022-02-11 13:20:00+00:00,2022-02-18 13:15:00+00:00,65,27,38,-0.013749999999998597
19,2022-02-18 13:20:00+00:00,2022-02-25 13:15:00+00:00,83,27,56,-0.035159999999998526
20,2022-02-25 13:20:00+00:00,2022-03-04 13:15:00+00:00,102,39,63,-0.0338799999999988
21,2022-03-04 13:20:00+00:00,2022-03-11 13:15:00+00:00,107,40,67,-0.02116999999999769
22,2022-03-11 13:20:00+00:00,2022-03-18 13:15:00+00:00,92,30,62,-0.03149999999999897
23,2022-03-18 13:20:00+00:00,2022-03-25 13:15:00+00:00,86,30,56,-0.026529999999998388
24,2022-03-25 13:20:00+00:00,2022-04-01 13:15:00+00:00,80,25,55,-0.014099999999998947
25,2022-04-01 13:20:00+00:00,2022-04-08 13:15:00+00:00,62,18,43,-0.03027999999999831
26,2022-04-08 13:20:00+00:00,2022-04-15 13:15:00+00:00,84,30,54,-0.012589999999999879
27,2022-04-15 13:20:00+00:00,2022-04-22 13:15:00+00:00,85,25,60,-0.01733999999999769
28,2022-04-22 13:20:00+00:00,2022-04-29 13:15:00+00:00,94,32,62,-0.03828999999999794
29,2022-04-29 13:20:00+00:00,2022-05-06 13:15:00+00:00,94,35,59,-0.03069999999999884
30,2022-05-06 13:20:00+00:00,2022-05-13 13:15:00+00:00,90,36,54,-0.01707999999999843
31,2022-05-13 13:20:00+00:00,2022-05-20 13:15:00+00:00,103,37,66,-0.023999999999997357
32,2022-05-20 13:20:00+00:00,2022-05-27 13:15:00+00:00,86,28,58,-0.028569999999998652
33,2022-05-27 13:20:00+00:00,2022-06-03 13:15:00+00:00,65,27,36,-0.004369999999998431
34,2022-06-03 13:20:00+00:00,2022-06-10 13:15:00+00:00,70,25,45,-0.020309999999998274
35,2022-06-10 13:20:00+00:00,2022-06-17 13:15:00+00:00,105,32,72,-0.04006999999999783
36,2022-06-17 13:20:00+00:00,2022-06-24 13:15:00+00:00,83,39,44,-0.006569999999997522
37,2022-06-24 13:20:00+00:00,2022-07-01 13:15:00+00:00,74,25,47,-0.021559999999997803
38,2022-07-01 13:20:00+00:00,2022-07-08 13:15:00+00:00,100,27,73,-0.04146999999999834
39,2022-07-08 13:20:00+00:00,2022-07-15 13:15:00+00:00,78,30,47,-0.011239999999999584
40,2022-07-15 13:20:00+00:00,2022-07-22 13:15:00+00:00,87,37,50,0.010160000000001723
41,2022-07-22 13:20:00+00:00,2022-07-29 13:15:00+00:00,82,28,54,-0.020729999999997695
42,2022-07-29 13:20:00+00:00,2022-08-05 13:15:00+00:00,69,22,47,-0.02422999999999753
43,2022-08-05 13:20:00+00:00,2022-08-12 13:15:00+00:00,83,24,59,-0.03502999999999745
44,2022-08-12 13:20:00+00:00,2022-08-19 13:15:00+00:00,82,31,51,-0.032039999999999624
45,2022-08-19 13:20:00+00:00,2022-08-26 13:15:00+00:00,78,21,57,-0.03541999999999834
46,2022-08-26 13:20:00+00:00,2022-09-02 13:15:00+00:00,86,23,63,-0.05235999999999952
47,2022-09-02 13:20:00+00:00,2022-09-02 23:50:00+00:00,11,2,9,-0.009770000000000278
