Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-15 07:20:00+00:00,1.16085,2021-10-15 14:30:00+00:00,1.16037,-0.0006800000000000359
short,2021-10-15 14:35:00+00:00,1.16061,2021-10-15 15:35:00+00:00,1.15947,0.0009399999999999189
short,2021-10-15 15:40:00+00:00,1.15978,2021-10-15 17:55:00+00:00,1.16097,-0.0013900000000000245
short,2021-10-15 18:00:00+00:00,1.16057,2021-10-15 21:15:00+00:00,1.15974,0.0006300000000001084
buy,2021-10-15 21:20:00+00:00,1.15977,2021-10-18 03:05:00+00:00,1.15968,-0.00028999999999992346
short,2021-10-18 03:10:00+00:00,1.15943,2021-10-18 03:15:00+00:00,1.15945,-0.00022000000000013111
buy,2021-10-18 03:20:00+00:00,1.15917,2021-10-18 04:10:00+00:00,1.15888,-0.0004900000000001236
short,2021-10-18 04:15:00+00:00,1.15894,2021-10-18 07:55:00+00:00,1.15785,0.0008900000000000354
buy,2021-10-18 08:00:00+00:00,1.15786,2021-10-18 10:20:00+00:00,1.15815,9.000000000012351e-05
short,2021-10-18 10:25:00+00:00,1.15805,2021-10-18 11:00:00+00:00,1.1593,-0.0014499999999999732
short,2021-10-18 11:05:00+00:00,1.15926,2021-10-18 13:55:00+00:00,1.15915,-8.999999999994559e-05
buy,2021-10-18 14:00:00+00:00,1.15908,2021-10-18 19:25:00+00:00,1.1617,0.0024199999999998446
buy,2021-10-19 03:50:00+00:00,1.16217,2021-10-19 04:20:00+00:00,1.16263,0.000260000000000127
short,2021-10-19 04:25:00+00:00,1.16291,2021-10-19 05:25:00+00:00,1.16307,-0.00035999999999993795
buy,2021-10-19 05:30:00+00:00,1.16322,2021-10-19 11:55:00+00:00,1.16587,0.0024500000000000416
short,2021-10-19 12:00:00+00:00,1.16603,2021-10-19 15:00:00+00:00,1.16569,0.00014000000000000687
buy,2021-10-19 15:05:00+00:00,1.16553,2021-10-19 16:15:00+00:00,1.16444,-0.0012900000000000355
buy,2021-10-19 16:20:00+00:00,1.1646,2021-10-19 16:45:00+00:00,1.16459,-0.0002100000000000656
short,2021-10-19 16:50:00+00:00,1.16512,2021-10-20 03:50:00+00:00,1.16323,0.0016899999999999472
buy,2021-10-20 03:55:00+00:00,1.16337,2021-10-20 04:40:00+00:00,1.16467,0.0011000000000000792
short,2021-10-20 04:45:00+00:00,1.16459,2021-10-20 05:00:00+00:00,1.16422,0.0001699999999999818
buy,2021-10-20 05:05:00+00:00,1.16429,2021-10-20 05:55:00+00:00,1.16382,-0.0006699999999999705
buy,2021-10-20 06:00:00+00:00,1.1638,2021-10-20 10:25:00+00:00,1.16321,-0.0007899999999998685
short,2021-10-20 10:30:00+00:00,1.16252,2021-10-20 14:15:00+00:00,1.16352,-0.001200000000000112
short,2021-10-20 14:20:00+00:00,1.16317,2021-10-20 15:00:00+00:00,1.1623,0.0006699999999999263
buy,2021-10-20 15:05:00+00:00,1.16252,2021-10-20 15:15:00+00:00,1.16239,-0.00032999999999996357
short,2021-10-20 15:20:00+00:00,1.16279,2021-10-20 15:25:00+00:00,1.16307,-0.00048000000000005807
buy,2021-10-20 15:30:00+00:00,1.16323,2021-10-20 16:55:00+00:00,1.16419,0.0007600000000000718
short,2021-10-20 17:00:00+00:00,1.16479,2021-10-20 18:50:00+00:00,1.16428,0.00031000000000001035
buy,2021-10-20 18:55:00+00:00,1.16446,2021-10-20 23:00:00+00:00,1.16525,0.0005899999999998463
short,2021-10-21 00:20:00+00:00,1.16484,2021-10-21 03:30:00+00:00,1.16565,-0.0010099999999999775
buy,2021-10-21 03:35:00+00:00,1.16543,2021-10-21 05:05:00+00:00,1.16608,0.00045000000000003934
short,2021-10-21 05:10:00+00:00,1.16628,2021-10-21 05:35:00+00:00,1.16645,-0.00037000000000000357
buy,2021-10-21 05:40:00+00:00,1.16661,2021-10-21 07:25:00+00:00,1.16555,-0.001259999999999839
buy,2021-10-21 07:30:00+00:00,1.16549,2021-10-21 08:50:00+00:00,1.16503,-0.0006599999999999049
buy,2021-10-21 08:55:00+00:00,1.16516,2021-10-21 09:00:00+00:00,1.16521,-0.0001499999999998945
short,2021-10-21 09:05:00+00:00,1.16531,2021-10-21 15:00:00+00:00,1.16421,0.0009000000000001008
buy,2021-10-21 15:05:00+00:00,1.16352,2021-10-21 16:55:00+00:00,1.16428,0.000559999999999872
short,2021-10-21 17:00:00+00:00,1.16446,2021-10-21 19:45:00+00:00,1.16365,0.0006099999999999773
buy,2021-10-21 19:50:00+00:00,1.16347,2021-10-21 20:00:00+00:00,1.16359,-8.000000000010212e-05
short,2021-10-21 20:05:00+00:00,1.1632,2021-10-22 03:30:00+00:00,1.16259,0.00040999999999999934
buy,2021-10-22 03:55:00+00:00,1.1622,2021-10-22 05:25:00+00:00,1.16273,0.0003300000000001414
short,2021-10-22 05:30:00+00:00,1.16262,2021-10-22 08:15:00+00:00,1.1627,-0.0002800000000000801
buy,2021-10-22 08:20:00+00:00,1.16269,2021-10-22 09:25:00+00:00,1.16297,8.000000000005789e-05
buy,2021-10-22 09:30:00+00:00,1.16322,2021-10-22 09:55:00+00:00,1.16368,0.0002600000000001269
