Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,42,21,21,0.0029000000000003086
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,54,12,42,-0.025660000000000086
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,59,17,42,-0.0068299999999996
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,52,13,39,-0.01242000000000074
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,57,19,38,-0.015030000000000175
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,62,22,40,-0.012450000000000842
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,68,26,42,-0.010609999999999231
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,52,19,33,-0.00808999999999982
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,46,15,31,-0.016030000000002376
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,42,16,26,-0.002070000000001182
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,45,10,35,-0.012159999999999865
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,63,23,40,-0.011270000000000974
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,59,24,35,-0.012000000000000538
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,51,20,31,0.0010100000000005382
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,45,19,26,0.0016099999999999726
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,66,21,45,-0.017420000000001823
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,74,21,53,-0.022480000000000777
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,77,27,50,-0.02435000000000001
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,79,31,48,-0.018210000000001364
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,81,27,54,-0.025850000000001067
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,99,33,66,-0.031270000000000436
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,77,21,56,-0.03490999999999911
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,67,15,52,-0.03420999999999874
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,85,29,56,-0.015779999999996352
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,53,14,39,-0.016879999999998008
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,75,22,53,-0.03871999999999698
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,56,17,39,-0.018989999999998508
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,75,28,47,-0.005779999999999452
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,84,26,58,-0.019739999999999203
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,91,36,54,-0.02061999999999764
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,73,27,46,-0.004719999999997837
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,72,29,43,-0.010479999999999878
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,67,33,34,0.010940000000001282
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,76,28,47,-0.0076499999999992685
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,85,39,46,0.004890000000000283
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,61,24,37,-0.005469999999999642
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,75,24,51,-0.023909999999999876
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,80,35,45,0.0033700000000009833
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,94,32,62,-0.020089999999999164
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,95,24,69,-0.05087999999999848
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,80,28,52,-0.02779999999999827
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,82,22,59,-0.027049999999998464
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,72,28,44,-0.007039999999997937
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,75,29,46,-0.004359999999997255
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,59,21,38,0.0012500000000014166
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,101,37,64,-0.025559999999997696
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,17,9,7,0.005870000000000486
