Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-15 07:20:00+00:00,1.16085,2021-10-15 12:20:00+00:00,1.1607,-0.00034999999999987244
short,2021-10-15 12:25:00+00:00,1.16052,2021-10-15 15:25:00+00:00,1.1597,0.0006200000000000429
short,2021-10-15 15:30:00+00:00,1.15932,2021-10-15 15:45:00+00:00,1.16037,-0.0012499999999999955
short,2021-10-15 15:50:00+00:00,1.1601,2021-10-15 16:30:00+00:00,1.1604,-0.0005000000000001889
buy,2021-10-15 16:35:00+00:00,1.16015,2021-10-15 16:50:00+00:00,1.15999,-0.00035999999999993806
short,2021-10-15 16:55:00+00:00,1.15973,2021-10-15 17:55:00+00:00,1.16097,-0.00144000000000013
short,2021-10-18 03:15:00+00:00,1.15945,2021-10-18 04:25:00+00:00,1.15906,0.0001900000000001124
buy,2021-10-18 04:30:00+00:00,1.15889,2021-10-18 07:55:00+00:00,1.15785,-0.0012399999999999304
buy,2021-10-18 09:20:00+00:00,1.15765,2021-10-18 10:05:00+00:00,1.15762,-0.00022999999999997415
short,2021-10-18 10:10:00+00:00,1.15795,2021-10-18 11:00:00+00:00,1.1593,-0.001549999999999962
buy,2021-10-18 12:05:00+00:00,1.15832,2021-10-18 12:25:00+00:00,1.15829,-0.00022999999999997415
short,2021-10-18 12:30:00+00:00,1.15783,2021-10-18 12:35:00+00:00,1.15824,-0.0006100000000000211
buy,2021-10-18 12:40:00+00:00,1.15843,2021-10-18 14:00:00+00:00,1.15908,0.0004500000000000398
short,2021-10-18 14:05:00+00:00,1.15923,2021-10-18 15:05:00+00:00,1.16029,-0.0012600000000000606
short,2021-10-18 15:10:00+00:00,1.16,2021-10-18 15:45:00+00:00,1.16081,-0.001009999999999978
buy,2021-10-18 15:50:00+00:00,1.16031,2021-10-18 17:50:00+00:00,1.16033,-0.0001799999999998695
short,2021-10-18 17:55:00+00:00,1.16021,2021-10-18 19:05:00+00:00,1.16122,-0.001209999999999956
short,2021-10-18 19:20:00+00:00,1.16148,2021-10-19 04:00:00+00:00,1.16253,-0.001249999999999996
short,2021-10-19 04:40:00+00:00,1.16341,2021-10-19 06:25:00+00:00,1.164,-0.0007899999999998689
buy,2021-10-19 06:30:00+00:00,1.16397,2021-10-19 08:55:00+00:00,1.16551,0.0013400000000000963
short,2021-10-19 09:00:00+00:00,1.16501,2021-10-19 09:05:00+00:00,1.1654,-0.000589999999999891
buy,2021-10-19 09:10:00+00:00,1.16542,2021-10-19 12:00:00+00:00,1.16603,0.0004099999999999989
short,2021-10-19 12:05:00+00:00,1.16588,2021-10-19 13:55:00+00:00,1.16598,-0.0002999999999999895
buy,2021-10-19 14:00:00+00:00,1.16595,2021-10-19 15:30:00+00:00,1.16495,-0.0012000000000001124
buy,2021-10-19 15:35:00+00:00,1.16479,2021-10-19 15:45:00+00:00,1.16491,-8.000000000010256e-05
short,2021-10-19 15:50:00+00:00,1.16482,2021-10-19 17:15:00+00:00,1.16545,-0.000830000000000131
buy,2021-10-19 17:35:00+00:00,1.16449,2021-10-19 17:45:00+00:00,1.16336,-0.001330000000000076
buy,2021-10-19 17:50:00+00:00,1.16371,2021-10-19 19:10:00+00:00,1.16332,-0.000590000000000113
short,2021-10-19 19:15:00+00:00,1.16319,2021-10-19 20:35:00+00:00,1.16421,-0.0012200000000000214
short,2021-10-19 20:40:00+00:00,1.16412,2021-10-20 04:35:00+00:00,1.16461,-0.0006899999999998782
buy,2021-10-20 04:40:00+00:00,1.16467,2021-10-20 04:50:00+00:00,1.16417,-0.0007000000000001658
short,2021-10-20 04:55:00+00:00,1.16429,2021-10-20 05:15:00+00:00,1.1638,0.0002900000000001027
short,2021-10-20 05:20:00+00:00,1.16383,2021-10-20 07:30:00+00:00,1.1649,-0.0012700000000001252
short,2021-10-20 07:40:00+00:00,1.16492,2021-10-20 10:35:00+00:00,1.16216,0.002559999999999875
short,2021-10-20 10:40:00+00:00,1.16182,2021-10-20 11:30:00+00:00,1.16291,-0.0012900000000000342
short,2021-10-20 11:35:00+00:00,1.16289,2021-10-20 14:30:00+00:00,1.16284,-0.00015000000000011532
buy,2021-10-20 15:05:00+00:00,1.16252,2021-10-20 16:20:00+00:00,1.16388,0.001160000000000029
short,2021-10-20 16:25:00+00:00,1.16415,2021-10-20 19:35:00+00:00,1.16539,-0.0014399999999999066
short,2021-10-20 19:40:00+00:00,1.16547,2021-10-20 20:20:00+00:00,1.16541,-0.0001400000000000498
short,2021-10-20 20:35:00+00:00,1.16528,2021-10-20 22:15:00+00:00,1.16527,-0.00018999999999993328
buy,2021-10-21 03:20:00+00:00,1.16542,2021-10-21 05:25:00+00:00,1.16633,0.0007100000000001896
short,2021-10-21 05:30:00+00:00,1.16645,2021-10-21 06:25:00+00:00,1.16647,-0.00021999999999990777
buy,2021-10-21 06:30:00+00:00,1.16647,2021-10-21 06:50:00+00:00,1.16637,-0.0002999999999999878
short,2021-10-21 06:55:00+00:00,1.16649,2021-10-21 10:10:00+00:00,1.16389,0.002399999999999937
short,2021-10-21 10:15:00+00:00,1.16399,2021-10-21 10:25:00+00:00,1.16412,-0.00032999999999996227
buy,2021-10-21 10:30:00+00:00,1.16423,2021-10-21 11:25:00+00:00,1.16343,-0.0010000000000001327
short,2021-10-21 11:30:00+00:00,1.16357,2021-10-21 15:00:00+00:00,1.16421,-0.0008399999999999727
buy,2021-10-21 15:05:00+00:00,1.16352,2021-10-21 17:00:00+00:00,1.16446,0.0007399999999999421
short,2021-10-21 17:05:00+00:00,1.16455,2021-10-21 17:35:00+00:00,1.16403,0.00032000000000007717
short,2021-10-21 17:40:00+00:00,1.16366,2021-10-21 17:50:00+00:00,1.16472,-0.0012600000000000597
short,2021-10-21 17:55:00+00:00,1.16463,2021-10-21 19:50:00+00:00,1.16347,0.0009600000000000511
buy,2021-10-21 19:55:00+00:00,1.16362,2021-10-21 21:10:00+00:00,1.16253,-0.0012900000000000342
short,2021-10-22 02:10:00+00:00,1.16241,2021-10-22 06:40:00+00:00,1.1628,-0.0005900000000001113
short,2021-10-22 08:05:00+00:00,1.16269,2021-10-22 10:05:00+00:00,1.16378,-0.0012900000000000342
buy,2021-10-22 10:10:00+00:00,1.16379,2021-10-22 10:35:00+00:00,1.16448,0.0004899999999998586
short,2021-10-22 10:40:00+00:00,1.16458,2021-10-22 10:50:00+00:00,1.16433,4.9999999999862654e-05
buy,2021-10-22 10:55:00+00:00,1.1642,2021-10-22 13:00:00+00:00,1.16422,-0.00017999999999986777
short,2021-10-22 13:05:00+00:00,1.1642,2021-10-22 13:10:00+00:00,1.16409,-9.000000000016634e-05
buy,2021-10-22 13:15:00+00:00,1.16419,2021-10-22 13:35:00+00:00,1.16409,-0.0002999999999999878
short,2021-10-22 13:40:00+00:00,1.16385,2021-10-22 13:50:00+00:00,1.16403,-0.00037999999999984574
buy,2021-10-22 13:55:00+00:00,1.16399,2021-10-22 14:05:00+00:00,1.16388,-0.0003100000000000533
short,2021-10-22 14:10:00+00:00,1.1638,2021-10-22 14:35:00+00:00,1.16385,-0.0002500000000001043
short,2021-10-22 14:40:00+00:00,1.16399,2021-10-22 17:30:00+00:00,1.165,-0.0012099999999999542
short,2021-10-22 17:35:00+00:00,1.1648,2021-10-22 19:05:00+00:00,1.163,0.001600000000000025
buy,2021-10-22 19:10:00+00:00,1.1628,2021-10-22 21:10:00+00:00,1.16323,0.00022999999999993165
short,2021-10-22 21:15:00+00:00,1.16338,2021-10-22 23:55:00+00:00,1.16443,-0.0012499999999999942
buy,2021-10-25 03:55:00+00:00,1.16478,2021-10-25 04:15:00+00:00,1.16448,-0.0004999999999999657
short,2021-10-25 04:20:00+00:00,1.1644,2021-10-25 04:55:00+00:00,1.16411,9.00000000001247e-05
buy,2021-10-25 05:00:00+00:00,1.1643,2021-10-25 06:15:00+00:00,1.16573,0.0012300000000000436
short,2021-10-25 06:20:00+00:00,1.16609,2021-10-25 08:50:00+00:00,1.16586,3.000000000017572e-05
buy,2021-10-25 08:55:00+00:00,1.16589,2021-10-25 09:45:00+00:00,1.1648,-0.0012900000000000342
buy,2021-10-25 10:05:00+00:00,1.16456,2021-10-25 12:05:00+00:00,1.16473,-2.9999999999995308e-05
short,2021-10-25 12:10:00+00:00,1.16487,2021-10-25 12:20:00+00:00,1.16371,0.0009600000000000511
buy,2021-10-25 12:25:00+00:00,1.16317,2021-10-25 12:45:00+00:00,1.16268,-0.0006900000000001003
short,2021-10-25 12:50:00+00:00,1.1623,2021-10-25 13:05:00+00:00,1.16228,-0.00017999999999986777
short,2021-10-25 13:10:00+00:00,1.16221,2021-10-25 15:00:00+00:00,1.16078,0.0012300000000000436
buy,2021-10-25 15:05:00+00:00,1.16081,2021-10-25 15:40:00+00:00,1.1597,-0.0013099999999999432
short,2021-10-25 15:45:00+00:00,1.1595,2021-10-25 16:15:00+00:00,1.1608,-0.0015000000000000777
short,2021-10-25 16:20:00+00:00,1.16092,2021-10-25 19:05:00+00:00,1.16055,0.00016999999999998266
buy,2021-10-25 19:10:00+00:00,1.16083,2021-10-25 21:50:00+00:00,1.16125,0.00021999999999986614
short,2021-10-25 21:55:00+00:00,1.16133,2021-10-26 02:40:00+00:00,1.16084,0.00028999999999988063
buy,2021-10-26 02:45:00+00:00,1.16087,2021-10-26 05:50:00+00:00,1.15983,-0.0012400000000001507
short,2021-10-26 07:45:00+00:00,1.16007,2021-10-26 10:00:00+00:00,1.1605,-0.0006300000000001513
buy,2021-10-26 10:05:00+00:00,1.15971,2021-10-26 12:55:00+00:00,1.1616,0.0016899999999999485
short,2021-10-26 13:00:00+00:00,1.16166,2021-10-26 13:25:00+00:00,1.16161,-0.00015000000000011532
buy,2021-10-26 13:30:00+00:00,1.16187,2021-10-26 13:35:00+00:00,1.16169,-0.0003800000000000678
short,2021-10-26 13:40:00+00:00,1.16171,2021-10-26 13:50:00+00:00,1.16219,-0.0006800000000000347
buy,2021-10-26 13:55:00+00:00,1.16221,2021-10-26 14:00:00+00:00,1.16225,-0.00015999999999995879
short,2021-10-26 14:05:00+00:00,1.16236,2021-10-26 14:30:00+00:00,1.16188,0.00028000000000003716
buy,2021-10-26 14:35:00+00:00,1.16203,2021-10-26 15:30:00+00:00,1.16129,-0.0009399999999999617
short,2021-10-26 15:35:00+00:00,1.16158,2021-10-26 18:10:00+00:00,1.15947,0.0019100000000000575
short,2021-10-26 18:15:00+00:00,1.15948,2021-10-27 03:00:00+00:00,1.15966,-0.00037999999999984574
buy,2021-10-27 03:05:00+00:00,1.15984,2021-10-27 09:25:00+00:00,1.16023,0.0001900000000001137
