Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,53,13,40,-0.019150000000000035
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,72,25,47,-0.02351000000000031
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,70,22,48,-0.012819999999999512
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,83,25,58,-0.020479999999998673
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,64,18,46,-0.020740000000000203
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,77,24,53,-0.01497999999999991
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,80,27,53,-0.0226800000000007
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,65,22,43,-0.020709999999999146
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,77,23,54,-0.022230000000001887
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,62,20,42,-0.007469999999999366
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,67,17,50,-0.026320000000000426
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,75,29,46,-0.007040000000001129
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,67,25,42,-0.004470000000000057
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,64,26,38,-0.013200000000000767
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,68,25,43,-0.001620000000000732
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,74,28,46,-0.013559999999999739
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,75,27,48,-0.02101999999999904
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,71,23,47,-0.028229999999998645
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,80,37,43,-0.003779999999997674
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,86,28,57,-0.027389999999998693
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,100,34,66,-0.03791999999999729
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,99,37,62,-0.025659999999998906
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,72,25,46,-0.008009999999998074
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,75,25,50,-0.026089999999997726
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,66,23,43,-0.007479999999997711
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,77,34,43,0.005900000000001571
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,80,26,54,-0.02177999999999769
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,94,30,64,-0.03575999999999824
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,85,31,54,-0.019809999999997274
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,98,42,54,-0.010059999999997737
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,104,33,71,-0.044839999999998215
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,97,38,59,-0.016299999999997095
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,84,31,52,-0.020709999999998896
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,71,32,39,0.0014700000000009705
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,106,36,69,-0.03267999999999738
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,101,27,72,-0.03264999999999718
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,89,31,58,-0.02869999999999706
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,93,38,55,0.011210000000001719
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,108,40,68,-0.02661999999999798
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,111,39,72,-0.022659999999997904
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,99,41,58,-0.0026499999999975987
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,76,29,46,-0.012449999999998296
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,94,38,56,-0.005199999999997873
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,75,31,43,-0.0065299999999985925
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,90,28,62,-0.035029999999998895
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,105,29,76,-0.03877999999999804
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,18,5,13,-0.009679999999999245
