Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 07:20:00+00:00,1.16085,2021-10-15 14:10:00+00:00,1.16081,-0.00015999999999996
buy,2021-10-15 14:15:00+00:00,1.16088,2021-10-15 22:20:00+00:00,1.16022,-0.0008599999999998829
short,2021-10-15 22:25:00+00:00,1.16024,2021-10-18 02:35:00+00:00,1.1601,-5.99999999999711e-05
buy,2021-10-18 02:40:00+00:00,1.16008,2021-10-18 03:05:00+00:00,1.15968,-0.0005999999999999558
short,2021-10-18 03:10:00+00:00,1.15943,2021-10-18 03:15:00+00:00,1.15945,-0.00022000000000013111
buy,2021-10-18 03:20:00+00:00,1.15917,2021-10-18 04:25:00+00:00,1.15906,-0.0003100000000000546
short,2021-10-18 04:30:00+00:00,1.15889,2021-10-18 06:15:00+00:00,1.15876,-7.000000000003661e-05
buy,2021-10-18 06:20:00+00:00,1.15883,2021-10-18 08:55:00+00:00,1.15796,-0.0010699999999999265
buy,2021-10-18 09:00:00+00:00,1.15785,2021-10-18 10:50:00+00:00,1.15859,0.0005399999999999628
short,2021-10-18 10:55:00+00:00,1.15893,2021-10-18 16:30:00+00:00,1.1611,-0.002370000000000005
short,2021-10-18 16:35:00+00:00,1.16071,2021-10-18 19:50:00+00:00,1.16188,-0.001370000000000116
buy,2021-10-18 19:55:00+00:00,1.16194,2021-10-18 23:35:00+00:00,1.16096,-0.0011799999999999814
short,2021-10-18 23:40:00+00:00,1.16095,2021-10-18 23:50:00+00:00,1.16107,-0.00032000000000012054
buy,2021-10-18 23:55:00+00:00,1.16113,2021-10-19 00:10:00+00:00,1.16101,-0.0003199999999998985
short,2021-10-19 00:15:00+00:00,1.1609,2021-10-19 02:00:00+00:00,1.16102,-0.0003199999999998985
buy,2021-10-19 02:05:00+00:00,1.16099,2021-10-19 02:35:00+00:00,1.16122,2.999999999995194e-05
short,2021-10-19 02:40:00+00:00,1.16124,2021-10-19 04:00:00+00:00,1.16253,-0.0014900000000000139
buy,2021-10-19 04:05:00+00:00,1.16252,2021-10-19 04:15:00+00:00,1.16293,0.00021000000000002093
short,2021-10-19 04:20:00+00:00,1.16263,2021-10-19 04:55:00+00:00,1.16366,-0.0012299999999998649
buy,2021-10-19 05:00:00+00:00,1.16343,2021-10-19 07:40:00+00:00,1.16535,0.0017200000000001433
buy,2021-10-19 07:45:00+00:00,1.16516,2021-10-19 07:55:00+00:00,1.16504,-0.0003199999999998985
short,2021-10-19 08:00:00+00:00,1.16456,2021-10-19 08:05:00+00:00,1.16467,-0.000310000000000055
buy,2021-10-19 08:10:00+00:00,1.1647,2021-10-19 08:55:00+00:00,1.16551,0.0006099999999999769
short,2021-10-19 09:00:00+00:00,1.16501,2021-10-19 13:20:00+00:00,1.16675,-0.0019399999999998533
buy,2021-10-19 13:25:00+00:00,1.16639,2021-10-19 13:35:00+00:00,1.16651,-8.000000000010256e-05
short,2021-10-19 13:40:00+00:00,1.16613,2021-10-19 13:45:00+00:00,1.16577,0.00016000000000013746
buy,2021-10-19 13:50:00+00:00,1.16622,2021-10-19 16:25:00+00:00,1.1642,-0.0022200000000001333
short,2021-10-19 17:00:00+00:00,1.16556,2021-10-19 20:55:00+00:00,1.16402,0.0013399999999998743
buy,2021-10-19 21:00:00+00:00,1.16404,2021-10-19 21:25:00+00:00,1.16429,5.0000000000082964e-05
short,2021-10-19 21:30:00+00:00,1.16442,2021-10-19 21:40:00+00:00,1.16409,0.00012999999999994093
buy,2021-10-19 21:45:00+00:00,1.16409,2021-10-20 07:30:00+00:00,1.1649,0.0006099999999999769
short,2021-10-20 07:35:00+00:00,1.16488,2021-10-20 20:35:00+00:00,1.16528,-0.0006000000000001785
buy,2021-10-20 20:40:00+00:00,1.16563,2021-10-20 21:10:00+00:00,1.16553,-0.0002999999999999895
short,2021-10-20 21:15:00+00:00,1.1656,2021-10-20 23:00:00+00:00,1.16525,0.00015000000000007195
buy,2021-10-20 23:05:00+00:00,1.16501,2021-10-21 01:20:00+00:00,1.16513,-8.000000000010256e-05
short,2021-10-21 01:25:00+00:00,1.16516,2021-10-21 03:55:00+00:00,1.16552,-0.0005599999999999165
buy,2021-10-21 04:00:00+00:00,1.16567,2021-10-21 04:45:00+00:00,1.16623,0.00036000000000011544
buy,2021-10-21 04:50:00+00:00,1.16609,2021-10-21 04:55:00+00:00,1.16608,-0.00021000000000006604
short,2021-10-21 05:00:00+00:00,1.16612,2021-10-21 06:00:00+00:00,1.16637,-0.00044999999999986197
buy,2021-10-21 06:05:00+00:00,1.1667,2021-10-21 07:55:00+00:00,1.16506,-0.0018400000000000864
buy,2021-10-21 08:00:00+00:00,1.16518,2021-10-21 17:45:00+00:00,1.16443,-0.000950000000000029
short,2021-10-21 17:50:00+00:00,1.16472,2021-10-21 20:05:00+00:00,1.1632,0.0013199999999999653
buy,2021-10-21 20:10:00+00:00,1.16353,2021-10-22 08:05:00+00:00,1.16269,-0.0010399999999999524
short,2021-10-22 08:10:00+00:00,1.16278,2021-10-22 08:35:00+00:00,1.1627,-0.00012000000000014083
buy,2021-10-22 08:40:00+00:00,1.1628,2021-10-22 09:35:00+00:00,1.1633,0.0002999999999999444
short,2021-10-22 09:40:00+00:00,1.16347,2021-10-22 13:55:00+00:00,1.16399,-0.0007200000000000765
buy,2021-10-22 14:00:00+00:00,1.16367,2021-10-22 14:20:00+00:00,1.16426,0.00039000000000009166
short,2021-10-22 14:25:00+00:00,1.16394,2021-10-22 14:50:00+00:00,1.16403,-0.00028999999999992226
short,2021-10-22 14:55:00+00:00,1.16369,2021-10-22 18:50:00+00:00,1.16304,0.00044999999999981687
buy,2021-10-22 18:55:00+00:00,1.16348,2021-10-25 01:40:00+00:00,1.16432,0.0006399999999999514
short,2021-10-25 01:45:00+00:00,1.16432,2021-10-25 03:25:00+00:00,1.16446,-0.0003400000000000295
buy,2021-10-25 03:30:00+00:00,1.16441,2021-10-25 04:15:00+00:00,1.16448,-0.00012999999999998603
short,2021-10-25 04:20:00+00:00,1.1644,2021-10-25 04:55:00+00:00,1.16411,9.000000000012297e-05
buy,2021-10-25 05:00:00+00:00,1.1643,2021-10-25 05:30:00+00:00,1.1644,-9.99999999997895e-05
short,2021-10-25 05:35:00+00:00,1.16451,2021-10-25 05:50:00+00:00,1.16457,-0.0002600000000001698
buy,2021-10-25 05:55:00+00:00,1.16477,2021-10-25 06:10:00+00:00,1.16527,0.0002999999999999444
short,2021-10-25 06:15:00+00:00,1.16573,2021-10-25 14:40:00+00:00,1.16131,0.004219999999999868
short,2021-10-25 14:45:00+00:00,1.16059,2021-10-25 15:10:00+00:00,1.16046,-7.000000000003705e-05
buy,2021-10-25 15:15:00+00:00,1.16027,2021-10-25 15:25:00+00:00,1.16023,-0.00023999999999981848
short,2021-10-25 15:30:00+00:00,1.16027,2021-10-25 15:35:00+00:00,1.16028,-0.00021000000000006604
buy,2021-10-25 15:40:00+00:00,1.1597,2021-10-25 16:55:00+00:00,1.16103,0.0011300000000000528
short,2021-10-25 17:00:00+00:00,1.16117,2021-10-26 00:15:00+00:00,1.16112,-0.000149999999999895
buy,2021-10-26 00:20:00+00:00,1.1611,2021-10-26 02:05:00+00:00,1.16064,-0.0006600000000001275
short,2021-10-26 02:10:00+00:00,1.16061,2021-10-26 02:40:00+00:00,1.16084,-0.00043000000000017503
buy,2021-10-26 02:45:00+00:00,1.16087,2021-10-26 03:20:00+00:00,1.16024,-0.000830000000000131
short,2021-10-26 03:25:00+00:00,1.16011,2021-10-26 03:35:00+00:00,1.16,-8.999999999994603e-05
short,2021-10-26 03:40:00+00:00,1.16011,2021-10-26 08:05:00+00:00,1.16033,-0.0004200000000001095
buy,2021-10-26 08:10:00+00:00,1.16024,2021-10-26 09:05:00+00:00,1.16058,0.00014000000000000644
short,2021-10-26 09:10:00+00:00,1.16049,2021-10-26 09:15:00+00:00,1.16048,-0.000189999999999935
buy,2021-10-26 09:20:00+00:00,1.16051,2021-10-26 15:45:00+00:00,1.16164,0.0009300000000000749
short,2021-10-26 15:50:00+00:00,1.16189,2021-10-26 20:10:00+00:00,1.15899,0.002700000000000124
buy,2021-10-26 20:15:00+00:00,1.15921,2021-10-27 03:30:00+00:00,1.15998,0.0005699999999999369
buy,2021-10-27 03:35:00+00:00,1.16023,2021-10-27 06:00:00+00:00,1.15989,-0.0005400000000000075
buy,2021-10-27 06:05:00+00:00,1.15997,2021-10-27 10:20:00+00:00,1.16076,0.0005900000000000679
short,2021-10-27 10:25:00+00:00,1.16062,2021-10-27 10:55:00+00:00,1.16054,-0.00011999999999992052
short,2021-10-27 12:15:00+00:00,1.15929,2021-10-27 15:10:00+00:00,1.16139,-0.0022999999999999913
buy,2021-10-27 16:10:00+00:00,1.16187,2021-10-27 18:00:00+00:00,1.15973,-0.0023400000000000313
buy,2021-10-27 18:05:00+00:00,1.15999,2021-10-27 18:25:00+00:00,1.15888,-0.001310000000000167
short,2021-10-27 18:30:00+00:00,1.15929,2021-10-27 19:00:00+00:00,1.16002,-0.00093000000000012
buy,2021-10-27 19:05:00+00:00,1.16033,2021-10-28 03:15:00+00:00,1.15951,-0.0010200000000000417
short,2021-10-28 03:20:00+00:00,1.15955,2021-10-28 04:20:00+00:00,1.15921,0.00014000000000000817
buy,2021-10-28 04:25:00+00:00,1.15925,2021-10-28 06:00:00+00:00,1.16091,0.0014600000000002163
short,2021-10-28 06:05:00+00:00,1.16069,2021-10-28 06:40:00+00:00,1.16046,2.999999999995194e-05
buy,2021-10-28 06:45:00+00:00,1.16051,2021-10-28 08:10:00+00:00,1.16053,-0.0001799999999998695
short,2021-10-28 08:15:00+00:00,1.16044,2021-10-28 10:45:00+00:00,1.16118,-0.0009400000000001855
buy,2021-10-28 10:50:00+00:00,1.16107,2021-10-28 11:05:00+00:00,1.16122,-5.000000000012633e-05
short,2021-10-28 11:10:00+00:00,1.1613,2021-10-28 14:35:00+00:00,1.16079,0.00031000000000001166
buy,2021-10-28 14:40:00+00:00,1.16046,2021-10-28 14:50:00+00:00,1.16127,0.0006099999999999769
short,2021-10-28 14:55:00+00:00,1.16022,2021-10-28 15:55:00+00:00,1.16246,-0.0024400000000000203
short,2021-10-28 17:10:00+00:00,1.16717,2021-10-28 17:40:00+00:00,1.16722,-0.00024999999999988226
buy,2021-10-28 17:45:00+00:00,1.16744,2021-10-28 21:00:00+00:00,1.16872,0.001079999999999949
short,2021-10-28 21:05:00+00:00,1.1689,2021-10-29 00:40:00+00:00,1.16834,0.00036000000000011717
buy,2021-10-29 00:45:00+00:00,1.16829,2021-10-29 01:40:00+00:00,1.16825,-0.0002400000000000388
short,2021-10-29 01:45:00+00:00,1.16821,2021-10-29 01:55:00+00:00,1.16828,-0.0002700000000000133
