Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,42,13,29,-0.014579999999999869
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,57,21,36,-0.003870000000000406
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,57,14,43,-0.020350000000001502
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,62,17,45,-0.008320000000001396
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,65,28,37,-0.0060399999999994
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,62,21,41,-0.0015099999999996366
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,81,28,53,-0.009240000000000158
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,55,14,41,-0.017410000000000786
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,73,24,49,-0.012110000000000537
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,49,17,32,-0.013060000000000543
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,63,15,48,-0.020600000000000354
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,49,16,33,-0.006400000000000655
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,92,15,77,-0.03098000000000145
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,63,12,51,-0.022460000000000563
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,61,21,40,-0.0063099999999997325
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,82,15,67,-0.05280999999999986
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,49,23,26,-0.0019700000000013873
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,65,18,46,-0.007469999999998755
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,64,27,35,0.005470000000001168
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,67,29,38,0.009670000000000012
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,74,31,42,-0.003450000000000869
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,64,26,38,-0.0002199999999996649
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,67,23,44,-0.006840000000001262
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,48,16,32,-0.02299999999999902
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,57,18,39,-0.0046099999999975605
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,62,25,37,-0.0080799999999972
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,55,20,35,-0.015939999999997623
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,54,18,36,0.002780000000000671
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,63,24,39,-0.023369999999997892
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,65,23,42,-0.016219999999997237
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,61,22,39,-0.027469999999998995
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,79,35,44,-0.01976999999999829
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,76,20,56,-0.008529999999999482
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,64,18,46,-0.02054999999999807
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,71,26,44,-0.0011899999999991362
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,71,21,50,-0.01102999999999743
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,60,22,38,0.0008799999999999919
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,61,22,39,0.005229999999999846
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,58,28,30,0.0028500000000005743
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,70,26,44,-0.039089999999998515
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,70,30,40,-0.016630000000000145
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,69,14,55,-0.04157999999999884
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,73,23,50,-0.025969999999997606
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,48,17,31,-0.013359999999998706
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,64,18,44,-0.010609999999998565
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,66,20,45,-0.031039999999998624
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,6,1,5,-0.011800000000000033
