Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 13:20:00+00:00,1.16069,2021-10-15 20:40:00+00:00,1.15989,0.0005999999999999119
buy,2021-10-15 20:45:00+00:00,1.15988,2021-10-18 03:35:00+00:00,1.15916,-0.0009200000000000539
buy,2021-10-18 03:40:00+00:00,1.15873,2021-10-18 03:45:00+00:00,1.15885,-8.000000000010202e-05
buy,2021-10-18 03:50:00+00:00,1.15868,2021-10-18 04:05:00+00:00,1.1588,-7.999999999987997e-05
buy,2021-10-18 04:40:00+00:00,1.15884,2021-10-18 05:10:00+00:00,1.15913,8.999999999990147e-05
buy,2021-10-18 06:25:00+00:00,1.15857,2021-10-18 09:30:00+00:00,1.15737,-0.00140000000000009
buy,2021-10-18 09:35:00+00:00,1.15759,2021-10-18 09:50:00+00:00,1.15734,-0.00044999999999986154
short,2021-10-18 09:55:00+00:00,1.15752,2021-10-18 10:05:00+00:00,1.15762,-0.0002999999999999891
buy,2021-10-18 10:10:00+00:00,1.15795,2021-10-18 12:35:00+00:00,1.15824,8.999999999990136e-05
short,2021-10-18 12:40:00+00:00,1.15843,2021-10-18 13:45:00+00:00,1.15872,-0.0004899999999999015
buy,2021-10-18 13:50:00+00:00,1.15906,2021-10-18 14:25:00+00:00,1.15912,-0.0001400000000000511
buy,2021-10-18 15:00:00+00:00,1.15972,2021-10-18 16:45:00+00:00,1.16093,0.0010099999999999333
short,2021-10-18 16:50:00+00:00,1.16043,2021-10-18 19:20:00+00:00,1.16148,-0.0012499999999999955
buy,2021-10-18 20:00:00+00:00,1.16219,2021-10-18 21:40:00+00:00,1.16119,-0.0012000000000001116
short,2021-10-18 22:35:00+00:00,1.16115,2021-10-19 01:15:00+00:00,1.16116,-0.00021000000000006517
buy,2021-10-19 01:20:00+00:00,1.16114,2021-10-19 06:00:00+00:00,1.16426,0.0029200000000000116
buy,2021-10-19 06:05:00+00:00,1.16417,2021-10-19 06:15:00+00:00,1.16411,-0.0002599999999999491
buy,2021-10-19 06:20:00+00:00,1.16398,2021-10-19 06:30:00+00:00,1.16397,-0.0002100000000000656
short,2021-10-19 06:35:00+00:00,1.16409,2021-10-19 06:55:00+00:00,1.16452,-0.0006299999999999305
buy,2021-10-19 07:00:00+00:00,1.16468,2021-10-19 08:15:00+00:00,1.16469,-0.00018999999999993458
short,2021-10-19 08:20:00+00:00,1.16475,2021-10-19 08:50:00+00:00,1.16545,-0.000900000000000145
buy,2021-10-19 08:55:00+00:00,1.16551,2021-10-19 09:20:00+00:00,1.16532,-0.00039000000000013416
short,2021-10-19 09:25:00+00:00,1.16516,2021-10-19 09:45:00+00:00,1.16542,-0.0004599999999999266
buy,2021-10-19 09:50:00+00:00,1.16473,2021-10-19 10:40:00+00:00,1.16452,-0.00041000000000004314
short,2021-10-19 10:45:00+00:00,1.1648,2021-10-19 11:55:00+00:00,1.16587,-0.001269999999999904
short,2021-10-19 12:05:00+00:00,1.16588,2021-10-19 12:15:00+00:00,1.16605,-0.00037000000000000314
buy,2021-10-19 12:20:00+00:00,1.16616,2021-10-19 13:10:00+00:00,1.16649,0.0001299999999999418
short,2021-10-19 13:20:00+00:00,1.16675,2021-10-19 17:40:00+00:00,1.16372,0.0028299999999998656
buy,2021-10-19 18:35:00+00:00,1.16346,2021-10-19 21:30:00+00:00,1.16442,0.0007600000000000718
short,2021-10-19 21:35:00+00:00,1.16407,2021-10-20 05:15:00+00:00,1.1638,6.999999999999238e-05
buy,2021-10-20 05:20:00+00:00,1.16383,2021-10-20 06:40:00+00:00,1.16434,0.00031000000000001035
short,2021-10-20 07:25:00+00:00,1.16463,2021-10-20 09:35:00+00:00,1.16387,0.0005600000000000938
buy,2021-10-20 09:40:00+00:00,1.16399,2021-10-20 09:45:00+00:00,1.16401,-0.0001800000000000911
short,2021-10-20 09:50:00+00:00,1.16396,2021-10-20 10:25:00+00:00,1.16321,0.0005500000000000283
buy,2021-10-20 10:30:00+00:00,1.16252,2021-10-20 10:50:00+00:00,1.16212,-0.000599999999999956
buy,2021-10-20 10:55:00+00:00,1.16241,2021-10-20 17:20:00+00:00,1.1647,0.002090000000000125
short,2021-10-20 17:25:00+00:00,1.16468,2021-10-20 17:50:00+00:00,1.16461,-0.0001299999999999855
buy,2021-10-20 17:55:00+00:00,1.16486,2021-10-20 18:05:00+00:00,1.1646,-0.00045999999999992694
short,2021-10-20 18:10:00+00:00,1.16467,2021-10-20 19:10:00+00:00,1.16455,-7.999999999988008e-05
buy,2021-10-20 19:15:00+00:00,1.16455,2021-10-20 19:25:00+00:00,1.16489,0.00014000000000000698
short,2021-10-20 19:30:00+00:00,1.16495,2021-10-20 20:45:00+00:00,1.16559,-0.0008399999999999739
buy,2021-10-20 20:50:00+00:00,1.16532,2021-10-21 03:20:00+00:00,1.16542,-0.0001000000000000111
short,2021-10-21 03:45:00+00:00,1.16562,2021-10-21 03:50:00+00:00,1.16568,-0.0002599999999999491
short,2021-10-21 03:55:00+00:00,1.16552,2021-10-21 04:00:00+00:00,1.16567,-0.0003500000000000946
short,2021-10-21 04:05:00+00:00,1.16564,2021-10-21 04:40:00+00:00,1.16615,-0.0007100000000000105
short,2021-10-21 04:45:00+00:00,1.16623,2021-10-21 05:00:00+00:00,1.16612,-8.999999999994559e-05
buy,2021-10-21 05:05:00+00:00,1.16608,2021-10-21 07:55:00+00:00,1.16506,-0.001220000000000021
buy,2021-10-21 08:00:00+00:00,1.16518,2021-10-21 08:25:00+00:00,1.16511,-0.00027000000000001415
short,2021-10-21 08:30:00+00:00,1.16497,2021-10-21 12:10:00+00:00,1.16409,0.0006799999999999922
buy,2021-10-21 12:15:00+00:00,1.16403,2021-10-21 17:40:00+00:00,1.16366,-0.0005699999999999811
short,2021-10-21 17:45:00+00:00,1.16443,2021-10-21 18:05:00+00:00,1.16401,0.0002200000000000873
short,2021-10-21 18:10:00+00:00,1.16409,2021-10-21 18:35:00+00:00,1.16383,6.0000000000149344e-05
short,2021-10-21 20:00:00+00:00,1.16359,2021-10-21 20:55:00+00:00,1.16266,0.0007299999999998753
buy,2021-10-21 21:00:00+00:00,1.1627,2021-10-22 00:35:00+00:00,1.16249,-0.0004100000000000436
