Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 13:20:00+00:00,2021-10-22 13:15:00+00:00,56,19,37,-0.003920000000000045
2,2021-10-22 13:20:00+00:00,2021-10-29 13:15:00+00:00,74,21,53,-0.026129999999999383
3,2021-10-29 13:20:00+00:00,2021-11-05 13:15:00+00:00,63,21,42,-0.01773000000000156
4,2021-11-05 13:20:00+00:00,2021-11-12 13:15:00+00:00,54,16,38,-0.016179999999999903
5,2021-11-12 13:20:00+00:00,2021-11-19 13:15:00+00:00,44,16,28,-0.007290000000000449
6,2021-11-19 13:20:00+00:00,2021-11-26 13:15:00+00:00,58,22,36,-0.01494999999999963
7,2021-11-26 13:20:00+00:00,2021-12-03 13:15:00+00:00,53,19,34,-0.015149999999999691
8,2021-12-03 13:20:00+00:00,2021-12-10 13:15:00+00:00,53,19,34,-0.0064699999999998925
9,2021-12-10 13:20:00+00:00,2021-12-17 13:15:00+00:00,60,17,43,-0.021730000000000138
10,2021-12-17 13:20:00+00:00,2021-12-24 13:15:00+00:00,62,23,39,-0.007970000000000643
11,2021-12-24 13:20:00+00:00,2021-12-31 13:15:00+00:00,43,16,27,-0.009489999999999638
12,2021-12-31 13:20:00+00:00,2022-01-07 13:15:00+00:00,55,21,34,-0.008979999999999516
13,2022-01-07 13:20:00+00:00,2022-01-14 13:15:00+00:00,71,20,51,-0.017400000000000276
14,2022-01-14 13:20:00+00:00,2022-01-21 13:15:00+00:00,47,14,33,-0.01298000000000174
15,2022-01-21 13:20:00+00:00,2022-01-28 13:15:00+00:00,60,27,33,-0.0008400000000000629
16,2022-01-28 13:20:00+00:00,2022-02-04 13:15:00+00:00,68,25,43,-0.0026900000000008584
17,2022-02-04 13:20:00+00:00,2022-02-11 13:15:00+00:00,58,19,39,-0.011930000000000496
18,2022-02-11 13:20:00+00:00,2022-02-18 13:15:00+00:00,56,22,34,-0.009650000000000603
19,2022-02-18 13:20:00+00:00,2022-02-25 13:15:00+00:00,88,32,56,-0.03017000000000114
20,2022-02-25 13:20:00+00:00,2022-03-04 13:15:00+00:00,80,37,43,0.018389999999999906
21,2022-03-04 13:20:00+00:00,2022-03-11 13:15:00+00:00,91,39,51,0.002219999999999389
22,2022-03-11 13:20:00+00:00,2022-03-18 13:15:00+00:00,74,22,52,-0.037799999999999945
23,2022-03-18 13:20:00+00:00,2022-03-25 13:15:00+00:00,65,21,44,-0.018069999999998476
24,2022-03-25 13:20:00+00:00,2022-04-01 13:15:00+00:00,77,30,47,-0.018749999999998934
25,2022-04-01 13:20:00+00:00,2022-04-08 13:15:00+00:00,58,25,33,-0.006939999999999502
26,2022-04-08 13:20:00+00:00,2022-04-15 13:15:00+00:00,79,30,49,-0.006690000000000085
27,2022-04-15 13:20:00+00:00,2022-04-22 13:15:00+00:00,55,24,31,0.005060000000001841
28,2022-04-22 13:20:00+00:00,2022-04-29 13:15:00+00:00,70,22,48,-0.01041999999999832
29,2022-04-29 13:20:00+00:00,2022-05-06 13:15:00+00:00,64,25,39,-0.01051999999999853
30,2022-05-06 13:20:00+00:00,2022-05-13 13:15:00+00:00,74,21,52,-0.03160999999999925
31,2022-05-13 13:20:00+00:00,2022-05-20 13:15:00+00:00,78,27,51,-0.024199999999998445
32,2022-05-20 13:20:00+00:00,2022-05-27 13:15:00+00:00,86,30,56,-0.014679999999997806
33,2022-05-27 13:20:00+00:00,2022-06-03 13:15:00+00:00,75,23,52,-0.023929999999998897
34,2022-06-03 13:20:00+00:00,2022-06-10 13:15:00+00:00,72,23,49,-0.015109999999997736
35,2022-06-10 13:20:00+00:00,2022-06-17 13:15:00+00:00,87,30,57,-0.016039999999998278
36,2022-06-17 13:20:00+00:00,2022-06-24 13:15:00+00:00,69,24,42,-0.013559999999998906
37,2022-06-24 13:20:00+00:00,2022-07-01 13:15:00+00:00,78,26,52,-0.013889999999997737
38,2022-07-01 13:20:00+00:00,2022-07-08 13:15:00+00:00,85,34,51,-0.009779999999998568
39,2022-07-08 13:20:00+00:00,2022-07-15 13:15:00+00:00,88,34,54,-0.0030699999999978522
40,2022-07-15 13:20:00+00:00,2022-07-22 13:15:00+00:00,80,33,47,-0.0005099999999982341
41,2022-07-22 13:20:00+00:00,2022-07-29 13:15:00+00:00,93,32,61,-0.02550999999999859
42,2022-07-29 13:20:00+00:00,2022-08-05 13:15:00+00:00,74,24,50,-0.01881999999999895
43,2022-08-05 13:20:00+00:00,2022-08-12 13:15:00+00:00,61,20,41,-0.02102999999999855
44,2022-08-12 13:20:00+00:00,2022-08-19 13:15:00+00:00,61,16,44,-0.024119999999998143
45,2022-08-19 13:20:00+00:00,2022-08-26 13:15:00+00:00,76,26,48,-0.011999999999998234
46,2022-08-26 13:20:00+00:00,2022-09-02 13:15:00+00:00,77,28,49,-0.009529999999998817
47,2022-09-02 13:20:00+00:00,2022-09-02 23:50:00+00:00,11,5,5,-0.0045999999999998264
