Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-09-04 01:35:00+00:00,2017-09-11 01:30:00+00:00,70,60,10,0.06526999999999909
2,2017-09-11 01:35:00+00:00,2017-09-18 01:30:00+00:00,62,54,8,0.052090000000000025
3,2017-09-18 01:35:00+00:00,2017-09-25 01:30:00+00:00,50,47,3,0.05672000000000006
4,2017-09-25 01:35:00+00:00,2017-10-02 01:30:00+00:00,56,49,7,0.04644999999999966
5,2017-10-02 01:35:00+00:00,2017-10-09 01:30:00+00:00,69,46,23,0.03495999999999905
6,2017-10-09 01:35:00+00:00,2017-10-16 01:30:00+00:00,54,43,10,0.034650000000001846
7,2017-10-16 01:35:00+00:00,2017-10-23 01:30:00+00:00,38,31,6,0.03142000000000045
8,2017-10-23 01:35:00+00:00,2017-10-30 01:30:00+00:00,44,34,9,0.04372000000000176
9,2017-10-30 01:35:00+00:00,2017-11-06 01:30:00+00:00,60,45,15,0.03874000000000222
10,2017-11-06 01:35:00+00:00,2017-11-13 01:30:00+00:00,60,43,15,0.026210000000001177
11,2017-11-13 01:35:00+00:00,2017-11-20 01:30:00+00:00,46,37,8,0.043070000000001496
12,2017-11-20 01:35:00+00:00,2017-11-27 01:30:00+00:00,55,44,10,0.04155000000000131
13,2017-11-27 01:35:00+00:00,2017-12-04 01:30:00+00:00,45,38,5,0.05333000000000032
14,2017-12-04 01:35:00+00:00,2017-12-11 01:30:00+00:00,48,35,12,0.024550000000001404
15,2017-12-11 01:35:00+00:00,2017-12-18 01:30:00+00:00,58,46,12,0.03710000000000058
16,2017-12-18 01:35:00+00:00,2017-12-25 01:30:00+00:00,48,38,9,0.03383000000000158
17,2017-12-25 01:35:00+00:00,2018-01-01 01:30:00+00:00,27,22,3,0.020950000000000246
18,2018-01-01 01:35:00+00:00,2018-01-08 01:30:00+00:00,43,34,8,0.030820000000000958
19,2018-01-08 01:35:00+00:00,2018-01-15 01:30:00+00:00,50,44,6,0.05745000000000067
20,2018-01-15 01:35:00+00:00,2018-01-22 01:30:00+00:00,81,75,5,0.0886400000000025
21,2018-01-22 01:35:00+00:00,2018-01-29 01:30:00+00:00,81,71,10,0.10313000000000061
22,2018-01-29 01:35:00+00:00,2018-02-05 01:30:00+00:00,83,73,10,0.08205000000000162
23,2018-02-05 01:35:00+00:00,2018-02-12 01:30:00+00:00,101,89,11,0.08855000000000102
24,2018-02-12 01:35:00+00:00,2018-02-19 01:30:00+00:00,61,58,3,0.08664000000000183
25,2018-02-19 01:35:00+00:00,2018-02-26 01:30:00+00:00,79,67,12,0.05884000000000156
