Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2017-09-04 01:35:00+00:00,1.18817,2017-09-04 02:05:00+00:00,1.18833,-3.9999999999839995e-05
short,2017-09-04 02:10:00+00:00,1.18836,2017-09-04 02:15:00+00:00,1.18828,-0.00011999999999992
buy,2017-09-04 02:20:00+00:00,1.18811,2017-09-04 03:00:00+00:00,1.18832,1.0000000000043476e-05
short,2017-09-04 03:05:00+00:00,1.18843,2017-09-04 03:25:00+00:00,1.18803,0.00020000000000017798
buy,2017-09-04 03:30:00+00:00,1.18809,2017-09-04 04:05:00+00:00,1.18852,0.00022999999999993046
short,2017-09-04 04:10:00+00:00,1.1884,2017-09-04 04:45:00+00:00,1.18864,-0.00044000000000001796
buy,2017-09-04 04:50:00+00:00,1.18845,2017-09-04 11:25:00+00:00,1.19134,0.002690000000000059
short,2017-09-04 11:30:00+00:00,1.19102,2017-09-04 13:15:00+00:00,1.19028,0.0005399999999999628
buy,2017-09-04 13:20:00+00:00,1.19036,2017-09-04 13:25:00+00:00,1.19049,-7.000000000003661e-05
short,2017-09-04 13:30:00+00:00,1.19054,2017-09-04 14:10:00+00:00,1.19029,4.999999999986135e-05
buy,2017-09-04 14:15:00+00:00,1.19039,2017-09-04 14:25:00+00:00,1.19078,0.00018999999999989034
short,2017-09-04 14:30:00+00:00,1.1908,2017-09-04 15:10:00+00:00,1.19042,0.00018000000000004688
buy,2017-09-04 15:15:00+00:00,1.19019,2017-09-04 16:10:00+00:00,1.19061,0.00021999999999986483
buy,2017-09-04 16:15:00+00:00,1.19034,2017-09-04 16:45:00+00:00,1.19045,-8.999999999994559e-05
buy,2017-09-04 16:50:00+00:00,1.19032,2017-09-04 17:00:00+00:00,1.19062,9.999999999996687e-05
buy,2017-09-04 17:05:00+00:00,1.19038,2017-09-04 17:30:00+00:00,1.19065,6.999999999999238e-05
short,2017-09-04 17:35:00+00:00,1.19084,2017-09-04 19:55:00+00:00,1.1889,0.0017399999999998307
short,2017-09-04 20:00:00+00:00,1.19002,2017-09-04 21:15:00+00:00,1.18952,0.0003000000000001673
short,2017-09-04 21:20:00+00:00,1.18966,2017-09-04 21:25:00+00:00,1.18947,-1.0000000000087196e-05
