Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 07:34:00+00:00,1.16098,2021-10-15 11:24:00+00:00,1.16122,-0.00044000000000001796
short,2021-10-15 12:52:00+00:00,1.16039,2021-10-15 13:04:00+00:00,1.16024,-4.999999999990548e-05
short,2021-10-15 21:10:00+00:00,1.15981,2021-10-18 02:46:00+00:00,1.15993,-0.00031999999999989795
short,2021-10-18 07:16:00+00:00,1.15824,2021-10-18 08:30:00+00:00,1.15794,9.999999999996698e-05
short,2021-10-18 10:03:00+00:00,1.15769,2021-10-18 10:39:00+00:00,1.15875,-0.001259999999999839
buy,2021-10-18 12:46:00+00:00,1.15813,2021-10-18 15:05:00+00:00,1.16029,0.0019599999999999397
buy,2021-10-19 12:28:00+00:00,1.16551,2021-10-19 13:35:00+00:00,1.16651,0.0007999999999998899
short,2021-10-19 17:59:00+00:00,1.16458,2021-10-19 18:22:00+00:00,1.16372,0.0006599999999998609
buy,2021-10-20 05:27:00+00:00,1.1636,2021-10-20 10:30:00+00:00,1.16252,-0.00127999999999997
short,2021-10-20 11:04:00+00:00,1.16256,2021-10-20 14:11:00+00:00,1.16357,-0.0012099999999999555
short,2021-10-21 02:08:00+00:00,1.16526,2021-10-21 04:41:00+00:00,1.1663,-0.0012399999999999302
short,2021-10-21 13:15:00+00:00,1.16422,2021-10-21 15:17:00+00:00,1.16359,0.00043000000000013036
buy,2021-10-21 15:57:00+00:00,1.16421,2021-10-21 18:45:00+00:00,1.16418,-0.00022999999999997458
buy,2021-10-22 03:48:00+00:00,1.16255,2021-10-22 10:40:00+00:00,1.16458,0.0018299999999999762
buy,2021-10-25 04:03:00+00:00,1.16456,2021-10-25 08:14:00+00:00,1.1659,0.0011399999999998967
short,2021-10-25 14:14:00+00:00,1.16247,2021-10-25 14:50:00+00:00,1.16046,0.0018099999999998452
buy,2021-10-25 17:04:00+00:00,1.16089,2021-10-25 19:23:00+00:00,1.16105,-4.000000000006212e-05
buy,2021-10-25 23:42:00+00:00,1.16103,2021-10-26 03:22:00+00:00,1.15999,-0.00123999999999993
buy,2021-10-26 09:00:00+00:00,1.16031,2021-10-26 13:56:00+00:00,1.16238,0.0018700000000000162
buy,2021-10-26 16:21:00+00:00,1.1617,2021-10-26 16:33:00+00:00,1.16061,-0.0012900000000000355
buy,2021-10-26 19:17:00+00:00,1.15883,2021-10-27 10:02:00+00:00,1.16093,0.0018999999999999907
short,2021-10-27 12:45:00+00:00,1.15914,2021-10-27 14:16:00+00:00,1.16031,-0.0013699999999998934
short,2021-10-27 16:30:00+00:00,1.1621,2021-10-27 16:54:00+00:00,1.16163,0.00026999999999997035
short,2021-10-27 19:25:00+00:00,1.16023,2021-10-27 20:03:00+00:00,1.16129,-0.001259999999999839
short,2021-10-27 20:43:00+00:00,1.1611,2021-10-28 03:55:00+00:00,1.15905,0.0018500000000001072
buy,2021-10-28 06:47:00+00:00,1.16047,2021-10-28 11:39:00+00:00,1.15938,-0.0012899999999998134
short,2021-10-28 19:27:00+00:00,1.16849,2021-10-29 01:04:00+00:00,1.16815,0.00014000000000000687
short,2021-10-29 08:28:00+00:00,1.16722,2021-10-29 11:37:00+00:00,1.16512,0.0018999999999999902
short,2021-10-29 14:00:00+00:00,1.1653,2021-10-29 15:48:00+00:00,1.16305,0.0020500000000000847
buy,2021-10-29 23:47:00+00:00,1.15572,2021-11-01 07:35:00+00:00,1.15472,-0.0012000000000001124
