Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 17:14:00+00:00,2021-10-21 17:13:00+00:00,12,5,7,-0.0018499999999997282
2,2021-10-21 17:14:00+00:00,2021-10-28 17:13:00+00:00,14,7,7,0.0039500000000002545
3,2021-10-28 17:14:00+00:00,2021-11-04 17:13:00+00:00,15,6,9,-0.00027999999999994566
4,2021-11-04 17:14:00+00:00,2021-11-11 17:13:00+00:00,12,4,8,-0.004630000000000177
5,2021-11-11 17:14:00+00:00,2021-11-18 17:13:00+00:00,12,7,5,0.0068599999999991584
6,2021-11-18 17:14:00+00:00,2021-11-25 17:13:00+00:00,19,7,12,-0.003369999999999849
7,2021-11-25 17:14:00+00:00,2021-12-02 17:13:00+00:00,11,4,7,-0.0017099999999994557
8,2021-12-02 17:14:00+00:00,2021-12-09 17:13:00+00:00,17,4,13,-0.009429999999999543
9,2021-12-09 17:14:00+00:00,2021-12-16 17:13:00+00:00,14,6,8,-0.0005100000000001041
10,2021-12-16 17:14:00+00:00,2021-12-23 17:13:00+00:00,15,7,8,0.0051300000000004085
11,2021-12-23 17:14:00+00:00,2021-12-30 17:13:00+00:00,12,6,6,0.00035000000000069524
12,2021-12-30 17:14:00+00:00,2022-01-06 17:13:00+00:00,14,6,8,-0.0005799999999996728
13,2022-01-06 17:14:00+00:00,2022-01-13 17:13:00+00:00,11,4,7,-0.0024899999999999072
14,2022-01-13 17:14:00+00:00,2022-01-20 17:13:00+00:00,15,7,8,0.001860000000000082
15,2022-01-20 17:14:00+00:00,2022-01-27 17:13:00+00:00,18,10,8,0.006850000000000295
16,2022-01-27 17:14:00+00:00,2022-02-03 17:13:00+00:00,18,5,13,-0.0073699999999998315
17,2022-02-03 17:14:00+00:00,2022-02-10 17:13:00+00:00,20,9,11,-7.00000000002348e-05
18,2022-02-10 17:14:00+00:00,2022-02-17 17:13:00+00:00,18,3,15,-0.016720000000000016
19,2022-02-17 17:14:00+00:00,2022-02-24 17:13:00+00:00,14,8,6,0.002310000000000853
20,2022-02-24 17:14:00+00:00,2022-03-03 17:13:00+00:00,21,8,13,0.00026000000000060003
21,2022-03-03 17:14:00+00:00,2022-03-10 17:13:00+00:00,22,11,11,0.003069999999999882
22,2022-03-10 17:14:00+00:00,2022-03-17 17:13:00+00:00,12,5,7,-0.0016399999999994475
23,2022-03-17 17:14:00+00:00,2022-03-24 17:13:00+00:00,17,6,11,-0.00282000000000018
24,2022-03-24 17:14:00+00:00,2022-03-31 17:13:00+00:00,16,8,8,0.0014399999999993307
25,2022-03-31 17:14:00+00:00,2022-04-07 17:13:00+00:00,17,9,8,0.007649999999999798
26,2022-04-07 17:14:00+00:00,2022-04-14 17:13:00+00:00,16,4,12,-0.007829999999999912
27,2022-04-14 17:14:00+00:00,2022-04-21 17:13:00+00:00,13,11,2,0.01357000000000047
28,2022-04-21 17:14:00+00:00,2022-04-28 17:13:00+00:00,18,9,9,0.004499999999999773
29,2022-04-28 17:14:00+00:00,2022-05-05 17:13:00+00:00,16,8,8,0.003450000000000043
30,2022-05-05 17:14:00+00:00,2022-05-12 17:13:00+00:00,18,5,13,-0.007710000000000505
31,2022-05-12 17:14:00+00:00,2022-05-19 17:13:00+00:00,21,9,12,-0.002150000000000124
32,2022-05-19 17:14:00+00:00,2022-05-26 17:13:00+00:00,22,8,14,-0.005609999999999943
33,2022-05-26 17:14:00+00:00,2022-06-02 17:13:00+00:00,17,6,11,-0.0062199999999998055
34,2022-06-02 17:14:00+00:00,2022-06-09 17:13:00+00:00,17,7,10,0.0006300000000006648
35,2022-06-09 17:14:00+00:00,2022-06-16 17:13:00+00:00,19,9,10,0.004400000000000671
36,2022-06-16 17:14:00+00:00,2022-06-23 17:13:00+00:00,21,8,13,-0.005289999999999344
37,2022-06-23 17:14:00+00:00,2022-06-30 17:13:00+00:00,17,8,9,-0.00395000000000003
38,2022-06-30 17:14:00+00:00,2022-07-07 17:13:00+00:00,17,6,11,-0.0007899999999999782
39,2022-07-07 17:14:00+00:00,2022-07-14 17:13:00+00:00,19,7,12,-0.002819999999999996
40,2022-07-14 17:14:00+00:00,2022-07-21 17:13:00+00:00,22,7,15,-0.005709999999999674
41,2022-07-21 17:14:00+00:00,2022-07-28 17:13:00+00:00,20,8,12,-0.0010900000000004517
42,2022-07-28 17:14:00+00:00,2022-08-04 17:13:00+00:00,20,10,10,0.0018799999999992434
43,2022-08-04 17:14:00+00:00,2022-08-11 17:13:00+00:00,17,6,11,-0.0020600000000007487
44,2022-08-11 17:14:00+00:00,2022-08-18 17:13:00+00:00,19,6,13,-0.005079999999999925
45,2022-08-18 17:14:00+00:00,2022-08-25 17:13:00+00:00,20,9,11,0.0010500000000005782
46,2022-08-25 17:14:00+00:00,2022-09-01 17:13:00+00:00,18,9,9,0.004120000000000082
47,2022-09-01 17:14:00+00:00,2022-09-02 23:55:00+00:00,5,0,5,-0.005150000000000092
