Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-09-04 06:00:00+00:00,1.18851,2017-09-04 09:00:00+00:00,1.18952,-0.0012099999999999555
short,2017-09-05 15:10:00+00:00,1.18902,2017-09-05 15:25:00+00:00,1.19007,-0.0012499999999999955
buy,2017-09-06 00:05:00+00:00,1.19111,2017-09-06 01:30:00+00:00,1.19219,0.0008800000000001918
short,2017-09-07 03:30:00+00:00,1.19273,2017-09-07 09:10:00+00:00,1.1917,0.0008300000000000864
short,2017-09-12 05:10:00+00:00,1.19553,2017-09-12 09:05:00+00:00,1.19677,-0.001439999999999908
buy,2017-09-13 06:45:00+00:00,1.19765,2017-09-13 07:25:00+00:00,1.19885,0.0009999999999998677
buy,2017-09-13 12:00:00+00:00,1.1981,2017-09-13 12:45:00+00:00,1.19696,-0.001339999999999919
short,2017-09-15 07:55:00+00:00,1.19123,2017-09-15 09:30:00+00:00,1.19225,-0.001220000000000021
buy,2017-09-18 06:30:00+00:00,1.19448,2017-09-18 10:15:00+00:00,1.19252,-0.0021599999999999623
short,2017-09-20 01:40:00+00:00,1.19951,2017-09-20 04:35:00+00:00,1.20093,-0.0016199999999999774
buy,2017-09-21 08:25:00+00:00,1.18781,2017-09-21 09:05:00+00:00,1.1889,0.0008900000000000357
buy,2017-09-26 05:50:00+00:00,1.18574,2017-09-26 08:05:00+00:00,1.18474,-0.0012000000000001116
short,2017-09-27 17:15:00+00:00,1.17352,2017-09-27 17:30:00+00:00,1.17245,0.0008699999999999047
buy,2017-09-28 04:00:00+00:00,1.17495,2017-09-28 04:35:00+00:00,1.17382,-0.001329999999999853
buy,2017-09-28 17:55:00+00:00,1.1784,2017-09-29 07:00:00+00:00,1.17829,-0.000309999999999833
short,2017-09-29 12:35:00+00:00,1.17964,2017-09-29 13:25:00+00:00,1.18112,-0.0016799999999999263
buy,2017-10-02 15:00:00+00:00,1.17414,2017-10-02 15:20:00+00:00,1.17562,0.0012800000000001473
short,2017-10-04 08:20:00+00:00,1.17719,2017-10-04 10:00:00+00:00,1.17507,0.0019199999999998992
buy,2017-10-05 07:05:00+00:00,1.17557,2017-10-05 10:00:00+00:00,1.17684,0.0010700000000001039
buy,2017-10-05 13:10:00+00:00,1.17641,2017-10-05 13:45:00+00:00,1.17537,-0.0012399999999999304
buy,2017-10-09 06:30:00+00:00,1.17399,2017-10-09 09:05:00+00:00,1.17292,-0.001270000000000127
buy,2017-10-09 17:05:00+00:00,1.17328,2017-10-09 18:00:00+00:00,1.17362,0.00014000000000000644
buy,2017-10-10 13:50:00+00:00,1.17828,2017-10-10 14:55:00+00:00,1.17962,0.0011399999999998963
buy,2017-10-10 16:20:00+00:00,1.17868,2017-10-10 16:45:00+00:00,1.17996,0.0010799999999999473
buy,2017-10-10 19:35:00+00:00,1.17994,2017-10-10 20:15:00+00:00,1.18109,0.0009499999999999847
short,2017-10-11 14:40:00+00:00,1.18252,2017-10-11 15:30:00+00:00,1.18372,-0.0014000000000000895
short,2017-10-12 18:00:00+00:00,1.18438,2017-10-12 20:30:00+00:00,1.1831,0.0010799999999999473
buy,2017-10-13 18:00:00+00:00,1.18329,2017-10-13 19:20:00+00:00,1.18437,0.0008799999999999702
short,2017-10-16 03:10:00+00:00,1.18158,2017-10-16 04:55:00+00:00,1.1803,0.0010800000000001698
buy,2017-10-16 07:45:00+00:00,1.18078,2017-10-16 08:50:00+00:00,1.17948,-0.001499999999999857
buy,2017-10-17 01:50:00+00:00,1.17937,2017-10-17 04:10:00+00:00,1.17831,-0.0012600000000000614
short,2017-10-17 07:55:00+00:00,1.17775,2017-10-17 09:20:00+00:00,1.17574,0.0018100000000000668
buy,2017-10-17 20:05:00+00:00,1.17498,2017-10-17 20:35:00+00:00,1.17621,0.0010300000000000643
short,2017-10-18 02:15:00+00:00,1.17694,2017-10-18 09:45:00+00:00,1.17569,0.0010500000000001953
short,2017-10-18 13:20:00+00:00,1.17481,2017-10-18 15:20:00+00:00,1.17617,-0.0015600000000000275
buy,2017-10-19 10:45:00+00:00,1.18131,2017-10-19 11:00:00+00:00,1.18018,-0.001330000000000076
short,2017-10-19 22:45:00+00:00,1.18294,2017-10-19 22:55:00+00:00,1.18407,-0.0013299999999998539
short,2017-10-20 13:00:00+00:00,1.18082,2017-10-20 14:50:00+00:00,1.18186,-0.0012399999999999304
short,2017-10-26 16:05:00+00:00,1.17739,2017-10-26 16:10:00+00:00,1.17628,0.0009099999999999447
buy,2017-10-31 06:25:00+00:00,1.16372,2017-10-31 07:50:00+00:00,1.16267,-0.001249999999999995
buy,2017-10-31 10:05:00+00:00,1.16396,2017-10-31 13:00:00+00:00,1.16295,-0.001210000000000178
short,2017-10-31 15:00:00+00:00,1.16354,2017-10-31 18:20:00+00:00,1.16471,-0.0013699999999998939
buy,2017-11-02 18:10:00+00:00,1.16627,2017-11-02 18:15:00+00:00,1.16728,0.0008100000000001769
short,2017-11-03 08:05:00+00:00,1.16622,2017-11-03 10:40:00+00:00,1.16482,0.0012000000000000673
short,2017-11-06 16:55:00+00:00,1.15854,2017-11-06 18:35:00+00:00,1.15967,-0.001330000000000076
short,2017-11-06 23:05:00+00:00,1.16102,2017-11-07 01:15:00+00:00,1.16104,-0.00022000000000013155
buy,2017-11-08 07:50:00+00:00,1.15967,2017-11-08 08:25:00+00:00,1.15858,-0.001290000000000036
buy,2017-11-09 05:55:00+00:00,1.1592,2017-11-09 07:25:00+00:00,1.16025,0.0008499999999999949
short,2017-11-10 07:40:00+00:00,1.16458,2017-11-10 09:30:00+00:00,1.16357,0.0008099999999999549
buy,2017-11-10 13:40:00+00:00,1.16436,2017-11-10 15:00:00+00:00,1.16539,0.0008299999999998638
short,2017-11-14 00:05:00+00:00,1.16667,2017-11-14 09:15:00+00:00,1.16805,-0.0015799999999999374
buy,2017-11-16 04:20:00+00:00,1.17823,2017-11-16 08:05:00+00:00,1.17836,-7.000000000003705e-05
short,2017-11-20 00:30:00+00:00,1.17957,2017-11-20 00:50:00+00:00,1.17854,0.0008300000000000859
short,2017-11-21 06:05:00+00:00,1.17383,2017-11-21 10:15:00+00:00,1.17543,-0.0018000000000000464
short,2017-11-21 16:45:00+00:00,1.17313,2017-11-21 17:10:00+00:00,1.17422,-0.001290000000000036
short,2017-11-22 06:30:00+00:00,1.17417,2017-11-22 08:30:00+00:00,1.17536,-0.001390000000000025
buy,2017-11-22 12:30:00+00:00,1.17528,2017-11-22 14:25:00+00:00,1.17385,-0.0016300000000000411
buy,2017-11-24 01:35:00+00:00,1.18507,2017-11-24 02:50:00+00:00,1.184,-0.0012700000000001252
buy,2017-11-27 14:40:00+00:00,1.19378,2017-11-27 15:10:00+00:00,1.19514,0.001160000000000029
buy,2017-11-28 14:10:00+00:00,1.18832,2017-11-28 15:20:00+00:00,1.18989,0.0013699999999998488
short,2017-11-30 07:50:00+00:00,1.18643,2017-11-30 09:25:00+00:00,1.18756,-0.0013299999999998539
short,2017-11-30 20:35:00+00:00,1.19105,2017-11-30 21:35:00+00:00,1.18976,0.0010900000000000128
