Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 17:15:00+00:00,2021-10-21 17:10:00+00:00,7,5,2,0.004639999999999823
2,2021-10-21 17:15:00+00:00,2021-10-28 17:10:00+00:00,5,2,3,-0.0037199999999998337
3,2021-10-28 17:15:00+00:00,2021-11-04 17:10:00+00:00,3,3,0,0.004590000000000027
4,2021-11-04 17:15:00+00:00,2021-11-11 17:10:00+00:00,2,1,1,-0.0008899999999998805
5,2021-11-11 17:15:00+00:00,2021-11-18 17:10:00+00:00,3,0,3,-0.0026400000000000416
6,2021-11-18 17:15:00+00:00,2021-11-25 17:10:00+00:00,4,2,2,0.00025000000000021706
7,2021-11-25 17:15:00+00:00,2021-12-02 17:10:00+00:00,5,1,4,-0.006210000000000382
8,2021-12-02 17:15:00+00:00,2021-12-09 17:10:00+00:00,4,2,2,-0.0011400000000000073
9,2021-12-09 17:15:00+00:00,2021-12-16 17:10:00+00:00,5,3,2,0.0016499999999998196
10,2021-12-16 17:15:00+00:00,2021-12-23 17:10:00+00:00,4,2,2,-0.0020899999999997912
11,2021-12-23 17:15:00+00:00,2021-12-30 17:10:00+00:00,1,0,1,-0.0018699999999998388
12,2021-12-30 17:15:00+00:00,2022-01-06 17:10:00+00:00,2,1,1,-0.0001100000000000996
13,2022-01-06 17:15:00+00:00,2022-01-13 17:10:00+00:00,5,4,1,0.0023200000000002108
14,2022-01-13 17:15:00+00:00,2022-01-20 17:10:00+00:00,2,1,1,-0.0005700000000002257
15,2022-01-20 17:15:00+00:00,2022-01-27 17:10:00+00:00,3,0,3,-0.005579999999999985
16,2022-01-27 17:15:00+00:00,2022-02-03 17:10:00+00:00,2,2,0,0.0029999999999998465
17,2022-02-03 17:15:00+00:00,2022-02-10 17:10:00+00:00,2,1,1,-0.00041999999999991003
18,2022-02-10 17:15:00+00:00,2022-02-17 17:10:00+00:00,3,2,1,0.0028300000000002646
19,2022-02-17 17:15:00+00:00,2022-02-24 17:10:00+00:00,4,3,1,-0.0004099999999998879
20,2022-02-24 17:15:00+00:00,2022-03-03 17:10:00+00:00,3,1,2,-0.0021600000000000074
21,2022-03-03 17:15:00+00:00,2022-03-10 17:10:00+00:00,5,3,2,0.0004900000000002108
22,2022-03-10 17:15:00+00:00,2022-03-17 17:10:00+00:00,6,4,2,0.0026000000000002445
23,2022-03-17 17:15:00+00:00,2022-03-24 17:10:00+00:00,3,1,2,-0.00243
24,2022-03-24 17:15:00+00:00,2022-03-31 17:10:00+00:00,5,4,1,0.005439999999999778
25,2022-03-31 17:15:00+00:00,2022-04-07 17:10:00+00:00,2,1,1,-0.0006200000000001092
26,2022-04-07 17:15:00+00:00,2022-04-14 17:10:00+00:00,4,1,3,-0.005060000000000375
27,2022-04-14 17:15:00+00:00,2022-04-21 17:10:00+00:00,2,1,1,-0.00024000000000006308
28,2022-04-21 17:15:00+00:00,2022-04-28 17:10:00+00:00,7,2,5,-0.006210000000000207
29,2022-04-28 17:15:00+00:00,2022-05-05 17:10:00+00:00,6,3,3,-0.0005499999999997382
30,2022-05-05 17:15:00+00:00,2022-05-12 17:10:00+00:00,3,2,1,0.0012400000000000622
31,2022-05-12 17:15:00+00:00,2022-05-19 17:10:00+00:00,4,2,2,-0.0011400000000002294
32,2022-05-19 17:15:00+00:00,2022-05-26 17:10:00+00:00,3,1,2,-0.0031500000000002724
33,2022-05-26 17:15:00+00:00,2022-06-02 17:10:00+00:00,3,2,1,-0.00020000000000004042
34,2022-06-02 17:15:00+00:00,2022-06-09 17:10:00+00:00,3,0,3,-0.007239999999999976
35,2022-06-09 17:15:00+00:00,2022-06-16 17:10:00+00:00,2,1,1,-0.00014000000000007062
36,2022-06-16 17:15:00+00:00,2022-06-23 17:10:00+00:00,3,2,1,-0.0009099999999998068
37,2022-06-23 17:15:00+00:00,2022-06-30 17:10:00+00:00,2,1,1,-7.000000000005613e-05
38,2022-06-30 17:15:00+00:00,2022-07-07 17:10:00+00:00,1,1,0,0.0013299999999998105
39,2022-07-07 17:15:00+00:00,2022-07-14 17:10:00+00:00,5,5,0,0.007800000000000147
40,2022-07-14 17:15:00+00:00,2022-07-21 17:10:00+00:00,2,2,0,0.0021599999999998964
41,2022-07-21 17:15:00+00:00,2022-07-28 17:10:00+00:00,6,3,3,-0.0005600000000000275
42,2022-07-28 17:15:00+00:00,2022-08-04 17:10:00+00:00,6,3,3,-0.0016999999999999377
43,2022-08-04 17:15:00+00:00,2022-08-11 17:10:00+00:00,7,4,3,0.0006199999999999088
44,2022-08-11 17:15:00+00:00,2022-08-18 17:10:00+00:00,5,2,3,-0.0030599999999999447
45,2022-08-18 17:15:00+00:00,2022-08-25 17:10:00+00:00,5,4,1,0.0008900000000000644
46,2022-08-25 17:15:00+00:00,2022-09-01 17:10:00+00:00,4,2,2,-0.0009000000000000952
47,2022-09-01 17:15:00+00:00,2022-09-02 23:50:00+00:00,0,0,0,0.0
