Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 03:15:00+00:00,1.15925,2021-10-15 06:00:00+00:00,1.16088,-0.0018300000000000204
short,2021-10-15 06:05:00+00:00,1.16097,2021-10-15 15:30:00+00:00,1.15932,0.0014500000000001513
short,2021-10-15 15:35:00+00:00,1.15947,2021-10-15 17:55:00+00:00,1.16097,-0.001700000000000057
short,2021-10-15 18:00:00+00:00,1.16057,2021-10-18 03:40:00+00:00,1.15873,0.0016400000000000637
short,2021-10-18 03:45:00+00:00,1.15885,2021-10-18 09:50:00+00:00,1.15734,0.0013099999999999002
short,2021-10-18 09:55:00+00:00,1.15752,2021-10-18 11:00:00+00:00,1.1593,-0.001979999999999893
short,2021-10-18 11:05:00+00:00,1.15926,2021-10-18 13:10:00+00:00,1.15776,0.0013000000000000568
short,2021-10-18 13:15:00+00:00,1.15784,2021-10-18 14:45:00+00:00,1.15941,-0.0017700000000000714
short,2021-10-18 14:50:00+00:00,1.1592,2021-10-18 15:25:00+00:00,1.1608,-0.001800000000000046
short,2021-10-18 15:30:00+00:00,1.16034,2021-10-18 19:40:00+00:00,1.16216,-0.002020000000000155
short,2021-10-18 19:45:00+00:00,1.16217,2021-10-19 05:40:00+00:00,1.16386,-0.001889999999999969
short,2021-10-19 05:45:00+00:00,1.16376,2021-10-19 07:25:00+00:00,1.16533,-0.0017700000000000719
short,2021-10-19 07:30:00+00:00,1.16549,2021-10-19 17:40:00+00:00,1.16372,0.0015699999999998267
short,2021-10-19 17:45:00+00:00,1.16336,2021-10-20 07:30:00+00:00,1.1649,-0.0017400000000000974
short,2021-10-20 07:35:00+00:00,1.16488,2021-10-20 10:10:00+00:00,1.16306,0.0016199999999999323
short,2021-10-20 10:15:00+00:00,1.1629,2021-10-20 16:40:00+00:00,1.16452,-0.0018199999999999553
short,2021-10-20 16:45:00+00:00,1.1644,2021-10-21 04:40:00+00:00,1.16615,-0.0019499999999999188
short,2021-10-21 04:45:00+00:00,1.16623,2021-10-21 09:55:00+00:00,1.1646,0.0014300000000000198
short,2021-10-21 10:00:00+00:00,1.1647,2021-10-21 20:05:00+00:00,1.1632,0.0013000000000000563
short,2021-10-21 20:10:00+00:00,1.16353,2021-10-22 18:10:00+00:00,1.16535,-0.0020200000000001554
short,2021-10-22 18:15:00+00:00,1.16439,2021-10-22 19:10:00+00:00,1.1628,0.0013899999999999798
short,2021-10-22 19:15:00+00:00,1.16244,2021-10-22 22:30:00+00:00,1.16397,-0.0017300000000000319
short,2021-10-22 22:35:00+00:00,1.16404,2021-10-25 06:15:00+00:00,1.16573,-0.0018899999999999698
short,2021-10-25 06:20:00+00:00,1.16609,2021-10-25 10:00:00+00:00,1.16446,0.0014300000000000198
short,2021-10-25 10:05:00+00:00,1.16456,2021-10-25 10:45:00+00:00,1.16632,-0.0019599999999999843
short,2021-10-25 10:50:00+00:00,1.16623,2021-10-25 11:45:00+00:00,1.16467,0.0013600000000000053
short,2021-10-25 11:50:00+00:00,1.16489,2021-10-25 12:25:00+00:00,1.16317,0.0015199999999999433
short,2021-10-25 12:30:00+00:00,1.16308,2021-10-25 14:40:00+00:00,1.16131,0.0015699999999998267
short,2021-10-25 14:45:00+00:00,1.16059,2021-10-26 13:50:00+00:00,1.16219,-0.0018000000000000464
short,2021-10-26 13:55:00+00:00,1.16221,2021-10-26 16:35:00+00:00,1.1604,0.0016099999999998667
short,2021-10-26 16:40:00+00:00,1.16081,2021-10-26 18:35:00+00:00,1.15876,0.0018499999999998847
short,2021-10-26 18:40:00+00:00,1.15868,2021-10-27 03:35:00+00:00,1.16023,-0.0017500000000001629
short,2021-10-27 03:40:00+00:00,1.16024,2021-10-27 12:35:00+00:00,1.15861,0.0014300000000000198
short,2021-10-27 12:40:00+00:00,1.15901,2021-10-27 14:35:00+00:00,1.16064,-0.0018299999999997988
short,2021-10-27 14:40:00+00:00,1.1607,2021-10-27 15:40:00+00:00,1.16221,-0.0017099999999999008
short,2021-10-27 15:45:00+00:00,1.16203,2021-10-27 17:55:00+00:00,1.16041,0.0014199999999999543
short,2021-10-27 18:00:00+00:00,1.15973,2021-10-27 20:05:00+00:00,1.16145,-0.0019200000000001664
short,2021-10-27 20:10:00+00:00,1.16123,2021-10-28 03:15:00+00:00,1.15951,0.0015199999999999433
short,2021-10-28 03:20:00+00:00,1.15955,2021-10-28 10:45:00+00:00,1.16118,-0.0018300000000000208
short,2021-10-28 10:50:00+00:00,1.16107,2021-10-28 11:40:00+00:00,1.15927,0.0016000000000000233
short,2021-10-28 11:45:00+00:00,1.15918,2021-10-28 14:05:00+00:00,1.16079,-0.0018099999999998898
short,2021-10-28 14:10:00+00:00,1.16078,2021-10-28 15:10:00+00:00,1.15927,0.0013099999999998998
