Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 03:15:00+00:00,2021-10-22 03:10:00+00:00,19,8,11,-0.008650000000000248
2,2021-10-22 03:15:00+00:00,2021-10-29 03:10:00+00:00,27,12,15,-0.011380000000000771
3,2021-10-29 03:15:00+00:00,2021-11-05 03:10:00+00:00,22,14,8,0.005300000000000265
4,2021-11-05 03:15:00+00:00,2021-11-12 03:10:00+00:00,25,16,9,0.004810000000000553
5,2021-11-12 03:15:00+00:00,2021-11-19 03:10:00+00:00,35,14,21,-0.0024900000000002177
6,2021-11-19 03:15:00+00:00,2021-11-26 03:10:00+00:00,31,13,18,-0.015190000000000254
7,2021-11-26 03:15:00+00:00,2021-12-03 03:10:00+00:00,59,29,30,0.0012200000000014352
8,2021-12-03 03:15:00+00:00,2021-12-10 03:10:00+00:00,43,18,25,-0.009149999999999776
9,2021-12-10 03:15:00+00:00,2021-12-17 03:10:00+00:00,35,17,18,-0.006529999999999321
10,2021-12-17 03:15:00+00:00,2021-12-24 03:10:00+00:00,49,19,30,-0.014139999999999285
11,2021-12-24 03:15:00+00:00,2021-12-31 03:10:00+00:00,31,17,14,-0.005520000000000622
12,2021-12-31 03:15:00+00:00,2022-01-07 03:10:00+00:00,34,13,21,-0.011030000000000782
13,2022-01-07 03:15:00+00:00,2022-01-14 03:10:00+00:00,42,12,30,-0.01988000000000062
14,2022-01-14 03:15:00+00:00,2022-01-21 03:10:00+00:00,42,18,24,-0.0019200000000001993
15,2022-01-21 03:15:00+00:00,2022-01-28 03:10:00+00:00,35,9,26,-0.02452000000000129
16,2022-01-28 03:15:00+00:00,2022-02-04 03:10:00+00:00,35,20,15,0.002390000000000253
17,2022-02-04 03:15:00+00:00,2022-02-11 03:10:00+00:00,48,25,23,-0.003780000000001213
18,2022-02-11 03:15:00+00:00,2022-02-18 03:10:00+00:00,41,20,21,-0.008770000000000194
19,2022-02-18 03:15:00+00:00,2022-02-25 03:10:00+00:00,62,23,39,-0.03257000000000149
20,2022-02-25 03:15:00+00:00,2022-03-04 03:10:00+00:00,66,31,35,-0.035630000000000994
21,2022-03-04 03:15:00+00:00,2022-03-11 03:10:00+00:00,88,44,44,-0.0110899999999996
22,2022-03-11 03:15:00+00:00,2022-03-18 03:10:00+00:00,58,31,27,-0.0006000000000002115
23,2022-03-18 03:15:00+00:00,2022-03-25 03:10:00+00:00,37,15,22,-0.018269999999999703
24,2022-03-25 03:15:00+00:00,2022-04-01 03:10:00+00:00,52,27,25,-0.0011699999999993382
25,2022-04-01 03:15:00+00:00,2022-04-08 03:10:00+00:00,39,14,25,-0.02600000000000044
26,2022-04-08 03:15:00+00:00,2022-04-15 03:10:00+00:00,48,23,25,-0.015079999999999205
27,2022-04-15 03:15:00+00:00,2022-04-22 03:10:00+00:00,27,13,14,-0.005899999999998462
28,2022-04-22 03:15:00+00:00,2022-04-29 03:10:00+00:00,61,20,41,-0.050639999999997576
29,2022-04-29 03:15:00+00:00,2022-05-06 03:10:00+00:00,63,30,33,-0.015319999999998002
30,2022-05-06 03:15:00+00:00,2022-05-13 03:10:00+00:00,56,25,31,-0.01952999999999938
31,2022-05-13 03:15:00+00:00,2022-05-20 03:10:00+00:00,42,26,16,0.013360000000001815
32,2022-05-20 03:15:00+00:00,2022-05-27 03:10:00+00:00,45,24,21,-3.9999999999595914e-05
33,2022-05-27 03:15:00+00:00,2022-06-03 03:10:00+00:00,45,24,21,-0.005009999999999959
34,2022-06-03 03:15:00+00:00,2022-06-10 03:10:00+00:00,42,18,24,-0.017379999999997953
35,2022-06-10 03:15:00+00:00,2022-06-17 03:10:00+00:00,83,38,45,-0.028599999999998182
36,2022-06-17 03:15:00+00:00,2022-06-24 03:10:00+00:00,58,29,29,-0.014599999999998392
37,2022-06-24 03:15:00+00:00,2022-07-01 03:10:00+00:00,53,26,27,-0.011569999999998748
38,2022-07-01 03:15:00+00:00,2022-07-08 03:10:00+00:00,56,22,34,-0.035149999999998904
39,2022-07-08 03:15:00+00:00,2022-07-15 03:10:00+00:00,77,35,42,-0.02737999999999896
40,2022-07-15 03:15:00+00:00,2022-07-22 03:10:00+00:00,68,40,28,0.008030000000001314
41,2022-07-22 03:15:00+00:00,2022-07-29 03:10:00+00:00,77,40,37,-0.012029999999997598
42,2022-07-29 03:15:00+00:00,2022-08-05 03:10:00+00:00,54,28,26,-0.005349999999998412
43,2022-08-05 03:15:00+00:00,2022-08-12 03:10:00+00:00,40,21,19,-0.004419999999998536
44,2022-08-12 03:15:00+00:00,2022-08-19 03:10:00+00:00,41,13,28,-0.03328999999999804
45,2022-08-19 03:15:00+00:00,2022-08-26 03:10:00+00:00,45,19,26,-0.021839999999998527
46,2022-08-26 03:15:00+00:00,2022-09-02 03:10:00+00:00,68,31,37,-0.02092999999999856
47,2022-09-02 03:15:00+00:00,2022-09-02 23:50:00+00:00,12,6,6,-0.0023399999999996757
