Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 19:13:00+00:00,2021-10-21 19:12:00+00:00,22,9,13,-0.010569999999999571
2,2021-10-21 19:13:00+00:00,2021-10-28 19:12:00+00:00,30,14,16,-0.00887000000000016
3,2021-10-28 19:13:00+00:00,2021-11-04 19:12:00+00:00,31,20,11,0.007659999999999976
4,2021-11-04 19:13:00+00:00,2021-11-11 19:12:00+00:00,36,20,16,-0.0003699999999998791
5,2021-11-11 19:13:00+00:00,2021-11-18 19:12:00+00:00,36,20,16,0.0018499999999993244
6,2021-11-18 19:13:00+00:00,2021-11-25 19:12:00+00:00,38,23,15,0.006129999999999344
7,2021-11-25 19:13:00+00:00,2021-12-02 19:12:00+00:00,55,24,31,-0.023709999999999523
8,2021-12-02 19:13:00+00:00,2021-12-09 19:12:00+00:00,37,20,17,-0.004289999999999565
9,2021-12-09 19:13:00+00:00,2021-12-16 19:12:00+00:00,40,20,20,-0.008980000000000599
10,2021-12-16 19:13:00+00:00,2021-12-23 19:12:00+00:00,38,19,19,-0.007079999999999434
11,2021-12-23 19:13:00+00:00,2021-12-30 19:12:00+00:00,25,12,13,-0.00642999999999979
12,2021-12-30 19:13:00+00:00,2022-01-06 19:12:00+00:00,27,14,13,-0.00226999999999989
13,2022-01-06 19:13:00+00:00,2022-01-13 19:12:00+00:00,35,12,23,-0.02489000000000078
14,2022-01-13 19:13:00+00:00,2022-01-20 19:12:00+00:00,20,14,6,0.008290000000000908
15,2022-01-20 19:13:00+00:00,2022-01-27 19:12:00+00:00,35,23,12,0.011129999999998703
16,2022-01-27 19:13:00+00:00,2022-02-03 19:12:00+00:00,52,19,33,-0.036200000000000516
17,2022-02-03 19:13:00+00:00,2022-02-10 19:12:00+00:00,54,25,29,-0.014200000000001045
18,2022-02-10 19:13:00+00:00,2022-02-17 19:12:00+00:00,49,27,22,0.0001399999999997792
19,2022-02-17 19:13:00+00:00,2022-02-24 19:12:00+00:00,56,35,21,0.011939999999999618
20,2022-02-24 19:13:00+00:00,2022-03-03 19:12:00+00:00,107,48,59,-0.01435000000000039
21,2022-03-03 19:13:00+00:00,2022-03-10 19:12:00+00:00,167,62,105,-0.03953999999999987
22,2022-03-10 19:13:00+00:00,2022-03-17 19:12:00+00:00,86,40,46,-0.016030000000000155
23,2022-03-17 19:13:00+00:00,2022-03-24 19:12:00+00:00,47,23,24,-0.011740000000000722
24,2022-03-24 19:13:00+00:00,2022-03-31 19:12:00+00:00,69,35,34,-0.01125999999999952
25,2022-03-31 19:13:00+00:00,2022-04-07 19:12:00+00:00,84,22,62,-0.030110000000001524
26,2022-04-07 19:13:00+00:00,2022-04-14 19:12:00+00:00,60,26,33,-0.019949999999999773
27,2022-04-14 19:13:00+00:00,2022-04-21 19:12:00+00:00,37,18,19,-0.0080600000000009
28,2022-04-21 19:13:00+00:00,2022-04-28 19:12:00+00:00,70,23,47,-0.05363999999999858
29,2022-04-28 19:13:00+00:00,2022-05-05 19:12:00+00:00,78,38,40,-0.016039999999998278
30,2022-05-05 19:13:00+00:00,2022-05-12 19:12:00+00:00,93,43,50,-0.030079999999996776
31,2022-05-12 19:13:00+00:00,2022-05-19 19:12:00+00:00,62,37,25,0.009090000000001597
32,2022-05-19 19:13:00+00:00,2022-05-26 19:12:00+00:00,60,32,28,-0.0019499999999992301
33,2022-05-26 19:13:00+00:00,2022-06-02 19:12:00+00:00,52,27,25,-0.008739999999999526
34,2022-06-02 19:13:00+00:00,2022-06-09 19:12:00+00:00,50,24,26,-0.012849999999998252
35,2022-06-09 19:13:00+00:00,2022-06-16 19:12:00+00:00,108,50,58,-0.03370999999999702
36,2022-06-16 19:13:00+00:00,2022-06-23 19:12:00+00:00,83,40,43,-0.02033999999999847
37,2022-06-23 19:13:00+00:00,2022-06-30 19:12:00+00:00,51,24,27,-0.014769999999998173
38,2022-06-30 19:13:00+00:00,2022-07-07 19:12:00+00:00,61,22,39,-0.04045999999999994
39,2022-07-07 19:13:00+00:00,2022-07-14 19:12:00+00:00,101,47,54,-0.03178999999999743
40,2022-07-14 19:13:00+00:00,2022-07-21 19:12:00+00:00,104,57,47,-0.0026799999999981283
41,2022-07-21 19:13:00+00:00,2022-07-28 19:12:00+00:00,103,49,54,-0.029109999999997527
42,2022-07-28 19:13:00+00:00,2022-08-04 19:12:00+00:00,76,40,36,-0.009030000000000094
43,2022-08-04 19:13:00+00:00,2022-08-11 19:12:00+00:00,56,30,26,-0.0017099999999978799
44,2022-08-11 19:13:00+00:00,2022-08-18 19:12:00+00:00,48,17,31,-0.031069999999999265
45,2022-08-18 19:13:00+00:00,2022-08-25 19:12:00+00:00,51,19,32,-0.029989999999999406
46,2022-08-25 19:13:00+00:00,2022-09-01 19:12:00+00:00,84,41,43,-0.020069999999997812
47,2022-09-01 19:13:00+00:00,2022-09-02 23:55:00+00:00,21,11,10,-0.002049999999999552
