Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-14 20:03:00+00:00,1.15862,2021-10-14 20:49:00+00:00,1.15899,-0.0005699999999999814
buy,2021-10-14 20:50:00+00:00,1.15918,2021-10-15 01:32:00+00:00,1.15972,0.00033999999999998495
short,2021-10-15 01:33:00+00:00,1.15967,2021-10-15 03:12:00+00:00,1.15922,0.0002500000000000615
buy,2021-10-15 03:13:00+00:00,1.15926,2021-10-15 03:19:00+00:00,1.15913,-0.00032999999999996346
short,2021-10-15 03:20:00+00:00,1.15902,2021-10-15 03:41:00+00:00,1.15907,-0.0002500000000001055
buy,2021-10-15 03:44:00+00:00,1.15912,2021-10-15 05:42:00+00:00,1.16068,0.0013600000000000057
buy,2021-10-15 05:57:00+00:00,1.16076,2021-10-15 07:57:00+00:00,1.16081,-0.0001500000000001165
short,2021-10-15 08:01:00+00:00,1.16079,2021-10-15 08:12:00+00:00,1.16082,-0.00022999999999997447
buy,2021-10-15 08:13:00+00:00,1.1608,2021-10-15 08:19:00+00:00,1.16081,-0.00019000000000015654
short,2021-10-15 08:20:00+00:00,1.16072,2021-10-15 08:47:00+00:00,1.1607,-0.00018000000000009103
buy,2021-10-15 08:48:00+00:00,1.16081,2021-10-15 08:52:00+00:00,1.16066,-0.00034999999999987244
short,2021-10-15 08:53:00+00:00,1.16064,2021-10-15 09:13:00+00:00,1.16053,-9.000000000016758e-05
buy,2021-10-15 09:14:00+00:00,1.16073,2021-10-15 09:32:00+00:00,1.16081,-0.00012000000000014202
short,2021-10-15 09:37:00+00:00,1.16069,2021-10-15 09:42:00+00:00,1.1609,-0.00041000000000004347
buy,2021-10-15 09:47:00+00:00,1.16099,2021-10-15 10:43:00+00:00,1.16083,-0.00035999999999993806
short,2021-10-15 10:44:00+00:00,1.16083,2021-10-15 11:04:00+00:00,1.16124,-0.0006100000000000215
buy,2021-10-15 11:05:00+00:00,1.16137,2021-10-15 11:23:00+00:00,1.16123,-0.0003400000000000291
short,2021-10-15 11:35:00+00:00,1.16087,2021-10-15 13:11:00+00:00,1.1606,6.999999999999238e-05
buy,2021-10-15 13:12:00+00:00,1.1608,2021-10-15 14:29:00+00:00,1.16036,-0.000639999999999996
short,2021-10-15 14:41:00+00:00,1.16048,2021-10-15 15:44:00+00:00,1.16008,0.00019999999999995586
short,2021-10-15 15:54:00+00:00,1.15941,2021-10-15 16:11:00+00:00,1.15942,-0.00020999999999984356
buy,2021-10-15 16:13:00+00:00,1.15975,2021-10-15 16:58:00+00:00,1.15948,-0.00046999999999999256
short,2021-10-15 16:59:00+00:00,1.15939,2021-10-15 17:34:00+00:00,1.15938,-0.00019000000000015662
buy,2021-10-15 17:35:00+00:00,1.1596,2021-10-15 18:41:00+00:00,1.15964,-0.0001599999999999601
short,2021-10-15 18:52:00+00:00,1.15947,2021-10-15 19:46:00+00:00,1.15946,-0.00018999999999993458
buy,2021-10-15 19:47:00+00:00,1.15959,2021-10-15 21:33:00+00:00,1.15946,-0.00032999999999996314
short,2021-10-15 21:34:00+00:00,1.15942,2021-10-15 21:40:00+00:00,1.15984,-0.0006200000000000866
buy,2021-10-15 21:41:00+00:00,1.15978,2021-10-15 23:43:00+00:00,1.15997,-1.0000000000087196e-05
short,2021-10-15 23:44:00+00:00,1.15989,2021-10-18 00:30:00+00:00,1.16044,-0.0007499999999998281
short,2021-10-18 00:40:00+00:00,1.15978,2021-10-18 01:01:00+00:00,1.16029,-0.0007100000000000101
buy,2021-10-18 01:02:00+00:00,1.16034,2021-10-18 02:57:00+00:00,1.15992,-0.0006199999999998646
short,2021-10-18 02:58:00+00:00,1.15966,2021-10-18 04:05:00+00:00,1.1588,0.0006599999999998612
buy,2021-10-18 04:06:00+00:00,1.15883,2021-10-18 06:04:00+00:00,1.15895,-8.000000000010169e-05
short,2021-10-18 06:22:00+00:00,1.15875,2021-10-18 08:16:00+00:00,1.15806,0.0004899999999998577
buy,2021-10-18 08:17:00+00:00,1.15811,2021-10-18 08:51:00+00:00,1.15802,-0.00028999999999992313
short,2021-10-18 08:52:00+00:00,1.15793,2021-10-18 09:51:00+00:00,1.15745,0.00027999999999981425
buy,2021-10-18 09:56:00+00:00,1.15754,2021-10-18 10:56:00+00:00,1.15912,0.0013799999999999151
buy,2021-10-18 10:57:00+00:00,1.15919,2021-10-18 11:40:00+00:00,1.15831,-0.0010799999999999924
