Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 20:03:00+00:00,2021-10-21 20:02:00+00:00,115,29,86,-0.009810000000000854
2,2021-10-21 20:03:00+00:00,2021-10-28 20:02:00+00:00,129,44,85,0.003879999999999665
3,2021-10-28 20:03:00+00:00,2021-11-04 20:02:00+00:00,133,37,96,-0.011170000000000619
4,2021-11-04 20:03:00+00:00,2021-11-11 20:02:00+00:00,142,39,103,-0.013599999999999904
5,2021-11-11 20:03:00+00:00,2021-11-18 20:02:00+00:00,135,41,94,-0.007189999999999953
6,2021-11-18 20:03:00+00:00,2021-11-25 20:02:00+00:00,131,34,97,-0.02096999999999955
7,2021-11-25 20:03:00+00:00,2021-12-02 20:02:00+00:00,126,50,76,0.011300000000000247
8,2021-12-02 20:03:00+00:00,2021-12-09 20:02:00+00:00,133,35,98,-0.0041599999999996015
9,2021-12-09 20:03:00+00:00,2021-12-16 20:02:00+00:00,150,45,105,-0.009379999999999791
10,2021-12-16 20:03:00+00:00,2021-12-23 20:02:00+00:00,115,41,74,0.01013999999999942
11,2021-12-23 20:03:00+00:00,2021-12-30 20:02:00+00:00,102,38,64,-0.006819999999999285
12,2021-12-30 20:03:00+00:00,2022-01-06 20:02:00+00:00,128,43,85,-0.005879999999998643
13,2022-01-06 20:03:00+00:00,2022-01-13 20:02:00+00:00,131,38,93,-0.008290000000001768
14,2022-01-13 20:03:00+00:00,2022-01-20 20:02:00+00:00,152,35,117,-0.020500000000002405
15,2022-01-20 20:03:00+00:00,2022-01-27 20:02:00+00:00,167,38,129,-0.02780000000000113
16,2022-01-27 20:03:00+00:00,2022-02-03 20:02:00+00:00,134,43,91,-0.0011600000000006466
17,2022-02-03 20:03:00+00:00,2022-02-10 20:02:00+00:00,159,45,114,-0.01744999999999927
18,2022-02-10 20:03:00+00:00,2022-02-17 20:02:00+00:00,135,35,100,-0.018450000000001826
19,2022-02-17 20:03:00+00:00,2022-02-24 20:02:00+00:00,148,45,103,-0.014220000000000899
20,2022-02-24 20:03:00+00:00,2022-03-03 20:02:00+00:00,161,63,98,0.004200000000000176
21,2022-03-03 20:03:00+00:00,2022-03-10 20:02:00+00:00,169,74,95,0.016409999999999564
22,2022-03-10 20:03:00+00:00,2022-03-17 20:02:00+00:00,163,66,97,0.0026200000000015378
23,2022-03-17 20:03:00+00:00,2022-03-24 20:02:00+00:00,145,47,98,-0.006490000000000579
24,2022-03-24 20:03:00+00:00,2022-03-31 20:02:00+00:00,159,50,109,-0.009379999999999694
25,2022-03-31 20:03:00+00:00,2022-04-07 20:02:00+00:00,148,48,99,-0.0025199999999990508
26,2022-04-07 20:03:00+00:00,2022-04-14 20:02:00+00:00,143,57,85,0.01319999999999949
27,2022-04-14 20:03:00+00:00,2022-04-21 20:02:00+00:00,153,41,112,-0.018419999999999687
28,2022-04-21 20:03:00+00:00,2022-04-28 20:02:00+00:00,172,59,113,-0.004659999999999331
29,2022-04-28 20:03:00+00:00,2022-05-05 20:02:00+00:00,163,56,107,-0.01692000000000146
30,2022-05-05 20:03:00+00:00,2022-05-12 20:02:00+00:00,168,64,103,-0.0027500000000008906
31,2022-05-12 20:03:00+00:00,2022-05-19 20:02:00+00:00,136,47,89,-0.0025100000000006784
32,2022-05-19 20:03:00+00:00,2022-05-26 20:02:00+00:00,134,51,83,0.0017299999999976223
33,2022-05-26 20:03:00+00:00,2022-06-02 20:02:00+00:00,141,44,97,-0.00827000000000147
34,2022-06-02 20:03:00+00:00,2022-06-09 20:02:00+00:00,149,55,94,0.0016200000000015924
35,2022-06-09 20:03:00+00:00,2022-06-16 20:02:00+00:00,169,69,100,0.02040999999999779
36,2022-06-16 20:03:00+00:00,2022-06-23 20:02:00+00:00,153,54,99,-0.007110000000001532
37,2022-06-23 20:03:00+00:00,2022-06-30 20:02:00+00:00,156,48,108,-0.02011000000000107
38,2022-06-30 20:03:00+00:00,2022-07-07 20:02:00+00:00,156,48,108,-0.008860000000000423
39,2022-07-07 20:03:00+00:00,2022-07-14 20:02:00+00:00,166,57,109,-0.008669999999999234
40,2022-07-14 20:03:00+00:00,2022-07-21 20:02:00+00:00,168,69,99,0.0035199999999984133
41,2022-07-21 20:03:00+00:00,2022-07-28 20:02:00+00:00,159,63,96,-0.003040000000000126
42,2022-07-28 20:03:00+00:00,2022-08-04 20:02:00+00:00,154,60,94,0.006279999999998898
43,2022-08-04 20:03:00+00:00,2022-08-11 20:02:00+00:00,143,44,99,-0.01519000000000112
44,2022-08-11 20:03:00+00:00,2022-08-18 20:02:00+00:00,159,52,107,-0.01722000000000104
45,2022-08-18 20:03:00+00:00,2022-08-25 20:02:00+00:00,154,53,101,-0.012879999999997005
46,2022-08-25 20:03:00+00:00,2022-09-01 20:02:00+00:00,159,68,90,0.013810000000002043
47,2022-09-01 20:03:00+00:00,2022-09-02 23:55:00+00:00,32,13,19,-0.002439999999999165
