Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 14:25:00+00:00,1.16071,2021-10-15 16:25:00+00:00,1.15989,0.0006199999999998209
short,2021-10-15 17:05:00+00:00,1.15942,2021-10-15 17:45:00+00:00,1.16008,-0.0008600000000001049
short,2021-10-15 18:35:00+00:00,1.15971,2021-10-15 19:55:00+00:00,1.15956,-4.999999999990548e-05
buy,2021-10-15 20:05:00+00:00,1.15951,2021-10-18 00:00:00+00:00,1.15909,-0.000620000000000087
buy,2021-10-18 01:00:00+00:00,1.1603,2021-10-18 03:40:00+00:00,1.15873,-0.0017700000000000714
buy,2021-10-18 04:40:00+00:00,1.15884,2021-10-18 06:00:00+00:00,1.15909,4.999999999986135e-05
short,2021-10-18 07:20:00+00:00,1.15815,2021-10-18 10:10:00+00:00,1.15795,-2.211772431870429e-17
buy,2021-10-18 10:30:00+00:00,1.15796,2021-10-18 11:35:00+00:00,1.15861,0.0004499999999998173
short,2021-10-18 12:25:00+00:00,1.15829,2021-10-18 13:30:00+00:00,1.15838,-0.00028999999999992357
short,2021-10-19 16:00:00+00:00,1.16459,2021-10-19 16:45:00+00:00,1.16459,-0.0002000000000000001
short,2021-10-19 17:35:00+00:00,1.16449,2021-10-19 19:45:00+00:00,1.16339,0.0009000000000001008
buy,2021-10-19 20:10:00+00:00,1.16359,2021-10-19 23:00:00+00:00,1.1636,-0.00018999999999993458
short,2021-10-19 23:25:00+00:00,1.1634,2021-10-20 00:45:00+00:00,1.16337,-0.0001700000000000256
buy,2021-10-20 03:55:00+00:00,1.16337,2021-10-20 05:10:00+00:00,1.16415,0.0005800000000000028
buy,2021-10-20 06:10:00+00:00,1.16402,2021-10-20 10:05:00+00:00,1.16372,-0.000499999999999967
buy,2021-10-20 11:30:00+00:00,1.16291,2021-10-20 12:25:00+00:00,1.16261,-0.0005000000000001891
short,2021-10-20 14:45:00+00:00,1.16299,2021-10-20 15:30:00+00:00,1.16323,-0.00044000000000001807
buy,2021-10-20 16:35:00+00:00,1.16395,2021-10-20 19:40:00+00:00,1.16547,0.0013199999999999657
short,2021-10-21 08:25:00+00:00,1.16511,2021-10-21 09:05:00+00:00,1.16531,-0.00039999999999997806
short,2021-10-21 09:50:00+00:00,1.16518,2021-10-21 11:10:00+00:00,1.16351,0.0014700000000000602
short,2021-10-21 11:20:00+00:00,1.1637,2021-10-21 11:55:00+00:00,1.16416,-0.0006600000000001271
buy,2021-10-21 17:05:00+00:00,1.16455,2021-10-21 17:25:00+00:00,1.16427,-0.00048000000000005807
buy,2021-10-21 17:50:00+00:00,1.16472,2021-10-21 19:05:00+00:00,1.16406,-0.000859999999999883
short,2021-10-21 20:00:00+00:00,1.16359,2021-10-21 20:25:00+00:00,1.16375,-0.0003600000000001601
short,2021-10-21 20:45:00+00:00,1.16328,2021-10-22 06:25:00+00:00,1.16283,0.00025000000000006137
buy,2021-10-22 11:15:00+00:00,1.16435,2021-10-22 15:20:00+00:00,1.16253,-0.0020199999999999324
buy,2021-10-22 15:55:00+00:00,1.16341,2021-10-22 17:30:00+00:00,1.165,0.0013899999999999802
short,2021-10-22 17:40:00+00:00,1.16454,2021-10-22 18:00:00+00:00,1.16457,-0.00023000000000019663
short,2021-10-22 18:15:00+00:00,1.16439,2021-10-22 19:10:00+00:00,1.1628,0.0013899999999999802
