Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,25,8,17,-0.0027100000000007647
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,28,14,14,0.00747000000000036
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,21,13,8,0.011889999999999491
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,32,16,16,0.015560000000000459
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,27,8,19,-0.0034599999999999145
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,27,16,11,0.01311999999999968
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,20,7,13,-0.003180000000000821
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,29,17,12,0.009589999999999162
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,27,8,19,-1.1796119636642288e-16
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,23,15,8,0.009280000000000364
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,23,10,13,0.0012100000000005648
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,27,13,14,0.005169999999999897
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,25,13,12,0.010119999999998991
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,26,16,10,0.011699999999999766
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,25,16,9,0.01561999999999994
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,22,8,14,0.0020999999999998242
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,30,19,11,0.020329999999999793
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,22,9,13,0.007150000000000045
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,32,18,14,0.013660000000001116
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,34,20,14,0.014409999999999756
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,28,20,8,0.03312000000000015
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,26,17,9,0.018740000000000145
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,30,21,9,0.02146999999999971
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,32,21,11,0.014100000000000223
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,30,16,14,0.013459999999999889
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,33,17,16,0.008760000000000767
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,24,18,6,0.01153000000000115
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,39,26,13,0.021169999999999467
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,31,14,17,0.010410000000000474
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,39,23,16,0.022210000000001173
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,27,13,14,0.0033000000000007468
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,20,14,6,0.013430000000000941
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,19,10,9,0.009650000000000825
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,39,20,19,0.010370000000000879
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,36,26,10,0.027100000000000124
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,28,17,11,0.014540000000000886
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,35,20,14,0.02050000000000063
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,36,26,10,0.02897000000000105
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,34,23,11,0.033460000000001155
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,23,12,10,0.007530000000000259
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,32,25,7,0.035730000000000706
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,27,15,12,0.011989999999999945
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,25,12,13,0.007100000000000994
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,40,26,14,0.018900000000000583
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,34,19,15,0.007050000000000667
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,32,18,14,0.014880000000000893
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,2,1,1,-0.0014099999999999113
