Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 19:25:00+00:00,1.15919,2021-10-15 19:55:00+00:00,1.15956,-0.0005699999999999814
buy,2021-10-15 20:05:00+00:00,1.15951,2021-10-15 21:25:00+00:00,1.15964,-7.00000000000365e-05
buy,2021-10-15 21:45:00+00:00,1.15987,2021-10-15 23:25:00+00:00,1.1603,0.0002300000000001525
buy,2021-10-18 10:30:00+00:00,1.15796,2021-10-18 12:25:00+00:00,1.15829,0.00012999999999994147
short,2021-10-18 13:05:00+00:00,1.15799,2021-10-18 13:30:00+00:00,1.15838,-0.0005899999999998904
buy,2021-10-18 16:25:00+00:00,1.16078,2021-10-19 04:00:00+00:00,1.16253,0.0015500000000001402
buy,2021-10-19 05:35:00+00:00,1.16348,2021-10-19 07:15:00+00:00,1.16509,0.0014099999999998892
short,2021-10-19 08:00:00+00:00,1.16456,2021-10-19 08:45:00+00:00,1.1653,-0.000939999999999963
buy,2021-10-19 09:30:00+00:00,1.16541,2021-10-19 09:45:00+00:00,1.16542,-0.00019000000000015652
buy,2021-10-19 11:50:00+00:00,1.16547,2021-10-19 13:40:00+00:00,1.16613,0.00046000000000010496
short,2021-10-19 13:55:00+00:00,1.16598,2021-10-19 16:15:00+00:00,1.16444,0.0013400000000000965
buy,2021-10-19 16:45:00+00:00,1.16459,2021-10-19 17:35:00+00:00,1.16449,-0.0002999999999999891
short,2021-10-19 18:40:00+00:00,1.16337,2021-10-19 19:45:00+00:00,1.16339,-0.00021999999999990907
buy,2021-10-19 20:10:00+00:00,1.16359,2021-10-19 21:50:00+00:00,1.16405,0.0002600000000001269
short,2021-10-19 23:00:00+00:00,1.1636,2021-10-20 08:05:00+00:00,1.16512,-0.001719999999999966
buy,2021-10-20 11:30:00+00:00,1.16291,2021-10-20 12:25:00+00:00,1.16261,-0.000500000000000189
short,2021-10-20 13:10:00+00:00,1.16241,2021-10-20 15:30:00+00:00,1.16323,-0.001020000000000043
buy,2021-10-20 16:35:00+00:00,1.16395,2021-10-20 19:40:00+00:00,1.16547,0.0013199999999999657
buy,2021-10-21 06:00:00+00:00,1.16637,2021-10-21 06:35:00+00:00,1.16636,-0.00020999999999984345
short,2021-10-21 07:05:00+00:00,1.16626,2021-10-21 09:05:00+00:00,1.16531,0.0007500000000000065
short,2021-10-21 09:50:00+00:00,1.16518,2021-10-21 11:10:00+00:00,1.16351,0.0014700000000000602
short,2021-10-21 11:20:00+00:00,1.1637,2021-10-21 11:55:00+00:00,1.16416,-0.0006600000000001271
buy,2021-10-21 14:05:00+00:00,1.16419,2021-10-21 15:00:00+00:00,1.16421,-0.0001800000000000911
buy,2021-10-21 17:05:00+00:00,1.16455,2021-10-21 17:25:00+00:00,1.16427,-0.00048000000000005807
