Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 18:40:00+00:00,2021-10-22 18:35:00+00:00,27,11,16,0.0007100000000000583
2,2021-10-22 18:40:00+00:00,2021-10-29 18:35:00+00:00,33,19,14,0.015610000000000058
3,2021-10-29 18:40:00+00:00,2021-11-05 18:35:00+00:00,28,14,14,0.005670000000000147
4,2021-11-05 18:40:00+00:00,2021-11-12 18:35:00+00:00,25,9,16,0.002049999999999809
5,2021-11-12 18:40:00+00:00,2021-11-19 18:35:00+00:00,25,9,16,0.003970000000000397
6,2021-11-19 18:40:00+00:00,2021-11-26 18:35:00+00:00,23,10,13,0.004250000000000271
7,2021-11-26 18:40:00+00:00,2021-12-03 18:35:00+00:00,35,18,17,0.0028699999999994216
8,2021-12-03 18:40:00+00:00,2021-12-10 18:35:00+00:00,32,14,18,0.0020500000000005514
9,2021-12-10 18:40:00+00:00,2021-12-17 18:35:00+00:00,30,16,14,0.011430000000000537
10,2021-12-17 18:40:00+00:00,2021-12-24 18:35:00+00:00,22,13,9,0.0059600000000003955
11,2021-12-24 18:40:00+00:00,2021-12-31 18:35:00+00:00,25,12,13,0.004680000000000163
12,2021-12-31 18:40:00+00:00,2022-01-07 18:35:00+00:00,29,16,13,0.007209999999999654
13,2022-01-07 18:40:00+00:00,2022-01-14 18:35:00+00:00,35,14,21,0.009770000000000195
14,2022-01-14 18:40:00+00:00,2022-01-21 18:35:00+00:00,22,5,17,-0.006080000000000252
15,2022-01-21 18:40:00+00:00,2022-01-28 18:35:00+00:00,21,9,12,0.0032099999999995743
16,2022-01-28 18:40:00+00:00,2022-02-04 18:35:00+00:00,42,21,21,0.020660000000000067
17,2022-02-04 18:40:00+00:00,2022-02-11 18:35:00+00:00,32,20,12,0.025800000000000045
18,2022-02-11 18:40:00+00:00,2022-02-18 18:35:00+00:00,33,16,17,0.009559999999999763
19,2022-02-18 18:40:00+00:00,2022-02-25 18:35:00+00:00,23,10,13,0.004710000000000242
20,2022-02-25 18:40:00+00:00,2022-03-04 18:35:00+00:00,33,17,16,0.01175999999999952
21,2022-03-04 18:40:00+00:00,2022-03-11 18:35:00+00:00,35,25,10,0.035249999999999254
22,2022-03-11 18:40:00+00:00,2022-03-18 18:35:00+00:00,34,30,4,0.0395999999999998
23,2022-03-18 18:40:00+00:00,2022-03-25 18:35:00+00:00,25,13,12,0.008620000000000044
24,2022-03-25 18:40:00+00:00,2022-04-01 18:35:00+00:00,37,20,17,0.010679999999999884
25,2022-04-01 18:40:00+00:00,2022-04-08 18:35:00+00:00,28,16,12,0.015399999999999747
26,2022-04-08 18:40:00+00:00,2022-04-15 18:35:00+00:00,31,17,14,0.016480000000000716
27,2022-04-15 18:40:00+00:00,2022-04-22 18:35:00+00:00,24,11,13,0.00010000000000043308
28,2022-04-22 18:40:00+00:00,2022-04-29 18:35:00+00:00,25,16,9,0.015630000000000033
29,2022-04-29 18:40:00+00:00,2022-05-06 18:35:00+00:00,32,21,11,0.023690000000000655
30,2022-05-06 18:40:00+00:00,2022-05-13 18:35:00+00:00,26,18,8,0.02028000000000052
31,2022-05-13 18:40:00+00:00,2022-05-20 18:35:00+00:00,31,16,15,0.0022900000000005694
32,2022-05-20 18:40:00+00:00,2022-05-27 18:35:00+00:00,30,17,13,0.015250000000000208
33,2022-05-27 18:40:00+00:00,2022-06-03 18:35:00+00:00,26,12,14,0.00527000000000144
34,2022-06-03 18:40:00+00:00,2022-06-10 18:35:00+00:00,32,19,13,0.022620000000000307
35,2022-06-10 18:40:00+00:00,2022-06-17 18:35:00+00:00,31,19,12,0.015540000000001442
36,2022-06-17 18:40:00+00:00,2022-06-24 18:35:00+00:00,32,20,11,0.013990000000000613
37,2022-06-24 18:40:00+00:00,2022-07-01 18:35:00+00:00,36,21,14,0.02248000000000072
38,2022-07-01 18:40:00+00:00,2022-07-08 18:35:00+00:00,27,20,7,0.02625000000000033
39,2022-07-08 18:40:00+00:00,2022-07-15 18:35:00+00:00,32,18,14,0.015890000000000848
40,2022-07-15 18:40:00+00:00,2022-07-22 18:35:00+00:00,34,18,16,0.012650000000000938
41,2022-07-22 18:40:00+00:00,2022-07-29 18:35:00+00:00,44,32,12,0.04066000000000053
42,2022-07-29 18:40:00+00:00,2022-08-05 18:35:00+00:00,30,16,14,0.017470000000000985
43,2022-08-05 18:40:00+00:00,2022-08-12 18:35:00+00:00,36,23,13,0.01691000000000087
44,2022-08-12 18:40:00+00:00,2022-08-19 18:35:00+00:00,22,15,7,0.012550000000000727
45,2022-08-19 18:40:00+00:00,2022-08-26 18:35:00+00:00,35,19,16,0.007630000000000914
46,2022-08-26 18:40:00+00:00,2022-09-02 18:35:00+00:00,35,20,15,0.017560000000000464
47,2022-09-02 18:40:00+00:00,2022-09-02 23:50:00+00:00,3,1,2,-0.0008799999999997699
