Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 19:25:00+00:00,1.15919,2021-10-15 19:55:00+00:00,1.15956,-0.0005699999999999814
buy,2021-10-15 20:05:00+00:00,1.15951,2021-10-18 00:00:00+00:00,1.15909,-0.000620000000000087
buy,2021-10-18 01:00:00+00:00,1.1603,2021-10-18 02:00:00+00:00,1.15999,-0.0005100000000000323
buy,2021-10-18 04:40:00+00:00,1.15884,2021-10-18 09:50:00+00:00,1.15734,-0.001700000000000057
short,2021-10-18 11:35:00+00:00,1.15861,2021-10-18 14:35:00+00:00,1.15918,-0.0007700000000001816
buy,2021-10-18 14:55:00+00:00,1.15909,2021-10-18 15:25:00+00:00,1.1608,0.0015100000000001002
short,2021-10-18 18:00:00+00:00,1.16016,2021-10-18 19:25:00+00:00,1.1617,-0.001739999999999875
short,2021-10-19 15:00:00+00:00,1.16569,2021-10-19 17:40:00+00:00,1.16372,0.0017699999999998051
short,2021-10-19 18:40:00+00:00,1.16337,2021-10-19 19:45:00+00:00,1.16339,-0.00021999999999990907
buy,2021-10-19 20:10:00+00:00,1.16359,2021-10-19 21:50:00+00:00,1.16405,0.0002600000000001269
short,2021-10-19 23:00:00+00:00,1.1636,2021-10-20 08:05:00+00:00,1.16512,-0.001719999999999966
short,2021-10-20 09:10:00+00:00,1.16453,2021-10-20 10:15:00+00:00,1.16291,0.0014199999999999547
buy,2021-10-20 11:30:00+00:00,1.16291,2021-10-20 12:25:00+00:00,1.16261,-0.0005000000000001891
short,2021-10-20 14:45:00+00:00,1.16299,2021-10-20 16:35:00+00:00,1.16395,-0.0011600000000000716
buy,2021-10-20 16:55:00+00:00,1.16419,2021-10-20 18:20:00+00:00,1.16457,0.0001800000000000473
short,2021-10-21 07:40:00+00:00,1.16539,2021-10-21 10:55:00+00:00,1.16385,0.0013399999999998747
short,2021-10-21 11:05:00+00:00,1.16387,2021-10-21 21:30:00+00:00,1.16227,0.0014000000000000457
short,2021-10-22 05:10:00+00:00,1.1629,2021-10-22 10:15:00+00:00,1.16385,-0.0011500000000000065
buy,2021-10-22 11:15:00+00:00,1.16435,2021-10-22 13:55:00+00:00,1.16399,-0.000559999999999916
buy,2021-10-22 15:55:00+00:00,1.16341,2021-10-22 17:30:00+00:00,1.165,0.0013899999999999802
short,2021-10-22 17:40:00+00:00,1.16454,2021-10-22 18:35:00+00:00,1.163,0.0013399999999998747
short,2021-10-22 19:10:00+00:00,1.1628,2021-10-22 23:00:00+00:00,1.16436,-0.001760000000000006
buy,2021-10-25 10:30:00+00:00,1.16526,2021-10-25 11:35:00+00:00,1.16541,-4.999999999990559e-05
short,2021-10-25 12:00:00+00:00,1.16499,2021-10-25 12:25:00+00:00,1.16317,0.0016199999999999327
buy,2021-10-25 13:50:00+00:00,1.16251,2021-10-25 14:30:00+00:00,1.16225,-0.00045999999999992705
buy,2021-10-25 16:10:00+00:00,1.16028,2021-10-26 12:50:00+00:00,1.16178,0.0013000000000000568
short,2021-10-26 16:25:00+00:00,1.16169,2021-10-26 17:55:00+00:00,1.15985,0.0016399999999998417
short,2021-10-26 18:30:00+00:00,1.15944,2021-10-26 19:35:00+00:00,1.15904,0.00019999999999995586
short,2021-10-26 19:50:00+00:00,1.15878,2021-10-27 01:05:00+00:00,1.1594,-0.000820000000000065
buy,2021-10-27 10:45:00+00:00,1.16082,2021-10-27 11:05:00+00:00,1.1604,-0.0006199999999998649
short,2021-10-27 11:25:00+00:00,1.16049,2021-10-27 12:30:00+00:00,1.1589,0.0013899999999999802
short,2021-10-27 13:35:00+00:00,1.15906,2021-10-27 14:35:00+00:00,1.16064,-0.001779999999999915
buy,2021-10-27 15:05:00+00:00,1.16052,2021-10-27 15:30:00+00:00,1.16207,0.0013499999999999402
short,2021-10-27 17:45:00+00:00,1.16141,2021-10-27 18:00:00+00:00,1.15973,0.0014800000000001257
buy,2021-10-27 19:00:00+00:00,1.16002,2021-10-27 21:00:00+00:00,1.16153,0.0013099999999999002
short,2021-10-27 23:00:00+00:00,1.15999,2021-10-28 05:50:00+00:00,1.16089,-0.001099999999999901
short,2021-10-28 11:25:00+00:00,1.16009,2021-10-28 12:35:00+00:00,1.15833,0.0015599999999999837
buy,2021-10-28 12:55:00+00:00,1.15912,2021-10-28 14:00:00+00:00,1.16066,0.0013400000000000963
short,2021-10-28 14:40:00+00:00,1.16046,2021-10-28 15:20:00+00:00,1.15843,0.0018299999999999757
buy,2021-10-28 15:40:00+00:00,1.15942,2021-10-28 15:45:00+00:00,1.16199,0.0023700000000001827
buy,2021-10-28 16:50:00+00:00,1.16443,2021-10-28 17:05:00+00:00,1.16615,0.0015199999999999433
