Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 18:40:00+00:00,2021-10-22 18:35:00+00:00,21,9,12,-0.0006100000000004626
2,2021-10-22 18:40:00+00:00,2021-10-29 18:35:00+00:00,22,15,7,0.015390000000000192
3,2021-10-29 18:40:00+00:00,2021-11-05 18:35:00+00:00,15,10,5,0.009450000000000078
4,2021-11-05 18:40:00+00:00,2021-11-12 18:35:00+00:00,20,8,12,0.0017000000000005067
5,2021-11-12 18:40:00+00:00,2021-11-19 18:35:00+00:00,23,11,12,0.0077000000000000055
6,2021-11-19 18:40:00+00:00,2021-11-26 18:35:00+00:00,14,8,6,0.005220000000000377
7,2021-11-26 18:40:00+00:00,2021-12-03 18:35:00+00:00,15,10,5,0.007739999999999546
8,2021-12-03 18:40:00+00:00,2021-12-10 18:35:00+00:00,19,11,8,0.006689999999999689
9,2021-12-10 18:40:00+00:00,2021-12-17 18:35:00+00:00,22,15,7,0.01349000000000062
10,2021-12-17 18:40:00+00:00,2021-12-24 18:35:00+00:00,19,13,6,0.007309999999999844
11,2021-12-24 18:40:00+00:00,2021-12-31 18:35:00+00:00,24,14,10,0.0038600000000006407
12,2021-12-31 18:40:00+00:00,2022-01-07 18:35:00+00:00,21,14,7,0.00983999999999971
13,2022-01-07 18:40:00+00:00,2022-01-14 18:35:00+00:00,16,10,6,0.005819999999999714
14,2022-01-14 18:40:00+00:00,2022-01-21 18:35:00+00:00,15,7,7,0.0011200000000000654
15,2022-01-21 18:40:00+00:00,2022-01-28 18:35:00+00:00,17,10,7,0.005159999999999804
16,2022-01-28 18:40:00+00:00,2022-02-04 18:35:00+00:00,19,9,10,0.0037799999999998113
17,2022-02-04 18:40:00+00:00,2022-02-11 18:35:00+00:00,21,12,9,0.012420000000000181
18,2022-02-11 18:40:00+00:00,2022-02-18 18:35:00+00:00,17,8,9,0.007709999999999412
19,2022-02-18 18:40:00+00:00,2022-02-25 18:35:00+00:00,19,11,8,0.008340000000000153
20,2022-02-25 18:40:00+00:00,2022-03-04 18:35:00+00:00,19,12,7,0.00904999999999992
21,2022-03-04 18:40:00+00:00,2022-03-11 18:35:00+00:00,20,12,8,0.006980000000000097
22,2022-03-11 18:40:00+00:00,2022-03-18 18:35:00+00:00,23,16,7,0.01463000000000017
23,2022-03-18 18:40:00+00:00,2022-03-25 18:35:00+00:00,15,10,5,0.00943999999999992
24,2022-03-25 18:40:00+00:00,2022-04-01 18:35:00+00:00,20,12,8,0.008940000000000059
25,2022-04-01 18:40:00+00:00,2022-04-08 18:35:00+00:00,24,14,10,0.010179999999999856
26,2022-04-08 18:40:00+00:00,2022-04-15 18:35:00+00:00,17,10,7,0.00598999999999969
27,2022-04-15 18:40:00+00:00,2022-04-22 18:35:00+00:00,26,16,10,0.005359999999999754
28,2022-04-22 18:40:00+00:00,2022-04-29 18:35:00+00:00,20,16,4,0.022379999999998845
29,2022-04-29 18:40:00+00:00,2022-05-06 18:35:00+00:00,35,25,10,0.028459999999999985
30,2022-05-06 18:40:00+00:00,2022-05-13 18:35:00+00:00,27,19,8,0.020960000000000756
31,2022-05-13 18:40:00+00:00,2022-05-20 18:35:00+00:00,15,8,7,0.0029500000000004523
32,2022-05-20 18:40:00+00:00,2022-05-27 18:35:00+00:00,21,12,9,0.0011700000000003374
33,2022-05-27 18:40:00+00:00,2022-06-03 18:35:00+00:00,16,8,8,0.0029800000000004268
34,2022-06-03 18:40:00+00:00,2022-06-10 18:35:00+00:00,25,16,9,0.01210000000000111
35,2022-06-10 18:40:00+00:00,2022-06-17 18:35:00+00:00,28,16,12,0.0011700000000005595
36,2022-06-17 18:40:00+00:00,2022-06-24 18:35:00+00:00,23,13,10,0.006680000000000685
37,2022-06-24 18:40:00+00:00,2022-07-01 18:35:00+00:00,26,20,6,0.023030000000000106
38,2022-07-01 18:40:00+00:00,2022-07-08 18:35:00+00:00,26,19,7,0.021140000000000603
39,2022-07-08 18:40:00+00:00,2022-07-15 18:35:00+00:00,22,16,6,0.019390000000000573
40,2022-07-15 18:40:00+00:00,2022-07-22 18:35:00+00:00,15,8,7,-0.002449999999999841
41,2022-07-22 18:40:00+00:00,2022-07-29 18:35:00+00:00,30,23,7,0.028010000000000534
42,2022-07-29 18:40:00+00:00,2022-08-05 18:35:00+00:00,20,14,6,0.016960000000001196
43,2022-08-05 18:40:00+00:00,2022-08-12 18:35:00+00:00,18,9,9,0.001980000000000759
44,2022-08-12 18:40:00+00:00,2022-08-19 18:35:00+00:00,18,10,8,0.0030000000000003357
45,2022-08-19 18:40:00+00:00,2022-08-26 18:35:00+00:00,13,9,4,0.010600000000000054
46,2022-08-26 18:40:00+00:00,2022-09-02 18:35:00+00:00,18,12,6,0.008460000000000578
47,2022-09-02 18:40:00+00:00,2022-09-02 23:50:00+00:00,2,1,1,-0.00011999999999989797
