Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,9,6,3,0.005670000000000086
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,10,7,3,0.0042600000000001526
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,11,8,3,0.008069999999999999
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,13,8,5,0.00517000000000007
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,11,6,5,0.005389999999999999
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,13,10,3,0.008139999999999988
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,9,5,4,0.001150000000000019
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,11,8,3,0.009009999999999956
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,14,12,2,0.017030000000000024
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,14,5,9,-0.00793000000000011
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,10,7,3,0.006240000000000037
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,17,11,6,0.006150000000000079
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,7,4,3,-4.000000000023429e-05
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,12,8,3,0.005910000000000443
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,9,7,2,0.00761999999999971
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,13,3,10,-0.014899999999999608
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,17,9,8,0.0019700000000002493
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,14,8,6,0.006779999999999842
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,13,11,2,0.014050000000000423
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,13,8,5,0.004550000000000137
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,20,14,6,0.015149999999999664
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,19,14,5,0.012769999999999643
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,10,8,2,0.010060000000000124
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,16,10,6,0.00550999999999946
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,20,17,3,0.019389999999999685
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,16,12,4,0.016069999999999585
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,15,11,4,0.009160000000000307
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,15,12,3,0.016919999999999186
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,20,13,7,0.009650000000000492
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,21,15,6,0.01655999999999977
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,15,10,5,0.005379999999999302
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,15,10,5,0.004800000000000609
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,9,7,2,0.00954999999999992
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,14,11,3,0.016340000000000243
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,15,11,4,0.009410000000000585
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,12,8,4,0.00851000000000024
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,20,12,8,0.007150000000000212
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,23,18,5,0.01851000000000047
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,16,14,2,0.027250000000000885
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,12,6,6,0.0029200000000004778
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,21,16,5,0.017400000000000304
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,20,12,8,0.0052600000000004865
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,11,7,4,0.007080000000000419
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,16,12,4,0.01244000000000045
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,15,13,2,0.01417999999999986
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,18,14,4,0.015160000000000617
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,1,1,0,0.0016300000000000203
