Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 11:35:00+00:00,1.16087,2021-10-15 15:30:00+00:00,1.15932,0.0013
short,2021-10-15 15:50:00+00:00,1.1601,2021-10-18 03:55:00+00:00,1.15848,0.0013
buy,2021-10-18 04:40:00+00:00,1.15884,2021-10-18 07:20:00+00:00,1.15815,-0.0008900000000000795
short,2021-10-18 11:35:00+00:00,1.15861,2021-10-18 15:05:00+00:00,1.16029,-0.0017000000000000001
short,2021-10-19 16:00:00+00:00,1.16459,2021-10-19 16:45:00+00:00,1.16459,-0.0002
short,2021-10-19 17:35:00+00:00,1.16449,2021-10-20 03:35:00+00:00,1.16288,0.0013
short,2021-10-20 09:50:00+00:00,1.16396,2021-10-20 10:35:00+00:00,1.16216,0.0013
short,2021-10-21 07:05:00+00:00,1.16626,2021-10-21 09:55:00+00:00,1.1646,0.0013
short,2021-10-21 11:05:00+00:00,1.16387,2021-10-21 21:30:00+00:00,1.16227,0.0013
short,2021-10-22 05:10:00+00:00,1.1629,2021-10-22 10:35:00+00:00,1.16448,-0.0017000000000000001
short,2021-10-22 18:15:00+00:00,1.16439,2021-10-22 19:10:00+00:00,1.1628,0.0013
short,2021-10-25 11:35:00+00:00,1.16541,2021-10-25 12:20:00+00:00,1.16371,0.0013
short,2021-10-26 00:00:00+00:00,1.16046,2021-10-26 13:50:00+00:00,1.16219,-0.0017000000000000001
short,2021-10-26 16:25:00+00:00,1.16169,2021-10-26 17:55:00+00:00,1.15985,0.0013
short,2021-10-26 18:30:00+00:00,1.15944,2021-10-27 10:05:00+00:00,1.16097,-0.0017000000000000001
short,2021-10-27 11:05:00+00:00,1.1604,2021-10-27 12:30:00+00:00,1.1589,0.0013
short,2021-10-27 23:00:00+00:00,1.15999,2021-10-28 12:35:00+00:00,1.15833,0.0013
buy,2021-10-28 14:45:00+00:00,1.15998,2021-10-28 14:55:00+00:00,1.16022,4.000000000001832e-05
buy,2021-10-28 15:40:00+00:00,1.15942,2021-10-28 15:45:00+00:00,1.16199,0.0013
buy,2021-10-29 10:05:00+00:00,1.16672,2021-10-29 11:05:00+00:00,1.16658,-0.00034000000000002865
short,2021-10-29 12:05:00+00:00,1.16506,2021-10-29 15:45:00+00:00,1.16338,0.0013
short,2021-10-29 18:50:00+00:00,1.15515,2021-11-01 10:55:00+00:00,1.1548,0.0001499999999998499
short,2021-11-02 11:05:00+00:00,1.16058,2021-11-02 12:00:00+00:00,1.15888,0.0013000000000000008
short,2021-11-02 13:30:00+00:00,1.15921,2021-11-02 16:00:00+00:00,1.16072,-0.0017000000000000001
short,2021-11-02 16:20:00+00:00,1.16016,2021-11-02 17:10:00+00:00,1.15844,0.001299999999999999
short,2021-11-02 18:35:00+00:00,1.159,2021-11-03 16:20:00+00:00,1.15736,0.001299999999999999
short,2021-11-03 17:05:00+00:00,1.15673,2021-11-03 17:30:00+00:00,1.157,-0.000469999999999993
short,2021-11-04 09:00:00+00:00,1.15888,2021-11-04 10:35:00+00:00,1.15715,0.0013000000000000008
short,2021-11-04 10:55:00+00:00,1.15725,2021-11-04 11:10:00+00:00,1.15568,0.001299999999999999
short,2021-11-04 17:40:00+00:00,1.15465,2021-11-04 18:30:00+00:00,1.15285,0.001299999999999999
short,2021-11-05 05:15:00+00:00,1.1548,2021-11-05 10:35:00+00:00,1.1563,-0.0017000000000000001
short,2021-11-05 11:10:00+00:00,1.15599,2021-11-05 12:10:00+00:00,1.15434,0.001299999999999999
short,2021-11-05 12:25:00+00:00,1.15452,2021-11-05 15:35:00+00:00,1.15224,0.001299999999999999
short,2021-11-08 10:20:00+00:00,1.15546,2021-11-08 10:35:00+00:00,1.15576,-0.0004999999999999675
short,2021-11-08 15:40:00+00:00,1.15782,2021-11-08 17:25:00+00:00,1.15938,-0.0017000000000000001
short,2021-11-09 03:45:00+00:00,1.15811,2021-11-09 04:00:00+00:00,1.15804,-0.00012999999999998603
short,2021-11-09 10:05:00+00:00,1.15945,2021-11-09 11:20:00+00:00,1.15911,0.00014000000000000644
short,2021-11-09 12:55:00+00:00,1.15902,2021-11-09 14:35:00+00:00,1.1575,0.0013000000000000008
buy,2021-11-09 15:30:00+00:00,1.15784,2021-11-09 16:00:00+00:00,1.15962,0.001299999999999999
short,2021-11-09 17:05:00+00:00,1.15886,2021-11-10 09:20:00+00:00,1.15727,0.001299999999999999
short,2021-11-10 13:45:00+00:00,1.15522,2021-11-10 16:05:00+00:00,1.15681,-0.0017000000000000001
