Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,9,6,3,0.00500999999999992
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,10,7,3,0.0027400000000000176
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,11,8,3,0.006739999999999826
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,13,8,5,0.003510000000000048
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,11,6,5,0.001970000000000055
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,13,10,3,0.0061399999999999025
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,9,5,4,0.0011100000000000727
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,11,8,3,0.006859999999999956
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,14,12,2,0.01220000000000003
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,14,5,9,-0.007110000000000075
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,10,7,3,0.004000000000000017
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,17,11,6,0.005349999999999945
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,7,4,3,0.00034999999999987125
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,12,8,3,0.00530000000000002
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,9,7,2,0.0057000000000000176
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,13,3,10,-0.012019999999999857
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,17,9,8,-0.001899999999999978
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,14,8,6,0.0010000000000001535
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,13,11,2,0.011420000000000326
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,13,8,5,0.002890000000000066
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,20,14,6,0.007630000000000053
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,19,14,5,0.009699999999999903
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,10,8,2,0.00760999999999995
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,16,10,6,0.0042299999999999005
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,20,17,3,0.016069999999999696
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,16,12,4,0.009870000000000045
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,15,11,4,0.00783999999999993
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,15,12,3,0.010499999999999926
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,20,13,7,0.0043899999999999495
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,21,15,6,0.009019999999999834
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,15,10,5,0.004499999999999921
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,15,10,5,0.004499999999999921
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,9,7,2,0.005699999999999955
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,14,11,3,0.01172999999999974
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,15,11,4,0.007499999999999923
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,12,8,4,0.005059999999999898
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,20,12,8,0.00377999999999995
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,23,18,5,0.01543999999999987
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,16,14,2,0.0163299999999999
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,12,6,6,-0.0007400000000001294
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,21,16,5,0.0117499999999999
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,20,12,8,0.0029199999999999227
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,11,7,4,0.003939999999999749
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,16,12,4,0.008799999999999919
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,15,13,2,0.012730000000000297
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,18,14,4,0.012740000000000418
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,1,1,0,0.0013000000000000234
