Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 07:30:00+00:00,1.16095,2021-10-15 08:20:00+00:00,1.16072,2.9999999999952455e-05
buy,2021-10-15 08:30:00+00:00,1.16072,2021-10-15 09:15:00+00:00,1.16079,-0.00012999999999998551
short,2021-10-15 09:25:00+00:00,1.16073,2021-10-15 10:45:00+00:00,1.16088,-0.00034999999999987244
short,2021-10-15 11:05:00+00:00,1.16137,2021-10-15 15:25:00+00:00,1.1597,0.0014700000000000602
short,2021-10-15 15:50:00+00:00,1.1601,2021-10-15 19:25:00+00:00,1.15919,0.0007099999999999665
short,2021-10-15 19:55:00+00:00,1.15956,2021-10-15 21:25:00+00:00,1.15965,-0.0002900000000001456
short,2021-10-15 21:45:00+00:00,1.15987,2021-10-15 23:25:00+00:00,1.1603,-0.0006300000000001525
short,2021-10-15 23:40:00+00:00,1.16018,2021-10-18 02:00:00+00:00,1.15999,-1.0000000000087521e-05
short,2021-10-18 02:30:00+00:00,1.1601,2021-10-18 02:55:00+00:00,1.15998,-8.000000000010202e-05
buy,2021-10-18 04:40:00+00:00,1.15884,2021-10-18 05:00:00+00:00,1.15908,4.0000000000017994e-05
short,2021-10-18 05:15:00+00:00,1.15909,2021-10-18 06:00:00+00:00,1.15909,-0.00019999999999999998
short,2021-10-18 07:20:00+00:00,1.15815,2021-10-18 07:50:00+00:00,1.15812,-0.0001700000000000255
buy,2021-10-18 08:55:00+00:00,1.15796,2021-10-18 10:10:00+00:00,1.15795,-0.00021000000000006552
short,2021-10-18 10:30:00+00:00,1.15796,2021-10-18 15:00:00+00:00,1.15972,-0.001959999999999984
short,2021-10-18 16:25:00+00:00,1.16078,2021-10-18 18:00:00+00:00,1.16016,0.000419999999999843
short,2021-10-18 18:55:00+00:00,1.16058,2021-10-18 19:40:00+00:00,1.16216,-0.001780000000000137
buy,2021-10-18 20:25:00+00:00,1.16163,2021-10-19 01:00:00+00:00,1.16104,-0.0007899999999998685
buy,2021-10-19 02:00:00+00:00,1.16102,2021-10-19 02:20:00+00:00,1.16121,-9.999999999865151e-06
short,2021-10-19 03:55:00+00:00,1.16207,2021-10-19 04:55:00+00:00,1.16366,-0.00178999999999998
short,2021-10-19 05:35:00+00:00,1.16348,2021-10-19 07:15:00+00:00,1.16509,-0.0018099999999998898
buy,2021-10-19 08:00:00+00:00,1.16456,2021-10-19 08:45:00+00:00,1.1653,0.0005399999999999633
short,2021-10-19 09:30:00+00:00,1.16541,2021-10-19 09:45:00+00:00,1.16542,-0.00020999999999984312
